,task,item,choice,gt,meta_tasks
0,data/test/high_school_biology_test.csv,0,A,A,['conceptual physics' 'high school computer science']
1,data/test/high_school_biology_test.csv,1,A,A,['high school statistics' 'anatomy']
2,data/test/high_school_biology_test.csv,2,C,C,['college biology' 'high school computer science']
3,data/test/high_school_biology_test.csv,3,A,A,['computer security' 'college computer science']
4,data/test/high_school_biology_test.csv,4,C,C,['conceptual physics' 'computer security']
5,data/test/high_school_biology_test.csv,5,C,C,['anatomy' 'abstract algebra']
6,data/test/high_school_biology_test.csv,6,B,B,['high school statistics' 'college physics']
7,data/test/high_school_biology_test.csv,7,B,B,['college physics' 'college biology']
8,data/test/high_school_biology_test.csv,8,A,A,['college physics' 'high school statistics']
9,data/test/high_school_biology_test.csv,9,B,C,['high school physics' 'high school chemistry']
10,data/test/high_school_biology_test.csv,10,C,C,['astronomy' 'electrical engineering']
11,data/test/high_school_biology_test.csv,11,B,B,['elementary mathematics' 'computer security']
12,data/test/high_school_biology_test.csv,12,D,D,['conceptual physics' 'high school mathematics']
13,data/test/high_school_biology_test.csv,13,A,D,['college computer science' 'high school computer science']
14,data/test/high_school_biology_test.csv,14,D,D,['anatomy' 'machine learning']
15,data/test/high_school_biology_test.csv,15,B,B,['high school chemistry' 'college physics']
16,data/test/high_school_biology_test.csv,16,D,C,['electrical engineering' 'high school physics']
17,data/test/high_school_biology_test.csv,17,C,B,['conceptual physics' 'computer security']
18,data/test/high_school_biology_test.csv,18,B,B,['college biology' 'high school physics']
19,data/test/high_school_biology_test.csv,19,C,C,['conceptual physics' 'abstract algebra']
20,data/test/high_school_biology_test.csv,20,D,D,['college mathematics' 'abstract algebra']
21,data/test/high_school_biology_test.csv,21,C,C,['high school computer science' 'elementary mathematics']
22,data/test/high_school_biology_test.csv,22,B,A,['college mathematics' 'computer security']
23,data/test/high_school_biology_test.csv,23,B,B,['astronomy' 'abstract algebra']
24,data/test/high_school_biology_test.csv,24,D,B,['high school statistics' 'anatomy']
25,data/test/high_school_biology_test.csv,25,C,C,['college chemistry' 'high school computer science']
26,data/test/high_school_biology_test.csv,26,B,B,['college chemistry' 'high school mathematics']
27,data/test/high_school_biology_test.csv,27,B,C,['anatomy' 'college mathematics']
28,data/test/high_school_biology_test.csv,28,C,C,['college mathematics' 'college chemistry']
