,task,item,choice,gt,meta_tasks
0,data/test/high_school_chemistry_test.csv,0,A,A,['college physics' 'high school biology']
1,data/test/high_school_chemistry_test.csv,1,B,A,['anatomy' 'college mathematics']
2,data/test/high_school_chemistry_test.csv,2,C,C,['high school biology' 'astronomy']
3,data/test/high_school_chemistry_test.csv,3,D,A,['college mathematics' 'astronomy']
4,data/test/high_school_chemistry_test.csv,4,B,B,['college chemistry' 'astronomy']
5,data/test/high_school_chemistry_test.csv,5,A,C,['abstract algebra' 'college mathematics']
6,data/test/high_school_chemistry_test.csv,6,C,C,['electrical engineering' 'high school computer science']
7,data/test/high_school_chemistry_test.csv,7,B,D,['high school mathematics' 'electrical engineering']
8,data/test/high_school_chemistry_test.csv,8,B,C,['high school physics' 'astronomy']
9,data/test/high_school_chemistry_test.csv,9,D,A,['astronomy' 'elementary mathematics']
10,data/test/high_school_chemistry_test.csv,10,B,C,['elementary mathematics' 'high school statistics']
11,data/test/high_school_chemistry_test.csv,11,A,A,['abstract algebra' 'college mathematics']
12,data/test/high_school_chemistry_test.csv,12,A,C,['college chemistry' 'electrical engineering']
13,data/test/high_school_chemistry_test.csv,13,D,A,['high school physics' 'high school computer science']
14,data/test/high_school_chemistry_test.csv,14,D,D,['high school statistics' 'college chemistry']
15,data/test/high_school_chemistry_test.csv,15,C,C,['computer security' 'abstract algebra']
16,data/test/high_school_chemistry_test.csv,16,B,A,['college chemistry' 'high school statistics']
17,data/test/high_school_chemistry_test.csv,17,B,B,['electrical engineering' 'computer security']
18,data/test/high_school_chemistry_test.csv,18,B,B,['college computer science' 'high school physics']
19,data/test/high_school_chemistry_test.csv,19,B,D,['college chemistry' 'anatomy']
20,data/test/high_school_chemistry_test.csv,20,D,B,['high school mathematics' 'college physics']
21,data/test/high_school_chemistry_test.csv,21,C,C,['college biology' 'college chemistry']
22,data/test/high_school_chemistry_test.csv,22,B,B,['electrical engineering' 'high school biology']
23,data/test/high_school_chemistry_test.csv,23,D,B,['conceptual physics' 'college biology']
24,data/test/high_school_chemistry_test.csv,24,C,C,['high school biology' 'high school computer science']
25,data/test/high_school_chemistry_test.csv,25,D,B,['college chemistry' 'college mathematics']
26,data/test/high_school_chemistry_test.csv,26,B,D,['abstract algebra' 'high school computer science']
27,data/test/high_school_chemistry_test.csv,27,C,C,['high school mathematics' 'conceptual physics']
28,data/test/high_school_chemistry_test.csv,28,B,B,['high school mathematics' 'machine learning']
29,data/test/high_school_chemistry_test.csv,29,B,C,['high school biology' 'college computer science']
30,data/test/high_school_chemistry_test.csv,30,C,A,['high school biology' 'high school physics']
31,data/test/high_school_chemistry_test.csv,31,B,D,['college computer science' 'anatomy']
32,data/test/high_school_chemistry_test.csv,32,B,D,['machine learning' 'high school computer science']
33,data/test/high_school_chemistry_test.csv,33,D,C,['high school biology' 'college computer science']
34,data/test/high_school_chemistry_test.csv,34,B,B,['college biology' 'machine learning']
35,data/test/high_school_chemistry_test.csv,35,C,C,['astronomy' 'high school statistics']
36,data/test/high_school_chemistry_test.csv,36,D,B,['astronomy' 'anatomy']
37,data/test/high_school_chemistry_test.csv,37,B,C,['high school biology' 'college chemistry']
38,data/test/high_school_chemistry_test.csv,38,B,D,['anatomy' 'college chemistry']
39,data/test/high_school_chemistry_test.csv,39,C,C,['college mathematics' 'anatomy']
40,data/test/high_school_chemistry_test.csv,40,D,D,['anatomy' 'abstract algebra']
41,data/test/high_school_chemistry_test.csv,41,D,D,['college biology' 'abstract algebra']
42,data/test/high_school_chemistry_test.csv,42,A,C,['abstract algebra' 'high school computer science']
43,data/test/high_school_chemistry_test.csv,43,C,C,['astronomy' 'conceptual physics']
44,data/test/high_school_chemistry_test.csv,44,B,D,['college mathematics' 'high school mathematics']
45,data/test/high_school_chemistry_test.csv,45,A,A,['conceptual physics' 'abstract algebra']
46,data/test/high_school_chemistry_test.csv,46,B,D,['college physics' 'machine learning']
47,data/test/high_school_chemistry_test.csv,47,B,D,['high school biology' 'college mathematics']
48,data/test/high_school_chemistry_test.csv,48,C,C,['high school statistics' 'college chemistry']
49,data/test/high_school_chemistry_test.csv,49,D,A,['college chemistry' 'college physics']
50,data/test/high_school_chemistry_test.csv,50,D,B,['electrical engineering' 'college mathematics']
51,data/test/high_school_chemistry_test.csv,51,B,A,['high school biology' 'electrical engineering']
52,data/test/high_school_chemistry_test.csv,52,A,A,['college physics' 'college computer science']
53,data/test/high_school_chemistry_test.csv,53,A,D,['college physics' 'high school statistics']
54,data/test/high_school_chemistry_test.csv,54,A,C,['college biology' 'high school statistics']
55,data/test/high_school_chemistry_test.csv,55,B,B,['machine learning' 'college computer science']
56,data/test/high_school_chemistry_test.csv,56,D,D,['abstract algebra' 'high school computer science']
57,data/test/high_school_chemistry_test.csv,57,B,C,['conceptual physics' 'high school biology']
58,data/test/high_school_chemistry_test.csv,58,B,D,['machine learning' 'anatomy']
59,data/test/high_school_chemistry_test.csv,59,D,D,['high school statistics' 'high school computer science']
60,data/test/high_school_chemistry_test.csv,60,C,A,['high school physics' 'electrical engineering']
61,data/test/high_school_chemistry_test.csv,61,A,B,['college mathematics' 'astronomy']
62,data/test/high_school_chemistry_test.csv,62,D,A,['college computer science' 'college biology']
63,data/test/high_school_chemistry_test.csv,63,D,D,['college biology' 'conceptual physics']
64,data/test/high_school_chemistry_test.csv,64,D,D,['high school physics' 'electrical engineering']
65,data/test/high_school_chemistry_test.csv,65,D,C,['conceptual physics' 'electrical engineering']
66,data/test/high_school_chemistry_test.csv,66,B,B,['college chemistry' 'high school computer science']
67,data/test/high_school_chemistry_test.csv,67,A,D,['college biology' 'college physics']
68,data/test/high_school_chemistry_test.csv,68,B,D,['anatomy' 'college computer science']
