,task,item,choice,gt,meta_tasks
0,data/test/college_physics_test.csv,0,C,B,['computer security' 'electrical engineering']
1,data/test/college_physics_test.csv,1,B,C,['anatomy' 'high school chemistry']
2,data/test/college_physics_test.csv,2,C,C,['anatomy' 'high school mathematics']
3,data/test/college_physics_test.csv,3,A,A,['high school biology' 'machine learning']
4,data/test/college_physics_test.csv,4,D,B,['college mathematics' 'computer security']
5,data/test/college_physics_test.csv,5,C,C,['college computer science' 'high school physics']
6,data/test/college_physics_test.csv,6,D,D,['college biology' 'anatomy']
7,data/test/college_physics_test.csv,7,C,A,['elementary mathematics' 'electrical engineering']
8,data/test/college_physics_test.csv,8,A,A,['high school biology' 'electrical engineering']
9,data/test/college_physics_test.csv,9,D,D,['conceptual physics' 'college computer science']
10,data/test/college_physics_test.csv,10,D,D,['anatomy' 'college computer science']
11,data/test/college_physics_test.csv,11,B,D,['conceptual physics' 'astronomy']
12,data/test/college_physics_test.csv,12,D,D,['astronomy' 'conceptual physics']
13,data/test/college_physics_test.csv,13,B,B,['abstract algebra' 'college biology']
14,data/test/college_physics_test.csv,14,A,A,['high school chemistry' 'college biology']
15,data/test/college_physics_test.csv,15,D,D,['anatomy' 'high school statistics']
16,data/test/college_physics_test.csv,16,B,B,['abstract algebra' 'high school chemistry']
17,data/test/college_physics_test.csv,17,C,A,['high school mathematics' 'high school biology']
18,data/test/college_physics_test.csv,18,D,B,['abstract algebra' 'high school mathematics']
19,data/test/college_physics_test.csv,19,C,A,['high school computer science' 'computer security']
20,data/test/college_physics_test.csv,20,C,C,['astronomy' 'machine learning']
21,data/test/college_physics_test.csv,21,B,D,['high school chemistry' 'abstract algebra']
22,data/test/college_physics_test.csv,22,D,B,['computer security' 'college chemistry']
23,data/test/college_physics_test.csv,23,B,C,['high school computer science' 'high school biology']
24,data/test/college_physics_test.csv,24,B,B,['high school mathematics' 'high school statistics']
25,data/test/college_physics_test.csv,25,D,D,['electrical engineering' 'college biology']
26,data/test/college_physics_test.csv,26,A,A,['college biology' 'conceptual physics']
27,data/test/college_physics_test.csv,27,D,B,['astronomy' 'abstract algebra']
28,data/test/college_physics_test.csv,28,B,B,['college computer science' 'conceptual physics']
29,data/test/college_physics_test.csv,29,C,D,['computer security' 'college computer science']
30,data/test/college_physics_test.csv,30,D,D,['high school statistics' 'college computer science']
31,data/test/college_physics_test.csv,31,D,D,['college biology' 'abstract algebra']
32,data/test/college_physics_test.csv,32,B,B,['high school statistics' 'high school chemistry']
33,data/test/college_physics_test.csv,33,B,D,['high school chemistry' 'electrical engineering']
34,data/test/college_physics_test.csv,34,C,D,['high school computer science' 'college mathematics']
35,data/test/college_physics_test.csv,35,C,D,['high school chemistry' 'high school computer science']
36,data/test/college_physics_test.csv,36,D,D,['electrical engineering' 'college computer science']
37,data/test/college_physics_test.csv,37,A,A,['college chemistry' 'high school chemistry']
38,data/test/college_physics_test.csv,38,D,C,['high school mathematics' 'anatomy']
39,data/test/college_physics_test.csv,39,C,D,['anatomy' 'college computer science']
40,data/test/college_physics_test.csv,40,D,D,['anatomy' 'college biology']
41,data/test/college_physics_test.csv,41,B,B,['high school chemistry' 'anatomy']
42,data/test/college_physics_test.csv,42,C,C,['high school statistics' 'high school mathematics']
43,data/test/college_physics_test.csv,43,C,B,['high school chemistry' 'elementary mathematics']
44,data/test/college_physics_test.csv,44,C,B,['anatomy' 'college mathematics']
45,data/test/college_physics_test.csv,45,C,B,['college biology' 'high school statistics']
46,data/test/college_physics_test.csv,46,B,C,['college computer science' 'machine learning']
47,data/test/college_physics_test.csv,47,C,D,['high school chemistry' 'high school physics']
48,data/test/college_physics_test.csv,48,D,D,['college biology' 'college mathematics']
49,data/test/college_physics_test.csv,49,B,D,['electrical engineering' 'conceptual physics']
50,data/test/college_physics_test.csv,50,B,B,['college biology' 'high school chemistry']
51,data/test/college_physics_test.csv,51,A,A,['college chemistry' 'high school chemistry']
52,data/test/college_physics_test.csv,52,A,A,['high school computer science' 'machine learning']
53,data/test/college_physics_test.csv,53,B,D,['elementary mathematics' 'anatomy']
54,data/test/college_physics_test.csv,54,B,C,['anatomy' 'high school statistics']
55,data/test/college_physics_test.csv,55,C,D,['electrical engineering' 'college computer science']
56,data/test/college_physics_test.csv,56,C,C,['high school physics' 'college computer science']
57,data/test/college_physics_test.csv,57,D,D,['astronomy' 'elementary mathematics']
58,data/test/college_physics_test.csv,58,C,D,['college mathematics' 'high school computer science']
59,data/test/college_physics_test.csv,59,C,C,['abstract algebra' 'high school biology']
60,data/test/college_physics_test.csv,60,D,D,['conceptual physics' 'college computer science']
61,data/test/college_physics_test.csv,61,A,A,['high school biology' 'elementary mathematics']
62,data/test/college_physics_test.csv,62,D,D,['high school computer science' 'college computer science']
63,data/test/college_physics_test.csv,63,C,D,['college chemistry' 'conceptual physics']
64,data/test/college_physics_test.csv,64,D,A,['abstract algebra' 'high school mathematics']
65,data/test/college_physics_test.csv,65,C,D,['high school statistics' 'anatomy']
66,data/test/college_physics_test.csv,66,C,B,['high school physics' 'high school mathematics']
67,data/test/college_physics_test.csv,67,A,A,['machine learning' 'high school physics']
68,data/test/college_physics_test.csv,68,B,A,['college chemistry' 'high school chemistry']
69,data/test/college_physics_test.csv,69,A,A,['college mathematics' 'astronomy']
70,data/test/college_physics_test.csv,70,C,D,['abstract algebra' 'computer security']
71,data/test/college_physics_test.csv,71,D,C,['high school computer science' 'high school physics']
72,data/test/college_physics_test.csv,72,C,C,['anatomy' 'high school statistics']
73,data/test/college_physics_test.csv,73,B,B,['astronomy' 'high school chemistry']
74,data/test/college_physics_test.csv,74,C,C,['college computer science' 'high school statistics']
75,data/test/college_physics_test.csv,75,C,C,['computer security' 'machine learning']
76,data/test/college_physics_test.csv,76,C,C,['conceptual physics' 'astronomy']
77,data/test/college_physics_test.csv,77,D,D,['machine learning' 'college computer science']
78,data/test/college_physics_test.csv,78,D,D,['machine learning' 'high school biology']
79,data/test/college_physics_test.csv,79,D,C,['college computer science' 'high school computer science']
80,data/test/college_physics_test.csv,80,C,A,['high school physics' 'high school biology']
81,data/test/college_physics_test.csv,81,A,B,['anatomy' 'elementary mathematics']
82,data/test/college_physics_test.csv,82,C,A,['electrical engineering' 'college chemistry']
83,data/test/college_physics_test.csv,83,B,D,['college biology' 'high school biology']
84,data/test/college_physics_test.csv,84,C,A,['computer security' 'high school statistics']
85,data/test/college_physics_test.csv,85,C,D,['high school mathematics' 'conceptual physics']
86,data/test/college_physics_test.csv,86,D,D,['high school chemistry' 'computer security']
87,data/test/college_physics_test.csv,87,D,D,['high school mathematics' 'high school chemistry']
88,data/test/college_physics_test.csv,88,C,D,['high school chemistry' 'high school statistics']
89,data/test/college_physics_test.csv,89,C,A,['high school biology' 'astronomy']
90,data/test/college_physics_test.csv,90,C,B,['college computer science' 'high school statistics']
91,data/test/college_physics_test.csv,91,D,C,['computer security' 'conceptual physics']
92,data/test/college_physics_test.csv,92,C,A,['college mathematics' 'electrical engineering']
93,data/test/college_physics_test.csv,93,C,C,['conceptual physics' 'high school computer science']
94,data/test/college_physics_test.csv,94,B,C,['conceptual physics' 'high school statistics']
95,data/test/college_physics_test.csv,95,B,D,['college chemistry' 'conceptual physics']
96,data/test/college_physics_test.csv,96,D,C,['college biology' 'high school computer science']
97,data/test/college_physics_test.csv,97,D,C,['anatomy' 'high school mathematics']
98,data/test/college_physics_test.csv,98,B,A,['computer security' 'college biology']
99,data/test/college_physics_test.csv,99,D,B,['high school mathematics' 'college chemistry']
100,data/test/college_physics_test.csv,100,C,A,['astronomy' 'high school computer science']
101,data/test/college_physics_test.csv,101,D,D,['high school statistics' 'abstract algebra']
