,task,item,choice,gt,meta_tasks
0,data/test/high_school_chemistry_test.csv,0,A,A,['college biology' 'conceptual physics']
1,data/test/high_school_chemistry_test.csv,1,D,A,['college mathematics' 'astronomy']
2,data/test/high_school_chemistry_test.csv,2,B,C,['machine learning' 'college biology']
3,data/test/high_school_chemistry_test.csv,3,D,A,['college biology' 'high school statistics']
4,data/test/high_school_chemistry_test.csv,4,B,B,['machine learning' 'college computer science']
5,data/test/high_school_chemistry_test.csv,5,C,C,['college biology' 'high school computer science']
6,data/test/high_school_chemistry_test.csv,6,C,C,['college physics' 'high school physics']
7,data/test/high_school_chemistry_test.csv,7,D,D,['college mathematics' 'college chemistry']
8,data/test/high_school_chemistry_test.csv,8,D,C,['elementary mathematics' 'high school mathematics']
9,data/test/high_school_chemistry_test.csv,9,A,A,['college chemistry' 'high school physics']
10,data/test/high_school_chemistry_test.csv,10,D,C,['astronomy' 'college biology']
11,data/test/high_school_chemistry_test.csv,11,D,A,['college physics' 'high school biology']
12,data/test/high_school_chemistry_test.csv,12,D,C,['high school statistics' 'electrical engineering']
13,data/test/high_school_chemistry_test.csv,13,D,A,['computer security' 'high school physics']
14,data/test/high_school_chemistry_test.csv,14,D,D,['astronomy' 'anatomy']
15,data/test/high_school_chemistry_test.csv,15,B,C,['computer security' 'electrical engineering']
16,data/test/high_school_chemistry_test.csv,16,D,A,['high school mathematics' 'abstract algebra']
17,data/test/high_school_chemistry_test.csv,17,A,B,['conceptual physics' 'college physics']
18,data/test/high_school_chemistry_test.csv,18,B,B,['college biology' 'college physics']
19,data/test/high_school_chemistry_test.csv,19,C,D,['abstract algebra' 'college biology']
20,data/test/high_school_chemistry_test.csv,20,C,B,['college physics' 'electrical engineering']
21,data/test/high_school_chemistry_test.csv,21,C,C,['abstract algebra' 'high school statistics']
22,data/test/high_school_chemistry_test.csv,22,D,B,['abstract algebra' 'college chemistry']
23,data/test/high_school_chemistry_test.csv,23,A,B,['college computer science' 'college chemistry']
24,data/test/high_school_chemistry_test.csv,24,C,C,['college physics' 'anatomy']
25,data/test/high_school_chemistry_test.csv,25,A,B,['high school statistics' 'college biology']
26,data/test/high_school_chemistry_test.csv,26,C,D,['elementary mathematics' 'computer security']
27,data/test/high_school_chemistry_test.csv,27,C,C,['college mathematics' 'computer security']
28,data/test/high_school_chemistry_test.csv,28,B,B,['computer security' 'conceptual physics']
29,data/test/high_school_chemistry_test.csv,29,B,C,['astronomy' 'college computer science']
30,data/test/high_school_chemistry_test.csv,30,A,A,['computer security' 'anatomy']
31,data/test/high_school_chemistry_test.csv,31,B,D,['college mathematics' 'computer security']
32,data/test/high_school_chemistry_test.csv,32,C,D,['college physics' 'college chemistry']
33,data/test/high_school_chemistry_test.csv,33,C,C,['high school physics' 'machine learning']
34,data/test/high_school_chemistry_test.csv,34,D,B,['electrical engineering' 'anatomy']
35,data/test/high_school_chemistry_test.csv,35,A,C,['high school computer science' 'elementary mathematics']
36,data/test/high_school_chemistry_test.csv,36,D,B,['high school physics' 'high school computer science']
37,data/test/high_school_chemistry_test.csv,37,D,C,['high school physics' 'astronomy']
38,data/test/high_school_chemistry_test.csv,38,D,D,['college chemistry' 'high school computer science']
39,data/test/high_school_chemistry_test.csv,39,C,C,['high school physics' 'electrical engineering']
40,data/test/high_school_chemistry_test.csv,40,D,D,['high school computer science' 'machine learning']
41,data/test/high_school_chemistry_test.csv,41,D,D,['college physics' 'high school computer science']
42,data/test/high_school_chemistry_test.csv,42,A,C,['college biology' 'college physics']
43,data/test/high_school_chemistry_test.csv,43,C,C,['college computer science' 'high school mathematics']
44,data/test/high_school_chemistry_test.csv,44,D,D,['high school statistics' 'conceptual physics']
45,data/test/high_school_chemistry_test.csv,45,A,A,['high school statistics' 'high school physics']
46,data/test/high_school_chemistry_test.csv,46,C,D,['high school mathematics' 'machine learning']
47,data/test/high_school_chemistry_test.csv,47,D,D,['college mathematics' 'abstract algebra']
48,data/test/high_school_chemistry_test.csv,48,C,C,['high school computer science' 'elementary mathematics']
49,data/test/high_school_chemistry_test.csv,49,B,A,['college computer science' 'college biology']
50,data/test/high_school_chemistry_test.csv,50,C,B,['college biology' 'high school biology']
51,data/test/high_school_chemistry_test.csv,51,C,A,['college physics' 'high school mathematics']
52,data/test/high_school_chemistry_test.csv,52,D,A,['college computer science' 'college mathematics']
53,data/test/high_school_chemistry_test.csv,53,D,D,['electrical engineering' 'college chemistry']
54,data/test/high_school_chemistry_test.csv,54,C,C,['college biology' 'college physics']
55,data/test/high_school_chemistry_test.csv,55,B,B,['abstract algebra' 'college biology']
56,data/test/high_school_chemistry_test.csv,56,D,D,['college chemistry' 'high school physics']
57,data/test/high_school_chemistry_test.csv,57,C,C,['high school physics' 'astronomy']
58,data/test/high_school_chemistry_test.csv,58,D,D,['machine learning' 'high school physics']
59,data/test/high_school_chemistry_test.csv,59,D,D,['college mathematics' 'abstract algebra']
60,data/test/high_school_chemistry_test.csv,60,D,A,['abstract algebra' 'college mathematics']
61,data/test/high_school_chemistry_test.csv,61,D,B,['high school computer science' 'electrical engineering']
62,data/test/high_school_chemistry_test.csv,62,D,A,['elementary mathematics' 'college biology']
63,data/test/high_school_chemistry_test.csv,63,C,D,['college computer science' 'high school physics']
64,data/test/high_school_chemistry_test.csv,64,D,D,['high school computer science' 'computer security']
65,data/test/high_school_chemistry_test.csv,65,D,C,['computer security' 'electrical engineering']
