,task,item,choice,gt,meta_tasks
0,data/test/computer_security_test.csv,0,C,C,['college physics' 'high school physics']
1,data/test/computer_security_test.csv,1,C,A,['electrical engineering' 'astronomy']
2,data/test/computer_security_test.csv,2,D,C,['high school physics' 'astronomy']
3,data/test/computer_security_test.csv,3,A,A,['high school computer science' 'high school statistics']
4,data/test/computer_security_test.csv,4,A,A,['college computer science' 'anatomy']
5,data/test/computer_security_test.csv,5,B,B,['college mathematics' 'high school computer science']
6,data/test/computer_security_test.csv,6,D,A,['college biology' 'high school biology']
7,data/test/computer_security_test.csv,7,A,A,['conceptual physics' 'astronomy']
8,data/test/computer_security_test.csv,8,A,A,['astronomy' 'high school statistics']
9,data/test/computer_security_test.csv,9,B,B,['college physics' 'high school statistics']
10,data/test/computer_security_test.csv,10,A,D,['electrical engineering' 'college biology']
11,data/test/computer_security_test.csv,11,A,C,['high school biology' 'conceptual physics']
12,data/test/computer_security_test.csv,12,C,C,['college biology' 'astronomy']
13,data/test/computer_security_test.csv,13,B,B,['college computer science' 'high school biology']
14,data/test/computer_security_test.csv,14,C,C,['elementary mathematics' 'high school statistics']
15,data/test/computer_security_test.csv,15,B,B,['elementary mathematics' 'abstract algebra']
16,data/test/computer_security_test.csv,16,B,B,['college chemistry' 'conceptual physics']
17,data/test/computer_security_test.csv,17,A,A,['machine learning' 'high school chemistry']
18,data/test/computer_security_test.csv,18,A,A,['high school biology' 'college biology']
19,data/test/computer_security_test.csv,19,D,D,['high school computer science' 'high school mathematics']
20,data/test/computer_security_test.csv,20,D,D,['college mathematics' 'college physics']
21,data/test/computer_security_test.csv,21,D,C,['abstract algebra' 'college physics']
22,data/test/computer_security_test.csv,22,C,D,['college biology' 'electrical engineering']
23,data/test/computer_security_test.csv,23,C,C,['college physics' 'high school biology']
24,data/test/computer_security_test.csv,24,A,A,['college chemistry' 'college computer science']
25,data/test/computer_security_test.csv,25,C,C,['high school mathematics' 'conceptual physics']
26,data/test/computer_security_test.csv,26,B,B,['college mathematics' 'college biology']
27,data/test/computer_security_test.csv,27,D,B,['high school computer science' 'electrical engineering']
28,data/test/computer_security_test.csv,28,C,C,['high school physics' 'abstract algebra']
29,data/test/computer_security_test.csv,29,A,A,['college chemistry' 'high school computer science']
30,data/test/computer_security_test.csv,30,D,D,['college computer science' 'college chemistry']
31,data/test/computer_security_test.csv,31,C,D,['electrical engineering' 'high school chemistry']
32,data/test/computer_security_test.csv,32,C,C,['college mathematics' 'electrical engineering']
33,data/test/computer_security_test.csv,33,C,C,['electrical engineering' 'anatomy']
34,data/test/computer_security_test.csv,34,D,D,['elementary mathematics' 'high school chemistry']
35,data/test/computer_security_test.csv,35,C,C,['college chemistry' 'high school computer science']
36,data/test/computer_security_test.csv,36,C,C,['elementary mathematics' 'college chemistry']
37,data/test/computer_security_test.csv,37,D,D,['high school chemistry' 'college mathematics']
38,data/test/computer_security_test.csv,38,B,A,['high school biology' 'college biology']
39,data/test/computer_security_test.csv,39,C,C,['abstract algebra' 'high school physics']
40,data/test/computer_security_test.csv,40,B,B,['college computer science' 'machine learning']
41,data/test/computer_security_test.csv,41,B,B,['astronomy' 'college mathematics']
42,data/test/computer_security_test.csv,42,A,B,['astronomy' 'electrical engineering']
43,data/test/computer_security_test.csv,43,D,D,['college biology' 'high school mathematics']
44,data/test/computer_security_test.csv,44,C,A,['conceptual physics' 'high school chemistry']
45,data/test/computer_security_test.csv,45,D,D,['high school mathematics' 'high school biology']
46,data/test/computer_security_test.csv,46,B,B,['college computer science' 'machine learning']
47,data/test/computer_security_test.csv,47,C,C,['high school biology' 'high school chemistry']
48,data/test/computer_security_test.csv,48,A,A,['high school physics' 'high school biology']
49,data/test/computer_security_test.csv,49,C,C,['high school chemistry' 'anatomy']
50,data/test/computer_security_test.csv,50,C,C,['college physics' 'abstract algebra']
51,data/test/computer_security_test.csv,51,D,B,['high school physics' 'high school computer science']
52,data/test/computer_security_test.csv,52,A,A,['high school biology' 'high school physics']
53,data/test/computer_security_test.csv,53,B,B,['high school biology' 'high school physics']
54,data/test/computer_security_test.csv,54,B,A,['college biology' 'anatomy']
55,data/test/computer_security_test.csv,55,C,B,['high school chemistry' 'conceptual physics']
56,data/test/computer_security_test.csv,56,A,A,['college physics' 'anatomy']
57,data/test/computer_security_test.csv,57,B,B,['conceptual physics' 'electrical engineering']
58,data/test/computer_security_test.csv,58,B,B,['college biology' 'high school mathematics']
59,data/test/computer_security_test.csv,59,D,D,['college biology' 'high school chemistry']
60,data/test/computer_security_test.csv,60,A,A,['college biology' 'astronomy']
61,data/test/computer_security_test.csv,61,A,A,['college chemistry' 'high school computer science']
62,data/test/computer_security_test.csv,62,A,C,['college computer science' 'college biology']
63,data/test/computer_security_test.csv,63,D,D,['machine learning' 'college biology']
64,data/test/computer_security_test.csv,64,D,D,['electrical engineering' 'high school statistics']
65,data/test/computer_security_test.csv,65,C,C,['electrical engineering' 'college mathematics']
66,data/test/computer_security_test.csv,66,B,B,['abstract algebra' 'high school chemistry']
67,data/test/computer_security_test.csv,67,A,A,['college chemistry' 'astronomy']
68,data/test/computer_security_test.csv,68,B,B,['high school computer science' 'astronomy']
69,data/test/computer_security_test.csv,69,B,B,['high school chemistry' 'conceptual physics']
70,data/test/computer_security_test.csv,70,C,A,['elementary mathematics' 'abstract algebra']
71,data/test/computer_security_test.csv,71,B,B,['elementary mathematics' 'high school physics']
72,data/test/computer_security_test.csv,72,C,C,['high school biology' 'abstract algebra']
73,data/test/computer_security_test.csv,73,C,A,['astronomy' 'high school chemistry']
74,data/test/computer_security_test.csv,74,B,B,['college computer science' 'high school biology']
75,data/test/computer_security_test.csv,75,A,A,['conceptual physics' 'astronomy']
76,data/test/computer_security_test.csv,76,D,D,['high school physics' 'high school statistics']
77,data/test/computer_security_test.csv,77,C,C,['college chemistry' 'machine learning']
78,data/test/computer_security_test.csv,78,A,D,['college mathematics' 'high school mathematics']
79,data/test/computer_security_test.csv,79,C,C,['college physics' 'high school computer science']
80,data/test/computer_security_test.csv,80,D,D,['machine learning' 'high school biology']
81,data/test/computer_security_test.csv,81,D,C,['college physics' 'high school physics']
82,data/test/computer_security_test.csv,82,A,A,['conceptual physics' 'electrical engineering']
83,data/test/computer_security_test.csv,83,C,C,['abstract algebra' 'machine learning']
84,data/test/computer_security_test.csv,84,C,C,['college chemistry' 'machine learning']
85,data/test/computer_security_test.csv,85,A,A,['abstract algebra' 'high school computer science']
86,data/test/computer_security_test.csv,86,C,C,['college computer science' 'high school mathematics']
87,data/test/computer_security_test.csv,87,A,A,['college computer science' 'high school statistics']
88,data/test/computer_security_test.csv,88,A,D,['high school biology' 'elementary mathematics']
89,data/test/computer_security_test.csv,89,A,A,['conceptual physics' 'anatomy']
90,data/test/computer_security_test.csv,90,C,C,['college chemistry' 'high school chemistry']
91,data/test/computer_security_test.csv,91,C,C,['high school biology' 'college chemistry']
92,data/test/computer_security_test.csv,92,B,B,['high school computer science' 'machine learning']
93,data/test/computer_security_test.csv,93,C,D,['anatomy' 'college mathematics']
94,data/test/computer_security_test.csv,94,C,B,['abstract algebra' 'high school biology']
95,data/test/computer_security_test.csv,95,A,A,['electrical engineering' 'high school computer science']
96,data/test/computer_security_test.csv,96,D,A,['electrical engineering' 'college chemistry']
97,data/test/computer_security_test.csv,97,C,C,['astronomy' 'college mathematics']
98,data/test/computer_security_test.csv,98,C,C,['high school chemistry' 'high school computer science']
99,data/test/computer_security_test.csv,99,C,B,['anatomy' 'high school physics']
