,task,item,choice,gt,meta_tasks
0,data/test/machine_learning_test.csv,0,C,D,['high school computer science' 'college computer science']
1,data/test/machine_learning_test.csv,1,A,C,['college biology' 'college physics']
2,data/test/machine_learning_test.csv,2,C,B,['high school statistics' 'high school biology']
3,data/test/machine_learning_test.csv,3,C,D,['abstract algebra' 'high school physics']
4,data/test/machine_learning_test.csv,4,A,A,['college chemistry' 'elementary mathematics']
5,data/test/machine_learning_test.csv,5,C,B,['abstract algebra' 'elementary mathematics']
6,data/test/machine_learning_test.csv,6,C,A,['high school computer science' 'high school physics']
7,data/test/machine_learning_test.csv,7,A,B,['college computer science' 'conceptual physics']
8,data/test/machine_learning_test.csv,8,B,C,['high school computer science' 'abstract algebra']
9,data/test/machine_learning_test.csv,9,A,A,['high school mathematics' 'elementary mathematics']
10,data/test/machine_learning_test.csv,10,A,A,['astronomy' 'conceptual physics']
11,data/test/machine_learning_test.csv,11,B,C,['college biology' 'abstract algebra']
12,data/test/machine_learning_test.csv,12,C,A,['high school physics' 'college computer science']
13,data/test/machine_learning_test.csv,13,C,B,['high school chemistry' 'high school physics']
14,data/test/machine_learning_test.csv,14,B,B,['high school statistics' 'college physics']
15,data/test/machine_learning_test.csv,15,C,B,['college computer science' 'anatomy']
16,data/test/machine_learning_test.csv,16,B,C,['astronomy' 'high school mathematics']
17,data/test/machine_learning_test.csv,17,C,A,['college computer science' 'high school computer science']
18,data/test/machine_learning_test.csv,18,A,A,['anatomy' 'college physics']
19,data/test/machine_learning_test.csv,19,A,A,['college biology' 'college physics']
20,data/test/machine_learning_test.csv,20,A,C,['computer security' 'college mathematics']
21,data/test/machine_learning_test.csv,21,A,A,['elementary mathematics' 'high school chemistry']
22,data/test/machine_learning_test.csv,22,D,B,['college mathematics' 'high school physics']
23,data/test/machine_learning_test.csv,23,C,C,['college computer science' 'high school statistics']
24,data/test/machine_learning_test.csv,24,B,B,['high school mathematics' 'college mathematics']
25,data/test/machine_learning_test.csv,25,C,A,['computer security' 'high school biology']
