,task,item,choice,gt,meta_tasks
0,data/test/formal_logic_test.csv,0,D,D,['jurisprudence' 'philosophy']
1,data/test/formal_logic_test.csv,1,B,A,['moral scenarios' 'world religions']
2,data/test/formal_logic_test.csv,2,C,C,['moral disputes' 'high school world history']
3,data/test/formal_logic_test.csv,3,D,A,['moral scenarios' 'moral disputes']
4,data/test/formal_logic_test.csv,4,B,B,['moral disputes' 'jurisprudence']
5,data/test/formal_logic_test.csv,5,D,D,['world religions' 'jurisprudence']
6,data/test/formal_logic_test.csv,6,D,D,['world religions' 'philosophy']
7,data/test/formal_logic_test.csv,7,B,B,['high school world history' 'prehistory']
8,data/test/formal_logic_test.csv,8,C,D,['logical fallacies' 'international law']
9,data/test/formal_logic_test.csv,9,D,D,['moral disputes' 'international law']
10,data/test/formal_logic_test.csv,10,A,A,['jurisprudence' 'world religions']
11,data/test/formal_logic_test.csv,11,C,B,['logical fallacies' 'high school us history']
12,data/test/formal_logic_test.csv,12,C,D,['moral disputes' 'philosophy']
13,data/test/formal_logic_test.csv,13,C,C,['world religions' 'prehistory']
14,data/test/formal_logic_test.csv,14,B,D,['moral disputes' 'high school european history']
15,data/test/formal_logic_test.csv,15,D,B,['logical fallacies' 'moral disputes']
16,data/test/formal_logic_test.csv,16,C,D,['high school us history' 'world religions']
17,data/test/formal_logic_test.csv,17,B,D,['philosophy' 'jurisprudence']
18,data/test/formal_logic_test.csv,18,C,B,['jurisprudence' 'world religions']
19,data/test/formal_logic_test.csv,19,C,B,['high school european history' 'high school us history']
20,data/test/formal_logic_test.csv,20,B,B,['moral disputes' 'philosophy']
21,data/test/formal_logic_test.csv,21,C,D,['moral disputes' 'world religions']
22,data/test/formal_logic_test.csv,22,B,B,['jurisprudence' 'moral scenarios']
23,data/test/formal_logic_test.csv,23,B,C,['prehistory' 'high school us history']
24,data/test/formal_logic_test.csv,24,D,D,['moral scenarios' 'high school us history']
25,data/test/formal_logic_test.csv,25,C,A,['moral disputes' 'high school world history']
26,data/test/formal_logic_test.csv,26,C,D,['logical fallacies' 'international law']
27,data/test/formal_logic_test.csv,27,C,A,['prehistory' 'logical fallacies']
28,data/test/formal_logic_test.csv,28,B,A,['moral scenarios' 'logical fallacies']
29,data/test/formal_logic_test.csv,29,C,A,['high school european history' 'philosophy']
30,data/test/formal_logic_test.csv,30,C,B,['prehistory' 'moral scenarios']
31,data/test/formal_logic_test.csv,31,B,A,['moral scenarios' 'moral disputes']
32,data/test/formal_logic_test.csv,32,A,D,['world religions' 'high school european history']
33,data/test/formal_logic_test.csv,33,B,B,['logical fallacies' 'philosophy']
34,data/test/formal_logic_test.csv,34,D,D,['moral disputes' 'philosophy']
35,data/test/formal_logic_test.csv,35,B,C,['moral scenarios' 'world religions']
36,data/test/formal_logic_test.csv,36,B,B,['high school us history' 'moral scenarios']
37,data/test/formal_logic_test.csv,37,D,D,['philosophy' 'prehistory']
38,data/test/formal_logic_test.csv,38,B,B,['high school european history' 'prehistory']
39,data/test/formal_logic_test.csv,39,A,D,['high school world history' 'prehistory']
40,data/test/formal_logic_test.csv,40,A,A,['world religions' 'prehistory']
41,data/test/formal_logic_test.csv,41,C,A,['philosophy' 'prehistory']
42,data/test/formal_logic_test.csv,42,C,C,['high school european history' 'jurisprudence']
43,data/test/formal_logic_test.csv,43,C,A,['high school european history' 'moral disputes']
44,data/test/formal_logic_test.csv,44,B,A,['world religions' 'high school us history']
45,data/test/formal_logic_test.csv,45,C,A,['high school european history' 'international law']
46,data/test/formal_logic_test.csv,46,C,D,['world religions' 'high school us history']
47,data/test/formal_logic_test.csv,47,C,A,['high school world history' 'moral disputes']
48,data/test/formal_logic_test.csv,48,B,D,['jurisprudence' 'logical fallacies']
49,data/test/formal_logic_test.csv,49,D,B,['high school world history' 'moral disputes']
50,data/test/formal_logic_test.csv,50,A,B,['philosophy' 'international law']
51,data/test/formal_logic_test.csv,51,B,A,['high school world history' 'moral disputes']
52,data/test/formal_logic_test.csv,52,D,D,['logical fallacies' 'high school world history']
53,data/test/formal_logic_test.csv,53,D,D,['high school european history' 'jurisprudence']
54,data/test/formal_logic_test.csv,54,D,B,['philosophy' 'world religions']
55,data/test/formal_logic_test.csv,55,B,B,['moral disputes' 'high school us history']
56,data/test/formal_logic_test.csv,56,D,B,['moral disputes' 'high school world history']
57,data/test/formal_logic_test.csv,57,C,B,['high school us history' 'moral disputes']
58,data/test/formal_logic_test.csv,58,B,B,['prehistory' 'international law']
59,data/test/formal_logic_test.csv,59,D,D,['world religions' 'logical fallacies']
60,data/test/formal_logic_test.csv,60,C,C,['international law' 'moral scenarios']
61,data/test/formal_logic_test.csv,61,D,D,['moral scenarios' 'philosophy']
62,data/test/formal_logic_test.csv,62,B,D,['high school us history' 'philosophy']
63,data/test/formal_logic_test.csv,63,C,A,['philosophy' 'moral scenarios']
64,data/test/formal_logic_test.csv,64,C,D,['prehistory' 'high school us history']
65,data/test/formal_logic_test.csv,65,C,D,['international law' 'high school us history']
66,data/test/formal_logic_test.csv,66,B,D,['international law' 'high school us history']
67,data/test/formal_logic_test.csv,67,B,A,['world religions' 'international law']
68,data/test/formal_logic_test.csv,68,C,D,['international law' 'philosophy']
69,data/test/formal_logic_test.csv,69,C,A,['moral disputes' 'high school european history']
70,data/test/formal_logic_test.csv,70,C,D,['high school world history' 'high school european history']
71,data/test/formal_logic_test.csv,71,C,C,['world religions' 'philosophy']
72,data/test/formal_logic_test.csv,72,C,A,['high school us history' 'high school european history']
73,data/test/formal_logic_test.csv,73,D,A,['high school world history' 'world religions']
74,data/test/formal_logic_test.csv,74,D,D,['jurisprudence' 'high school european history']
75,data/test/formal_logic_test.csv,75,D,D,['high school world history' 'world religions']
76,data/test/formal_logic_test.csv,76,C,C,['logical fallacies' 'international law']
77,data/test/formal_logic_test.csv,77,C,B,['logical fallacies' 'moral scenarios']
78,data/test/formal_logic_test.csv,78,C,B,['philosophy' 'high school world history']
79,data/test/formal_logic_test.csv,79,D,C,['high school us history' 'jurisprudence']
80,data/test/formal_logic_test.csv,80,C,D,['high school world history' 'jurisprudence']
81,data/test/formal_logic_test.csv,81,B,A,['high school european history' 'international law']
82,data/test/formal_logic_test.csv,82,D,B,['philosophy' 'moral disputes']
83,data/test/formal_logic_test.csv,83,C,A,['moral disputes' 'jurisprudence']
84,data/test/formal_logic_test.csv,84,C,D,['prehistory' 'moral disputes']
85,data/test/formal_logic_test.csv,85,C,B,['world religions' 'international law']
86,data/test/formal_logic_test.csv,86,C,C,['high school world history' 'high school european history']
87,data/test/formal_logic_test.csv,87,B,D,['logical fallacies' 'high school us history']
88,data/test/formal_logic_test.csv,88,B,A,['high school european history' 'moral disputes']
89,data/test/formal_logic_test.csv,89,C,A,['world religions' 'international law']
90,data/test/formal_logic_test.csv,90,B,D,['philosophy' 'international law']
91,data/test/formal_logic_test.csv,91,D,A,['philosophy' 'international law']
92,data/test/formal_logic_test.csv,92,C,C,['moral scenarios' 'prehistory']
93,data/test/formal_logic_test.csv,93,D,A,['prehistory' 'moral scenarios']
94,data/test/formal_logic_test.csv,94,C,C,['moral disputes' 'logical fallacies']
95,data/test/formal_logic_test.csv,95,B,D,['moral disputes' 'high school european history']
96,data/test/formal_logic_test.csv,96,C,D,['high school us history' 'international law']
97,data/test/formal_logic_test.csv,97,B,D,['international law' 'high school world history']
98,data/test/formal_logic_test.csv,98,D,D,['high school world history' 'international law']
99,data/test/formal_logic_test.csv,99,C,C,['high school us history' 'world religions']
100,data/test/formal_logic_test.csv,100,B,D,['high school european history' 'high school world history']
101,data/test/formal_logic_test.csv,101,C,A,['moral disputes' 'international law']
102,data/test/formal_logic_test.csv,102,C,A,['prehistory' 'jurisprudence']
103,data/test/formal_logic_test.csv,103,D,D,['philosophy' 'prehistory']
104,data/test/formal_logic_test.csv,104,D,D,['world religions' 'prehistory']
105,data/test/formal_logic_test.csv,105,D,A,['high school us history' 'moral scenarios']
106,data/test/formal_logic_test.csv,106,C,D,['high school world history' 'high school european history']
107,data/test/formal_logic_test.csv,107,B,A,['philosophy' 'prehistory']
108,data/test/formal_logic_test.csv,108,B,A,['prehistory' 'moral disputes']
109,data/test/formal_logic_test.csv,109,C,D,['moral scenarios' 'prehistory']
110,data/test/formal_logic_test.csv,110,A,B,['high school world history' 'moral disputes']
111,data/test/formal_logic_test.csv,111,C,B,['philosophy' 'prehistory']
112,data/test/formal_logic_test.csv,112,D,A,['high school world history' 'world religions']
113,data/test/formal_logic_test.csv,113,B,C,['jurisprudence' 'high school world history']
114,data/test/formal_logic_test.csv,114,D,D,['high school us history' 'prehistory']
115,data/test/formal_logic_test.csv,115,C,A,['moral scenarios' 'high school european history']
116,data/test/formal_logic_test.csv,116,D,C,['logical fallacies' 'high school world history']
117,data/test/formal_logic_test.csv,117,A,C,['prehistory' 'high school world history']
118,data/test/formal_logic_test.csv,118,D,C,['high school world history' 'moral disputes']
119,data/test/formal_logic_test.csv,119,D,A,['world religions' 'high school us history']
120,data/test/formal_logic_test.csv,120,D,A,['jurisprudence' 'world religions']
121,data/test/formal_logic_test.csv,121,D,D,['prehistory' 'logical fallacies']
122,data/test/formal_logic_test.csv,122,B,D,['logical fallacies' 'high school european history']
123,data/test/formal_logic_test.csv,123,D,A,['world religions' 'international law']
124,data/test/formal_logic_test.csv,124,C,C,['moral disputes' 'high school world history']
125,data/test/formal_logic_test.csv,125,C,C,['international law' 'jurisprudence']
