,task,item,choice,gt,meta_tasks
0,data/test/high_school_statistics_test.csv,0,B,B,['high school physics' 'computer security']
1,data/test/high_school_statistics_test.csv,1,D,C,['elementary mathematics' 'anatomy']
2,data/test/high_school_statistics_test.csv,2,A,D,['high school physics' 'high school chemistry']
3,data/test/high_school_statistics_test.csv,3,A,D,['high school chemistry' 'high school computer science']
4,data/test/high_school_statistics_test.csv,4,D,D,['college chemistry' 'college biology']
5,data/test/high_school_statistics_test.csv,5,B,D,['college physics' 'high school biology']
6,data/test/high_school_statistics_test.csv,6,D,D,['computer security' 'abstract algebra']
7,data/test/high_school_statistics_test.csv,7,C,D,['machine learning' 'elementary mathematics']
8,data/test/high_school_statistics_test.csv,8,B,C,['abstract algebra' 'college physics']
9,data/test/high_school_statistics_test.csv,9,A,D,['college mathematics' 'astronomy']
10,data/test/high_school_statistics_test.csv,10,D,A,['electrical engineering' 'high school computer science']
11,data/test/high_school_statistics_test.csv,11,C,C,['high school mathematics' 'college physics']
12,data/test/high_school_statistics_test.csv,12,D,D,['astronomy' 'high school physics']
13,data/test/high_school_statistics_test.csv,13,A,C,['college biology' 'machine learning']
14,data/test/high_school_statistics_test.csv,14,A,D,['conceptual physics' 'high school computer science']
15,data/test/high_school_statistics_test.csv,15,D,D,['high school computer science' 'high school biology']
16,data/test/high_school_statistics_test.csv,16,B,B,['college computer science' 'machine learning']
17,data/test/high_school_statistics_test.csv,17,C,D,['college computer science' 'high school chemistry']
18,data/test/high_school_statistics_test.csv,18,B,D,['computer security' 'college computer science']
19,data/test/high_school_statistics_test.csv,19,D,D,['college chemistry' 'college computer science']
20,data/test/high_school_statistics_test.csv,20,D,D,['high school mathematics' 'college physics']
21,data/test/high_school_statistics_test.csv,21,B,D,['college chemistry' 'college physics']
22,data/test/high_school_statistics_test.csv,22,B,C,['machine learning' 'college computer science']
23,data/test/high_school_statistics_test.csv,23,A,B,['computer security' 'machine learning']
24,data/test/high_school_statistics_test.csv,24,B,A,['elementary mathematics' 'electrical engineering']
25,data/test/high_school_statistics_test.csv,25,D,D,['abstract algebra' 'computer security']
26,data/test/high_school_statistics_test.csv,26,A,A,['machine learning' 'abstract algebra']
27,data/test/high_school_statistics_test.csv,27,C,A,['high school physics' 'conceptual physics']
28,data/test/high_school_statistics_test.csv,28,A,D,['computer security' 'college chemistry']
29,data/test/high_school_statistics_test.csv,29,A,D,['college mathematics' 'high school physics']
30,data/test/high_school_statistics_test.csv,30,C,D,['electrical engineering' 'college mathematics']
31,data/test/high_school_statistics_test.csv,31,D,D,['high school mathematics' 'college mathematics']
32,data/test/high_school_statistics_test.csv,32,B,D,['high school physics' 'high school mathematics']
33,data/test/high_school_statistics_test.csv,33,B,D,['college computer science' 'astronomy']
34,data/test/high_school_statistics_test.csv,34,A,A,['conceptual physics' 'high school computer science']
35,data/test/high_school_statistics_test.csv,35,A,D,['college mathematics' 'high school physics']
36,data/test/high_school_statistics_test.csv,36,A,C,['machine learning' 'college mathematics']
37,data/test/high_school_statistics_test.csv,37,D,A,['high school biology' 'college mathematics']
38,data/test/high_school_statistics_test.csv,38,C,A,['anatomy' 'high school computer science']
39,data/test/high_school_statistics_test.csv,39,B,B,['college biology' 'college computer science']
40,data/test/high_school_statistics_test.csv,40,B,D,['astronomy' 'high school computer science']
41,data/test/high_school_statistics_test.csv,41,A,D,['college biology' 'college mathematics']
42,data/test/high_school_statistics_test.csv,42,A,A,['high school computer science' 'college computer science']
43,data/test/high_school_statistics_test.csv,43,B,A,['machine learning' 'college computer science']
44,data/test/high_school_statistics_test.csv,44,C,A,['astronomy' 'college chemistry']
45,data/test/high_school_statistics_test.csv,45,A,B,['high school computer science' 'college biology']
46,data/test/high_school_statistics_test.csv,46,D,B,['computer security' 'anatomy']
47,data/test/high_school_statistics_test.csv,47,A,C,['high school chemistry' 'high school biology']
48,data/test/high_school_statistics_test.csv,48,A,C,['computer security' 'high school biology']
49,data/test/high_school_statistics_test.csv,49,B,D,['high school computer science' 'electrical engineering']
50,data/test/high_school_statistics_test.csv,50,A,D,['high school computer science' 'computer security']
51,data/test/high_school_statistics_test.csv,51,D,D,['college mathematics' 'high school biology']
52,data/test/high_school_statistics_test.csv,52,C,D,['high school biology' 'elementary mathematics']
53,data/test/high_school_statistics_test.csv,53,B,A,['computer security' 'machine learning']
54,data/test/high_school_statistics_test.csv,54,C,D,['high school computer science' 'abstract algebra']
55,data/test/high_school_statistics_test.csv,55,D,D,['astronomy' 'high school chemistry']
56,data/test/high_school_statistics_test.csv,56,C,A,['conceptual physics' 'college mathematics']
57,data/test/high_school_statistics_test.csv,57,B,D,['college computer science' 'high school chemistry']
58,data/test/high_school_statistics_test.csv,58,A,C,['abstract algebra' 'high school physics']
59,data/test/high_school_statistics_test.csv,59,D,D,['high school chemistry' 'abstract algebra']
60,data/test/high_school_statistics_test.csv,60,B,C,['machine learning' 'high school computer science']
61,data/test/high_school_statistics_test.csv,61,A,D,['anatomy' 'college mathematics']
62,data/test/high_school_statistics_test.csv,62,C,D,['anatomy' 'computer security']
63,data/test/high_school_statistics_test.csv,63,A,A,['college mathematics' 'high school physics']
64,data/test/high_school_statistics_test.csv,64,A,D,['college chemistry' 'high school computer science']
65,data/test/high_school_statistics_test.csv,65,A,D,['conceptual physics' 'machine learning']
66,data/test/high_school_statistics_test.csv,66,C,B,['electrical engineering' 'high school mathematics']
67,data/test/high_school_statistics_test.csv,67,D,B,['elementary mathematics' 'conceptual physics']
68,data/test/high_school_statistics_test.csv,68,C,A,['machine learning' 'college computer science']
69,data/test/high_school_statistics_test.csv,69,D,B,['electrical engineering' 'abstract algebra']
70,data/test/high_school_statistics_test.csv,70,D,C,['high school chemistry' 'high school biology']
71,data/test/high_school_statistics_test.csv,71,C,D,['high school computer science' 'high school mathematics']
72,data/test/high_school_statistics_test.csv,72,B,B,['college physics' 'astronomy']
73,data/test/high_school_statistics_test.csv,73,A,C,['college mathematics' 'computer security']
74,data/test/high_school_statistics_test.csv,74,B,D,['college computer science' 'college biology']
75,data/test/high_school_statistics_test.csv,75,D,B,['computer security' 'high school physics']
