,task,item,choice,gt,meta_tasks
0,data/test/conceptual_physics_test.csv,0,A,A,['college mathematics' 'college physics']
1,data/test/conceptual_physics_test.csv,1,D,B,['high school biology' 'anatomy']
2,data/test/conceptual_physics_test.csv,2,B,B,['college chemistry' 'high school computer science']
3,data/test/conceptual_physics_test.csv,3,A,B,['college biology' 'elementary mathematics']
4,data/test/conceptual_physics_test.csv,4,A,A,['electrical engineering' 'computer security']
5,data/test/conceptual_physics_test.csv,5,D,D,['college computer science' 'college chemistry']
6,data/test/conceptual_physics_test.csv,6,D,D,['high school mathematics' 'anatomy']
7,data/test/conceptual_physics_test.csv,7,A,A,['high school computer science' 'college biology']
8,data/test/conceptual_physics_test.csv,8,B,B,['college physics' 'elementary mathematics']
9,data/test/conceptual_physics_test.csv,9,D,D,['high school physics' 'high school mathematics']
10,data/test/conceptual_physics_test.csv,10,B,B,['machine learning' 'high school computer science']
11,data/test/conceptual_physics_test.csv,11,C,C,['astronomy' 'anatomy']
12,data/test/conceptual_physics_test.csv,12,D,B,['abstract algebra' 'high school biology']
13,data/test/conceptual_physics_test.csv,13,A,A,['college chemistry' 'high school computer science']
14,data/test/conceptual_physics_test.csv,14,B,B,['abstract algebra' 'high school statistics']
15,data/test/conceptual_physics_test.csv,15,A,A,['anatomy' 'college mathematics']
16,data/test/conceptual_physics_test.csv,16,C,A,['machine learning' 'elementary mathematics']
17,data/test/conceptual_physics_test.csv,17,B,B,['high school biology' 'college chemistry']
18,data/test/conceptual_physics_test.csv,18,D,D,['electrical engineering' 'high school physics']
19,data/test/conceptual_physics_test.csv,19,A,A,['machine learning' 'college physics']
20,data/test/conceptual_physics_test.csv,20,D,A,['high school statistics' 'anatomy']
21,data/test/conceptual_physics_test.csv,21,C,C,['college chemistry' 'college physics']
22,data/test/conceptual_physics_test.csv,22,D,D,['high school statistics' 'computer security']
23,data/test/conceptual_physics_test.csv,23,B,C,['electrical engineering' 'high school biology']
24,data/test/conceptual_physics_test.csv,24,C,C,['computer security' 'college mathematics']
25,data/test/conceptual_physics_test.csv,25,B,A,['electrical engineering' 'high school physics']
26,data/test/conceptual_physics_test.csv,26,D,D,['astronomy' 'high school computer science']
27,data/test/conceptual_physics_test.csv,27,A,A,['college biology' 'high school chemistry']
28,data/test/conceptual_physics_test.csv,28,C,C,['astronomy' 'high school physics']
29,data/test/conceptual_physics_test.csv,29,C,C,['high school computer science' 'electrical engineering']
30,data/test/conceptual_physics_test.csv,30,A,B,['college chemistry' 'machine learning']
31,data/test/conceptual_physics_test.csv,31,D,D,['college biology' 'high school computer science']
32,data/test/conceptual_physics_test.csv,32,B,C,['high school computer science' 'elementary mathematics']
33,data/test/conceptual_physics_test.csv,33,D,D,['high school statistics' 'elementary mathematics']
34,data/test/conceptual_physics_test.csv,34,D,D,['high school biology' 'college biology']
35,data/test/conceptual_physics_test.csv,35,C,A,['high school physics' 'college mathematics']
36,data/test/conceptual_physics_test.csv,36,C,A,['high school chemistry' 'astronomy']
37,data/test/conceptual_physics_test.csv,37,C,C,['machine learning' 'high school statistics']
38,data/test/conceptual_physics_test.csv,38,D,D,['college mathematics' 'anatomy']
39,data/test/conceptual_physics_test.csv,39,A,A,['electrical engineering' 'high school biology']
40,data/test/conceptual_physics_test.csv,40,A,C,['college computer science' 'machine learning']
41,data/test/conceptual_physics_test.csv,41,D,D,['computer security' 'abstract algebra']
42,data/test/conceptual_physics_test.csv,42,B,B,['high school biology' 'college mathematics']
43,data/test/conceptual_physics_test.csv,43,C,C,['electrical engineering' 'high school physics']
44,data/test/conceptual_physics_test.csv,44,D,D,['electrical engineering' 'high school statistics']
45,data/test/conceptual_physics_test.csv,45,A,A,['abstract algebra' 'high school chemistry']
46,data/test/conceptual_physics_test.csv,46,C,C,['anatomy' 'college chemistry']
47,data/test/conceptual_physics_test.csv,47,A,B,['high school biology' 'college computer science']
48,data/test/conceptual_physics_test.csv,48,A,A,['college mathematics' 'college computer science']
49,data/test/conceptual_physics_test.csv,49,A,A,['high school chemistry' 'astronomy']
50,data/test/conceptual_physics_test.csv,50,A,A,['college mathematics' 'astronomy']
51,data/test/conceptual_physics_test.csv,51,A,A,['college mathematics' 'abstract algebra']
52,data/test/conceptual_physics_test.csv,52,A,A,['high school mathematics' 'elementary mathematics']
53,data/test/conceptual_physics_test.csv,53,B,B,['electrical engineering' 'college chemistry']
54,data/test/conceptual_physics_test.csv,54,A,D,['computer security' 'elementary mathematics']
