,task,item,choice,gt,meta_tasks
0,data/test/machine_learning_test.csv,0,C,D,['conceptual physics' 'college mathematics']
1,data/test/machine_learning_test.csv,1,C,C,['electrical engineering' 'high school computer science']
2,data/test/machine_learning_test.csv,2,C,B,['high school statistics' 'computer security']
3,data/test/machine_learning_test.csv,3,C,D,['high school chemistry' 'college physics']
4,data/test/machine_learning_test.csv,4,A,A,['high school chemistry' 'high school computer science']
5,data/test/machine_learning_test.csv,5,C,B,['anatomy' 'high school statistics']
6,data/test/machine_learning_test.csv,6,D,A,['college physics' 'college computer science']
7,data/test/machine_learning_test.csv,7,C,B,['abstract algebra' 'elementary mathematics']
8,data/test/machine_learning_test.csv,8,B,C,['high school biology' 'elementary mathematics']
9,data/test/machine_learning_test.csv,9,A,A,['electrical engineering' 'astronomy']
10,data/test/machine_learning_test.csv,10,C,A,['astronomy' 'college mathematics']
11,data/test/machine_learning_test.csv,11,B,C,['abstract algebra' 'high school physics']
12,data/test/machine_learning_test.csv,12,C,A,['college computer science' 'college biology']
13,data/test/machine_learning_test.csv,13,C,B,['conceptual physics' 'college mathematics']
14,data/test/machine_learning_test.csv,14,A,B,['astronomy' 'computer security']
15,data/test/machine_learning_test.csv,15,C,B,['college chemistry' 'high school computer science']
16,data/test/machine_learning_test.csv,16,B,C,['college physics' 'high school mathematics']
17,data/test/machine_learning_test.csv,17,C,A,['high school statistics' 'college chemistry']
18,data/test/machine_learning_test.csv,18,A,A,['astronomy' 'high school physics']
19,data/test/machine_learning_test.csv,19,C,A,['college mathematics' 'high school statistics']
20,data/test/machine_learning_test.csv,20,D,C,['high school chemistry' 'abstract algebra']
21,data/test/machine_learning_test.csv,21,C,A,['college biology' 'conceptual physics']
22,data/test/machine_learning_test.csv,22,C,B,['high school mathematics' 'astronomy']
23,data/test/machine_learning_test.csv,23,C,C,['college computer science' 'high school biology']
24,data/test/machine_learning_test.csv,24,B,B,['high school chemistry' 'college chemistry']
25,data/test/machine_learning_test.csv,25,C,A,['high school biology' 'astronomy']
26,data/test/machine_learning_test.csv,26,B,B,['high school statistics' 'high school computer science']
27,data/test/machine_learning_test.csv,27,C,C,['elementary mathematics' 'abstract algebra']
28,data/test/machine_learning_test.csv,28,B,D,['high school chemistry' 'astronomy']
29,data/test/machine_learning_test.csv,29,D,C,['college chemistry' 'high school chemistry']
30,data/test/machine_learning_test.csv,30,D,C,['high school biology' 'high school statistics']
31,data/test/machine_learning_test.csv,31,B,C,['high school statistics' 'college mathematics']
32,data/test/machine_learning_test.csv,32,C,B,['high school mathematics' 'electrical engineering']
33,data/test/machine_learning_test.csv,33,C,D,['high school biology' 'high school physics']
34,data/test/machine_learning_test.csv,34,A,A,['computer security' 'high school physics']
35,data/test/machine_learning_test.csv,35,D,D,['elementary mathematics' 'computer security']
36,data/test/machine_learning_test.csv,36,D,D,['anatomy' 'electrical engineering']
37,data/test/machine_learning_test.csv,37,C,B,['high school computer science' 'high school statistics']
38,data/test/machine_learning_test.csv,38,D,B,['college physics' 'conceptual physics']
39,data/test/machine_learning_test.csv,39,C,A,['college computer science' 'high school biology']
40,data/test/machine_learning_test.csv,40,A,A,['high school statistics' 'anatomy']
41,data/test/machine_learning_test.csv,41,B,C,['high school mathematics' 'college mathematics']
42,data/test/machine_learning_test.csv,42,C,B,['college computer science' 'electrical engineering']
43,data/test/machine_learning_test.csv,43,C,B,['high school physics' 'college chemistry']
44,data/test/machine_learning_test.csv,44,D,D,['college physics' 'high school chemistry']
45,data/test/machine_learning_test.csv,45,C,A,['elementary mathematics' 'college computer science']
46,data/test/machine_learning_test.csv,46,C,D,['anatomy' 'high school physics']
47,data/test/machine_learning_test.csv,47,B,A,['abstract algebra' 'college chemistry']
48,data/test/machine_learning_test.csv,48,C,D,['college physics' 'abstract algebra']
49,data/test/machine_learning_test.csv,49,C,D,['high school mathematics' 'anatomy']
50,data/test/machine_learning_test.csv,50,C,B,['high school mathematics' 'anatomy']
51,data/test/machine_learning_test.csv,51,C,A,['computer security' 'electrical engineering']
52,data/test/machine_learning_test.csv,52,C,D,['high school biology' 'elementary mathematics']
53,data/test/machine_learning_test.csv,53,C,C,['electrical engineering' 'high school physics']
54,data/test/machine_learning_test.csv,54,D,A,['college mathematics' 'high school statistics']
55,data/test/machine_learning_test.csv,55,D,D,['high school chemistry' 'college computer science']
56,data/test/machine_learning_test.csv,56,C,D,['high school mathematics' 'high school physics']
57,data/test/machine_learning_test.csv,57,C,D,['high school computer science' 'conceptual physics']
58,data/test/machine_learning_test.csv,58,D,B,['computer security' 'high school chemistry']
59,data/test/machine_learning_test.csv,59,B,B,['high school computer science' 'anatomy']
60,data/test/machine_learning_test.csv,60,C,B,['high school mathematics' 'conceptual physics']
61,data/test/machine_learning_test.csv,61,C,A,['college computer science' 'high school computer science']
62,data/test/machine_learning_test.csv,62,C,C,['abstract algebra' 'elementary mathematics']
63,data/test/machine_learning_test.csv,63,D,B,['astronomy' 'college physics']
64,data/test/machine_learning_test.csv,64,C,A,['college mathematics' 'high school computer science']
65,data/test/machine_learning_test.csv,65,A,C,['anatomy' 'college biology']
66,data/test/machine_learning_test.csv,66,C,C,['college computer science' 'anatomy']
67,data/test/machine_learning_test.csv,67,C,A,['high school mathematics' 'high school biology']
68,data/test/machine_learning_test.csv,68,C,A,['computer security' 'college physics']
69,data/test/machine_learning_test.csv,69,A,A,['conceptual physics' 'high school statistics']
70,data/test/machine_learning_test.csv,70,C,A,['high school biology' 'computer security']
71,data/test/machine_learning_test.csv,71,A,A,['high school mathematics' 'high school physics']
72,data/test/machine_learning_test.csv,72,C,B,['elementary mathematics' 'conceptual physics']
73,data/test/machine_learning_test.csv,73,B,D,['astronomy' 'abstract algebra']
74,data/test/machine_learning_test.csv,74,C,C,['elementary mathematics' 'anatomy']
75,data/test/machine_learning_test.csv,75,D,B,['high school biology' 'abstract algebra']
76,data/test/machine_learning_test.csv,76,C,C,['college physics' 'high school mathematics']
77,data/test/machine_learning_test.csv,77,C,A,['high school statistics' 'high school mathematics']
78,data/test/machine_learning_test.csv,78,C,B,['college biology' 'anatomy']
79,data/test/machine_learning_test.csv,79,C,D,['conceptual physics' 'computer security']
80,data/test/machine_learning_test.csv,80,C,A,['astronomy' 'elementary mathematics']
81,data/test/machine_learning_test.csv,81,C,C,['anatomy' 'college mathematics']
82,data/test/machine_learning_test.csv,82,B,B,['college mathematics' 'college biology']
83,data/test/machine_learning_test.csv,83,A,A,['elementary mathematics' 'high school mathematics']
84,data/test/machine_learning_test.csv,84,C,C,['astronomy' 'high school computer science']
85,data/test/machine_learning_test.csv,85,C,A,['elementary mathematics' 'college biology']
86,data/test/machine_learning_test.csv,86,A,A,['elementary mathematics' 'college physics']
87,data/test/machine_learning_test.csv,87,C,C,['abstract algebra' 'high school chemistry']
88,data/test/machine_learning_test.csv,88,C,C,['college mathematics' 'abstract algebra']
89,data/test/machine_learning_test.csv,89,C,A,['college physics' 'high school computer science']
90,data/test/machine_learning_test.csv,90,C,C,['high school biology' 'computer security']
91,data/test/machine_learning_test.csv,91,C,B,['computer security' 'high school physics']
92,data/test/machine_learning_test.csv,92,C,B,['elementary mathematics' 'high school physics']
93,data/test/machine_learning_test.csv,93,D,B,['elementary mathematics' 'high school biology']
94,data/test/machine_learning_test.csv,94,C,B,['high school biology' 'astronomy']
