,task,item,choice,gt,meta_tasks
0,data/test/college_mathematics_test.csv,0,D,B,['college computer science' 'elementary mathematics']
1,data/test/college_mathematics_test.csv,1,B,D,['high school mathematics' 'college physics']
2,data/test/college_mathematics_test.csv,2,C,D,['machine learning' 'high school physics']
3,data/test/college_mathematics_test.csv,3,B,A,['high school physics' 'abstract algebra']
4,data/test/college_mathematics_test.csv,4,C,C,['abstract algebra' 'electrical engineering']
5,data/test/college_mathematics_test.csv,5,D,D,['college chemistry' 'college physics']
6,data/test/college_mathematics_test.csv,6,C,C,['college physics' 'high school biology']
7,data/test/college_mathematics_test.csv,7,C,C,['conceptual physics' 'electrical engineering']
8,data/test/college_mathematics_test.csv,8,A,C,['high school statistics' 'astronomy']
9,data/test/college_mathematics_test.csv,9,D,A,['anatomy' 'conceptual physics']
10,data/test/college_mathematics_test.csv,10,B,D,['high school biology' 'high school computer science']
11,data/test/college_mathematics_test.csv,11,C,B,['electrical engineering' 'high school chemistry']
12,data/test/college_mathematics_test.csv,12,A,A,['machine learning' 'elementary mathematics']
13,data/test/college_mathematics_test.csv,13,B,B,['college biology' 'college chemistry']
14,data/test/college_mathematics_test.csv,14,A,D,['high school computer science' 'abstract algebra']
15,data/test/college_mathematics_test.csv,15,D,D,['machine learning' 'high school statistics']
16,data/test/college_mathematics_test.csv,16,D,B,['abstract algebra' 'anatomy']
17,data/test/college_mathematics_test.csv,17,C,C,['college chemistry' 'high school physics']
18,data/test/college_mathematics_test.csv,18,C,D,['high school mathematics' 'electrical engineering']
19,data/test/college_mathematics_test.csv,19,C,A,['high school statistics' 'abstract algebra']
20,data/test/college_mathematics_test.csv,20,D,D,['high school mathematics' 'computer security']
21,data/test/college_mathematics_test.csv,21,C,D,['conceptual physics' 'abstract algebra']
22,data/test/college_mathematics_test.csv,22,D,B,['abstract algebra' 'astronomy']
23,data/test/college_mathematics_test.csv,23,B,A,['high school biology' 'college physics']
24,data/test/college_mathematics_test.csv,24,A,B,['machine learning' 'high school physics']
25,data/test/college_mathematics_test.csv,25,D,D,['high school mathematics' 'anatomy']
26,data/test/college_mathematics_test.csv,26,C,D,['astronomy' 'electrical engineering']
27,data/test/college_mathematics_test.csv,27,C,A,['machine learning' 'college physics']
28,data/test/college_mathematics_test.csv,28,C,A,['astronomy' 'college biology']
29,data/test/college_mathematics_test.csv,29,B,B,['electrical engineering' 'college chemistry']
30,data/test/college_mathematics_test.csv,30,C,C,['high school statistics' 'abstract algebra']
31,data/test/college_mathematics_test.csv,31,A,B,['high school computer science' 'elementary mathematics']
32,data/test/college_mathematics_test.csv,32,B,B,['college physics' 'computer security']
33,data/test/college_mathematics_test.csv,33,B,C,['electrical engineering' 'high school computer science']
34,data/test/college_mathematics_test.csv,34,D,D,['college physics' 'abstract algebra']
35,data/test/college_mathematics_test.csv,35,C,D,['machine learning' 'electrical engineering']
36,data/test/college_mathematics_test.csv,36,A,A,['high school biology' 'anatomy']
37,data/test/college_mathematics_test.csv,37,B,A,['elementary mathematics' 'machine learning']
38,data/test/college_mathematics_test.csv,38,C,A,['high school biology' 'high school physics']
39,data/test/college_mathematics_test.csv,39,C,C,['college physics' 'electrical engineering']
40,data/test/college_mathematics_test.csv,40,C,B,['college chemistry' 'college biology']
41,data/test/college_mathematics_test.csv,41,D,D,['high school mathematics' 'computer security']
42,data/test/college_mathematics_test.csv,42,C,D,['machine learning' 'high school biology']
43,data/test/college_mathematics_test.csv,43,D,A,['elementary mathematics' 'high school computer science']
44,data/test/college_mathematics_test.csv,44,D,D,['college computer science' 'high school computer science']
45,data/test/college_mathematics_test.csv,45,A,A,['high school biology' 'astronomy']
46,data/test/college_mathematics_test.csv,46,C,B,['machine learning' 'abstract algebra']
47,data/test/college_mathematics_test.csv,47,C,B,['high school statistics' 'high school chemistry']
48,data/test/college_mathematics_test.csv,48,C,C,['high school physics' 'high school computer science']
49,data/test/college_mathematics_test.csv,49,C,D,['computer security' 'high school chemistry']
50,data/test/college_mathematics_test.csv,50,B,A,['high school statistics' 'anatomy']
51,data/test/college_mathematics_test.csv,51,C,B,['computer security' 'high school mathematics']
52,data/test/college_mathematics_test.csv,52,C,C,['abstract algebra' 'computer security']
53,data/test/college_mathematics_test.csv,53,C,C,['high school physics' 'anatomy']
