,task,item,choice,gt,meta_tasks
0,data/test/international_law_test.csv,0,B,B,[]
1,data/test/international_law_test.csv,1,D,A,[]
2,data/test/international_law_test.csv,2,C,C,[]
3,data/test/international_law_test.csv,3,D,A,[]
4,data/test/international_law_test.csv,4,D,C,[]
5,data/test/international_law_test.csv,5,B,B,[]
6,data/test/international_law_test.csv,6,C,C,[]
7,data/test/international_law_test.csv,7,C,C,[]
8,data/test/international_law_test.csv,8,B,B,[]
9,data/test/international_law_test.csv,9,C,A,[]
10,data/test/international_law_test.csv,10,C,C,[]
11,data/test/international_law_test.csv,11,C,B,[]
12,data/test/international_law_test.csv,12,C,C,[]
13,data/test/international_law_test.csv,13,A,B,[]
14,data/test/international_law_test.csv,14,C,C,[]
15,data/test/international_law_test.csv,15,C,A,[]
16,data/test/international_law_test.csv,16,B,B,[]
17,data/test/international_law_test.csv,17,B,A,[]
18,data/test/international_law_test.csv,18,C,C,[]
19,data/test/international_law_test.csv,19,C,D,[]
20,data/test/international_law_test.csv,20,B,C,[]
21,data/test/international_law_test.csv,21,C,C,[]
22,data/test/international_law_test.csv,22,C,C,[]
23,data/test/international_law_test.csv,23,C,B,[]
24,data/test/international_law_test.csv,24,C,C,[]
25,data/test/international_law_test.csv,25,C,A,[]
26,data/test/international_law_test.csv,26,C,C,[]
27,data/test/international_law_test.csv,27,D,C,[]
28,data/test/international_law_test.csv,28,C,A,[]
29,data/test/international_law_test.csv,29,B,B,[]
30,data/test/international_law_test.csv,30,C,C,[]
31,data/test/international_law_test.csv,31,D,C,[]
32,data/test/international_law_test.csv,32,C,C,[]
33,data/test/international_law_test.csv,33,B,A,[]
34,data/test/international_law_test.csv,34,C,A,[]
35,data/test/international_law_test.csv,35,D,D,[]
36,data/test/international_law_test.csv,36,B,C,[]
37,data/test/international_law_test.csv,37,B,A,[]
38,data/test/international_law_test.csv,38,B,B,[]
39,data/test/international_law_test.csv,39,C,B,[]
40,data/test/international_law_test.csv,40,D,A,[]
41,data/test/international_law_test.csv,41,C,D,[]
42,data/test/international_law_test.csv,42,C,C,[]
43,data/test/international_law_test.csv,43,C,C,[]
44,data/test/international_law_test.csv,44,C,C,[]
45,data/test/international_law_test.csv,45,D,B,[]
46,data/test/international_law_test.csv,46,C,B,[]
47,data/test/international_law_test.csv,47,C,D,[]
48,data/test/international_law_test.csv,48,D,C,[]
49,data/test/international_law_test.csv,49,C,D,[]
50,data/test/international_law_test.csv,50,A,D,[]
51,data/test/international_law_test.csv,51,D,A,[]
52,data/test/international_law_test.csv,52,B,D,[]
53,data/test/international_law_test.csv,53,D,A,[]
54,data/test/international_law_test.csv,54,D,D,[]
55,data/test/international_law_test.csv,55,B,B,[]
56,data/test/international_law_test.csv,56,C,B,[]
57,data/test/international_law_test.csv,57,C,A,[]
58,data/test/international_law_test.csv,58,D,C,[]
59,data/test/international_law_test.csv,59,D,A,[]
60,data/test/international_law_test.csv,60,D,C,[]
61,data/test/international_law_test.csv,61,B,C,[]
62,data/test/international_law_test.csv,62,B,B,[]
63,data/test/international_law_test.csv,63,C,B,[]
64,data/test/international_law_test.csv,64,C,B,[]
65,data/test/international_law_test.csv,65,C,A,[]
66,data/test/international_law_test.csv,66,B,D,[]
67,data/test/international_law_test.csv,67,A,A,[]
68,data/test/international_law_test.csv,68,C,C,[]
69,data/test/international_law_test.csv,69,C,C,[]
70,data/test/international_law_test.csv,70,C,C,[]
71,data/test/international_law_test.csv,71,C,D,[]
72,data/test/international_law_test.csv,72,B,B,[]
73,data/test/international_law_test.csv,73,C,B,[]
74,data/test/international_law_test.csv,74,C,A,[]
75,data/test/international_law_test.csv,75,C,C,[]
76,data/test/international_law_test.csv,76,D,D,[]
77,data/test/international_law_test.csv,77,A,B,[]
78,data/test/international_law_test.csv,78,C,A,[]
79,data/test/international_law_test.csv,79,C,C,[]
