,task,item,choice,gt,meta_tasks
0,data/test/college_computer_science_test.csv,0,B,A,['anatomy' 'computer security']
1,data/test/college_computer_science_test.csv,1,C,C,['high school computer science' 'college chemistry']
2,data/test/college_computer_science_test.csv,2,A,B,['anatomy' 'high school computer science']
3,data/test/college_computer_science_test.csv,3,A,A,['machine learning' 'college physics']
4,data/test/college_computer_science_test.csv,4,A,C,['elementary mathematics' 'abstract algebra']
5,data/test/college_computer_science_test.csv,5,C,C,['high school statistics' 'high school physics']
6,data/test/college_computer_science_test.csv,6,C,C,['astronomy' 'high school chemistry']
7,data/test/college_computer_science_test.csv,7,C,B,['machine learning' 'anatomy']
8,data/test/college_computer_science_test.csv,8,D,C,['abstract algebra' 'machine learning']
9,data/test/college_computer_science_test.csv,9,A,C,['high school biology' 'high school mathematics']
10,data/test/college_computer_science_test.csv,10,D,D,['college biology' 'conceptual physics']
11,data/test/college_computer_science_test.csv,11,B,A,['college mathematics' 'college chemistry']
12,data/test/college_computer_science_test.csv,12,C,A,['high school mathematics' 'astronomy']
13,data/test/college_computer_science_test.csv,13,B,C,['computer security' 'elementary mathematics']
14,data/test/college_computer_science_test.csv,14,D,A,['college biology' 'elementary mathematics']
15,data/test/college_computer_science_test.csv,15,C,D,['college physics' 'high school biology']
16,data/test/college_computer_science_test.csv,16,A,D,['machine learning' 'computer security']
17,data/test/college_computer_science_test.csv,17,C,B,['electrical engineering' 'college chemistry']
18,data/test/college_computer_science_test.csv,18,D,A,['college biology' 'high school physics']
19,data/test/college_computer_science_test.csv,19,C,D,['high school biology' 'high school chemistry']
20,data/test/college_computer_science_test.csv,20,D,D,['college physics' 'college biology']
21,data/test/college_computer_science_test.csv,21,C,B,['college biology' 'college physics']
22,data/test/college_computer_science_test.csv,22,A,A,['computer security' 'conceptual physics']
23,data/test/college_computer_science_test.csv,23,A,A,['electrical engineering' 'high school physics']
24,data/test/college_computer_science_test.csv,24,A,A,['high school mathematics' 'machine learning']
25,data/test/college_computer_science_test.csv,25,D,D,['college mathematics' 'conceptual physics']
26,data/test/college_computer_science_test.csv,26,C,C,['college chemistry' 'anatomy']
27,data/test/college_computer_science_test.csv,27,C,D,['high school computer science' 'abstract algebra']
28,data/test/college_computer_science_test.csv,28,D,D,['college mathematics' 'computer security']
29,data/test/college_computer_science_test.csv,29,C,C,['abstract algebra' 'high school statistics']
30,data/test/college_computer_science_test.csv,30,C,C,['college physics' 'electrical engineering']
31,data/test/college_computer_science_test.csv,31,D,D,['college mathematics' 'college biology']
32,data/test/college_computer_science_test.csv,32,B,D,['anatomy' 'college mathematics']
33,data/test/college_computer_science_test.csv,33,C,A,['electrical engineering' 'elementary mathematics']
34,data/test/college_computer_science_test.csv,34,A,B,['computer security' 'high school chemistry']
35,data/test/college_computer_science_test.csv,35,C,C,['high school mathematics' 'astronomy']
36,data/test/college_computer_science_test.csv,36,A,C,['high school chemistry' 'high school mathematics']
37,data/test/college_computer_science_test.csv,37,A,D,['high school statistics' 'high school biology']
38,data/test/college_computer_science_test.csv,38,A,D,['high school biology' 'elementary mathematics']
39,data/test/college_computer_science_test.csv,39,B,B,['high school biology' 'astronomy']
40,data/test/college_computer_science_test.csv,40,A,A,['high school physics' 'college physics']
41,data/test/college_computer_science_test.csv,41,C,D,['high school statistics' 'electrical engineering']
42,data/test/college_computer_science_test.csv,42,A,A,['conceptual physics' 'high school biology']
43,data/test/college_computer_science_test.csv,43,B,D,['machine learning' 'high school computer science']
44,data/test/college_computer_science_test.csv,44,D,D,['computer security' 'college chemistry']
45,data/test/college_computer_science_test.csv,45,C,C,['college physics' 'college biology']
46,data/test/college_computer_science_test.csv,46,D,D,['computer security' 'conceptual physics']
47,data/test/college_computer_science_test.csv,47,C,A,['college mathematics' 'anatomy']
48,data/test/college_computer_science_test.csv,48,C,A,['high school chemistry' 'college mathematics']
49,data/test/college_computer_science_test.csv,49,D,D,['high school computer science' 'abstract algebra']
50,data/test/college_computer_science_test.csv,50,D,D,['anatomy' 'college biology']
51,data/test/college_computer_science_test.csv,51,A,B,['machine learning' 'high school computer science']
52,data/test/college_computer_science_test.csv,52,A,C,['high school biology' 'astronomy']
53,data/test/college_computer_science_test.csv,53,C,C,['high school chemistry' 'astronomy']
54,data/test/college_computer_science_test.csv,54,A,A,['machine learning' 'computer security']
55,data/test/college_computer_science_test.csv,55,A,C,['machine learning' 'high school computer science']
56,data/test/college_computer_science_test.csv,56,D,D,['high school physics' 'college biology']
57,data/test/college_computer_science_test.csv,57,C,D,['abstract algebra' 'high school physics']
58,data/test/college_computer_science_test.csv,58,A,B,['high school physics' 'computer security']
59,data/test/college_computer_science_test.csv,59,A,D,['machine learning' 'astronomy']
60,data/test/college_computer_science_test.csv,60,A,D,['astronomy' 'college physics']
61,data/test/college_computer_science_test.csv,61,B,B,['electrical engineering' 'astronomy']
62,data/test/college_computer_science_test.csv,62,B,D,['computer security' 'astronomy']
63,data/test/college_computer_science_test.csv,63,A,A,['astronomy' 'high school biology']
64,data/test/college_computer_science_test.csv,64,A,A,['high school computer science' 'college mathematics']
65,data/test/college_computer_science_test.csv,65,A,C,['high school mathematics' 'high school physics']
66,data/test/college_computer_science_test.csv,66,D,A,['high school biology' 'college mathematics']
67,data/test/college_computer_science_test.csv,67,A,B,['anatomy' 'high school computer science']
68,data/test/college_computer_science_test.csv,68,B,B,['high school computer science' 'astronomy']
69,data/test/college_computer_science_test.csv,69,C,A,['anatomy' 'electrical engineering']
70,data/test/college_computer_science_test.csv,70,D,D,['astronomy' 'college mathematics']
71,data/test/college_computer_science_test.csv,71,C,A,['abstract algebra' 'anatomy']
72,data/test/college_computer_science_test.csv,72,A,D,['high school chemistry' 'college mathematics']
73,data/test/college_computer_science_test.csv,73,C,C,['high school biology' 'astronomy']
74,data/test/college_computer_science_test.csv,74,A,D,['electrical engineering' 'abstract algebra']
75,data/test/college_computer_science_test.csv,75,A,C,['high school physics' 'anatomy']
76,data/test/college_computer_science_test.csv,76,B,A,['high school physics' 'computer security']
77,data/test/college_computer_science_test.csv,77,B,B,['high school biology' 'elementary mathematics']
78,data/test/college_computer_science_test.csv,78,C,C,['high school statistics' 'high school biology']
79,data/test/college_computer_science_test.csv,79,A,D,['college biology' 'computer security']
80,data/test/college_computer_science_test.csv,80,D,B,['high school physics' 'high school chemistry']
81,data/test/college_computer_science_test.csv,81,C,C,['college chemistry' 'college physics']
82,data/test/college_computer_science_test.csv,82,A,D,['high school biology' 'college chemistry']
83,data/test/college_computer_science_test.csv,83,A,A,['high school biology' 'college physics']
84,data/test/college_computer_science_test.csv,84,A,D,['high school statistics' 'machine learning']
85,data/test/college_computer_science_test.csv,85,A,D,['college biology' 'high school computer science']
86,data/test/college_computer_science_test.csv,86,A,A,['elementary mathematics' 'high school mathematics']
87,data/test/college_computer_science_test.csv,87,A,B,['astronomy' 'electrical engineering']
88,data/test/college_computer_science_test.csv,88,A,C,['college mathematics' 'abstract algebra']
89,data/test/college_computer_science_test.csv,89,A,A,['high school computer science' 'high school biology']
90,data/test/college_computer_science_test.csv,90,B,C,['astronomy' 'college chemistry']
91,data/test/college_computer_science_test.csv,91,A,C,['anatomy' 'college chemistry']
92,data/test/college_computer_science_test.csv,92,D,B,['anatomy' 'machine learning']
93,data/test/college_computer_science_test.csv,93,A,C,['high school statistics' 'high school mathematics']
94,data/test/college_computer_science_test.csv,94,C,D,['abstract algebra' 'elementary mathematics']
95,data/test/college_computer_science_test.csv,95,A,A,['high school chemistry' 'high school biology']
96,data/test/college_computer_science_test.csv,96,A,A,['high school chemistry' 'high school computer science']
97,data/test/college_computer_science_test.csv,97,A,D,['anatomy' 'abstract algebra']
98,data/test/college_computer_science_test.csv,98,C,C,['electrical engineering' 'high school statistics']
99,data/test/college_computer_science_test.csv,99,A,D,['electrical engineering' 'high school biology']
