,task,item,choice,gt,meta_tasks
0,data/test/high_school_biology_test.csv,0,D,A,['college physics' 'high school statistics']
1,data/test/high_school_biology_test.csv,1,C,A,['conceptual physics' 'astronomy']
2,data/test/high_school_biology_test.csv,2,A,C,['electrical engineering' 'high school physics']
3,data/test/high_school_biology_test.csv,3,D,A,['high school statistics' 'conceptual physics']
4,data/test/high_school_biology_test.csv,4,D,C,['college physics' 'high school mathematics']
5,data/test/high_school_biology_test.csv,5,B,C,['anatomy' 'elementary mathematics']
6,data/test/high_school_biology_test.csv,6,D,B,['high school physics' 'conceptual physics']
7,data/test/high_school_biology_test.csv,7,C,B,['college mathematics' 'college physics']
8,data/test/high_school_biology_test.csv,8,C,A,['electrical engineering' 'machine learning']
9,data/test/high_school_biology_test.csv,9,C,C,['anatomy' 'computer security']
10,data/test/high_school_biology_test.csv,10,A,C,['anatomy' 'college physics']
11,data/test/high_school_biology_test.csv,11,A,B,['college chemistry' 'abstract algebra']
12,data/test/high_school_biology_test.csv,12,A,D,['college computer science' 'conceptual physics']
13,data/test/high_school_biology_test.csv,13,A,D,['anatomy' 'high school statistics']
14,data/test/high_school_biology_test.csv,14,D,D,['college mathematics' 'high school statistics']
15,data/test/high_school_biology_test.csv,15,B,B,['electrical engineering' 'college biology']
16,data/test/high_school_biology_test.csv,16,D,C,['college chemistry' 'abstract algebra']
17,data/test/high_school_biology_test.csv,17,C,B,['college chemistry' 'anatomy']
18,data/test/high_school_biology_test.csv,18,C,B,['computer security' 'high school physics']
19,data/test/high_school_biology_test.csv,19,A,C,['college chemistry' 'college mathematics']
20,data/test/high_school_biology_test.csv,20,D,D,['college chemistry' 'anatomy']
21,data/test/high_school_biology_test.csv,21,D,C,['high school chemistry' 'college biology']
22,data/test/high_school_biology_test.csv,22,C,A,['anatomy' 'astronomy']
23,data/test/high_school_biology_test.csv,23,A,B,['conceptual physics' 'elementary mathematics']
24,data/test/high_school_biology_test.csv,24,A,B,['astronomy' 'high school physics']
25,data/test/high_school_biology_test.csv,25,A,C,['high school mathematics' 'college biology']
26,data/test/high_school_biology_test.csv,26,B,B,['high school computer science' 'high school physics']
27,data/test/high_school_biology_test.csv,27,D,C,['high school statistics' 'high school chemistry']
28,data/test/high_school_biology_test.csv,28,C,C,['abstract algebra' 'high school chemistry']
29,data/test/high_school_biology_test.csv,29,A,C,['high school physics' 'machine learning']
30,data/test/high_school_biology_test.csv,30,D,D,['high school mathematics' 'elementary mathematics']
31,data/test/high_school_biology_test.csv,31,D,B,['anatomy' 'machine learning']
32,data/test/high_school_biology_test.csv,32,D,C,['high school chemistry' 'college mathematics']
33,data/test/high_school_biology_test.csv,33,B,C,['college biology' 'college mathematics']
34,data/test/high_school_biology_test.csv,34,D,D,['college chemistry' 'college computer science']
35,data/test/high_school_biology_test.csv,35,D,C,['college biology' 'abstract algebra']
36,data/test/high_school_biology_test.csv,36,B,B,['college chemistry' 'college computer science']
37,data/test/high_school_biology_test.csv,37,C,D,['college biology' 'elementary mathematics']
38,data/test/high_school_biology_test.csv,38,D,C,['high school chemistry' 'machine learning']
39,data/test/high_school_biology_test.csv,39,C,B,['high school statistics' 'anatomy']
40,data/test/high_school_biology_test.csv,40,A,A,['high school physics' 'electrical engineering']
41,data/test/high_school_biology_test.csv,41,D,D,['computer security' 'astronomy']
42,data/test/high_school_biology_test.csv,42,D,B,['electrical engineering' 'computer security']
43,data/test/high_school_biology_test.csv,43,D,A,['astronomy' 'electrical engineering']
44,data/test/high_school_biology_test.csv,44,C,B,['elementary mathematics' 'college chemistry']
45,data/test/high_school_biology_test.csv,45,D,C,['high school computer science' 'astronomy']
46,data/test/high_school_biology_test.csv,46,D,D,['college physics' 'high school mathematics']
47,data/test/high_school_biology_test.csv,47,C,A,['high school computer science' 'high school mathematics']
48,data/test/high_school_biology_test.csv,48,C,B,['college chemistry' 'abstract algebra']
49,data/test/high_school_biology_test.csv,49,D,C,['elementary mathematics' 'college mathematics']
50,data/test/high_school_biology_test.csv,50,D,D,['computer security' 'college computer science']
51,data/test/high_school_biology_test.csv,51,B,A,['college chemistry' 'anatomy']
52,data/test/high_school_biology_test.csv,52,C,A,['machine learning' 'high school physics']
53,data/test/high_school_biology_test.csv,53,D,D,['high school statistics' 'abstract algebra']
54,data/test/high_school_biology_test.csv,54,A,D,['astronomy' 'electrical engineering']
