,task,item,choice,gt,meta_tasks
0,data/test/anatomy_test.csv,0,A,A,['high school physics' 'electrical engineering']
1,data/test/anatomy_test.csv,1,B,B,['college biology' 'high school computer science']
2,data/test/anatomy_test.csv,2,A,A,['high school biology' 'high school mathematics']
3,data/test/anatomy_test.csv,3,C,C,['college mathematics' 'college physics']
4,data/test/anatomy_test.csv,4,B,B,['elementary mathematics' 'high school biology']
5,data/test/anatomy_test.csv,5,A,B,['high school chemistry' 'college computer science']
6,data/test/anatomy_test.csv,6,A,A,['high school statistics' 'astronomy']
7,data/test/anatomy_test.csv,7,B,B,['college biology' 'college mathematics']
8,data/test/anatomy_test.csv,8,C,C,['machine learning' 'electrical engineering']
9,data/test/anatomy_test.csv,9,D,D,['electrical engineering' 'high school computer science']
10,data/test/anatomy_test.csv,10,B,D,['abstract algebra' 'machine learning']
11,data/test/anatomy_test.csv,11,B,D,['high school chemistry' 'college biology']
12,data/test/anatomy_test.csv,12,A,D,['abstract algebra' 'college computer science']
13,data/test/anatomy_test.csv,13,D,B,['high school chemistry' 'college biology']
14,data/test/anatomy_test.csv,14,B,A,['electrical engineering' 'college biology']
15,data/test/anatomy_test.csv,15,C,C,['high school computer science' 'college biology']
16,data/test/anatomy_test.csv,16,B,B,['abstract algebra' 'electrical engineering']
17,data/test/anatomy_test.csv,17,D,D,['college biology' 'computer security']
18,data/test/anatomy_test.csv,18,D,D,['astronomy' 'college chemistry']
19,data/test/anatomy_test.csv,19,C,C,['college physics' 'high school chemistry']
20,data/test/anatomy_test.csv,20,C,C,['college physics' 'electrical engineering']
21,data/test/anatomy_test.csv,21,B,C,['high school physics' 'high school chemistry']
22,data/test/anatomy_test.csv,22,D,B,['college computer science' 'college mathematics']
23,data/test/anatomy_test.csv,23,C,B,['astronomy' 'high school mathematics']
24,data/test/anatomy_test.csv,24,C,B,['high school computer science' 'high school physics']
25,data/test/anatomy_test.csv,25,A,C,['computer security' 'high school biology']
26,data/test/anatomy_test.csv,26,C,C,['high school statistics' 'high school mathematics']
27,data/test/anatomy_test.csv,27,D,A,['high school physics' 'machine learning']
28,data/test/anatomy_test.csv,28,C,C,['computer security' 'high school physics']
29,data/test/anatomy_test.csv,29,D,B,['elementary mathematics' 'college computer science']
30,data/test/anatomy_test.csv,30,C,C,['high school chemistry' 'computer security']
