,task,item,choice,gt,meta_tasks
0,data/test/anatomy_test.csv,0,A,A,['computer security' 'machine learning']
1,data/test/anatomy_test.csv,1,A,B,['high school physics' 'conceptual physics']
2,data/test/anatomy_test.csv,2,A,A,['elementary mathematics' 'conceptual physics']
3,data/test/anatomy_test.csv,3,B,C,['high school chemistry' 'high school mathematics']
4,data/test/anatomy_test.csv,4,B,B,['college computer science' 'high school statistics']
5,data/test/anatomy_test.csv,5,A,B,['high school statistics' 'elementary mathematics']
6,data/test/anatomy_test.csv,6,C,A,['college chemistry' 'astronomy']
7,data/test/anatomy_test.csv,7,B,B,['machine learning' 'computer security']
8,data/test/anatomy_test.csv,8,B,C,['college biology' 'electrical engineering']
9,data/test/anatomy_test.csv,9,C,D,['astronomy' 'high school chemistry']
10,data/test/anatomy_test.csv,10,C,D,['computer security' 'college chemistry']
11,data/test/anatomy_test.csv,11,A,D,['college mathematics' 'machine learning']
12,data/test/anatomy_test.csv,12,B,D,['abstract algebra' 'high school mathematics']
13,data/test/anatomy_test.csv,13,A,B,['elementary mathematics' 'college physics']
14,data/test/anatomy_test.csv,14,C,A,['abstract algebra' 'high school biology']
15,data/test/anatomy_test.csv,15,A,C,['machine learning' 'high school computer science']
16,data/test/anatomy_test.csv,16,A,B,['college chemistry' 'machine learning']
17,data/test/anatomy_test.csv,17,D,D,['high school biology' 'high school mathematics']
18,data/test/anatomy_test.csv,18,A,D,['high school biology' 'computer security']
19,data/test/anatomy_test.csv,19,C,C,['college chemistry' 'high school computer science']
20,data/test/anatomy_test.csv,20,A,C,['electrical engineering' 'elementary mathematics']
21,data/test/anatomy_test.csv,21,C,C,['college physics' 'college chemistry']
22,data/test/anatomy_test.csv,22,C,B,['high school mathematics' 'college physics']
23,data/test/anatomy_test.csv,23,C,B,['electrical engineering' 'conceptual physics']
24,data/test/anatomy_test.csv,24,A,B,['high school biology' 'college chemistry']
25,data/test/anatomy_test.csv,25,A,C,['computer security' 'elementary mathematics']
26,data/test/anatomy_test.csv,26,C,C,['abstract algebra' 'high school chemistry']
27,data/test/anatomy_test.csv,27,C,A,['astronomy' 'high school biology']
28,data/test/anatomy_test.csv,28,C,C,['abstract algebra' 'machine learning']
29,data/test/anatomy_test.csv,29,C,B,['high school computer science' 'college chemistry']
30,data/test/anatomy_test.csv,30,C,C,['college physics' 'college chemistry']
31,data/test/anatomy_test.csv,31,B,A,['computer security' 'abstract algebra']
32,data/test/anatomy_test.csv,32,B,B,['college chemistry' 'conceptual physics']
33,data/test/anatomy_test.csv,33,C,B,['college chemistry' 'computer security']
34,data/test/anatomy_test.csv,34,C,C,['college computer science' 'computer security']
35,data/test/anatomy_test.csv,35,A,C,['elementary mathematics' 'college mathematics']
36,data/test/anatomy_test.csv,36,D,D,['high school statistics' 'abstract algebra']
37,data/test/anatomy_test.csv,37,C,C,['college chemistry' 'machine learning']
38,data/test/anatomy_test.csv,38,A,D,['conceptual physics' 'high school mathematics']
39,data/test/anatomy_test.csv,39,C,C,['college computer science' 'college chemistry']
40,data/test/anatomy_test.csv,40,C,C,['high school statistics' 'electrical engineering']
41,data/test/anatomy_test.csv,41,A,C,['abstract algebra' 'machine learning']
42,data/test/anatomy_test.csv,42,A,B,['computer security' 'college chemistry']
43,data/test/anatomy_test.csv,43,C,C,['college computer science' 'college chemistry']
44,data/test/anatomy_test.csv,44,D,A,['college mathematics' 'college physics']
45,data/test/anatomy_test.csv,45,A,C,['elementary mathematics' 'college mathematics']
46,data/test/anatomy_test.csv,46,B,B,['high school mathematics' 'high school biology']
47,data/test/anatomy_test.csv,47,C,C,['electrical engineering' 'high school statistics']
48,data/test/anatomy_test.csv,48,D,A,['high school mathematics' 'college biology']
49,data/test/anatomy_test.csv,49,C,C,['abstract algebra' 'high school chemistry']
50,data/test/anatomy_test.csv,50,D,D,['high school chemistry' 'high school mathematics']
51,data/test/anatomy_test.csv,51,A,D,['college mathematics' 'college computer science']
52,data/test/anatomy_test.csv,52,C,B,['high school biology' 'college computer science']
53,data/test/anatomy_test.csv,53,B,B,['high school physics' 'astronomy']
54,data/test/anatomy_test.csv,54,A,B,['college computer science' 'abstract algebra']
55,data/test/anatomy_test.csv,55,B,D,['college mathematics' 'high school biology']
56,data/test/anatomy_test.csv,56,A,A,['computer security' 'machine learning']
57,data/test/anatomy_test.csv,57,C,C,['abstract algebra' 'college computer science']
58,data/test/anatomy_test.csv,58,D,D,['high school computer science' 'high school chemistry']
59,data/test/anatomy_test.csv,59,A,D,['high school statistics' 'college physics']
60,data/test/anatomy_test.csv,60,D,D,['computer security' 'elementary mathematics']
61,data/test/anatomy_test.csv,61,D,C,['high school computer science' 'elementary mathematics']
62,data/test/anatomy_test.csv,62,D,B,['college biology' 'electrical engineering']
63,data/test/anatomy_test.csv,63,A,C,['high school mathematics' 'computer security']
64,data/test/anatomy_test.csv,64,A,C,['elementary mathematics' 'high school physics']
65,data/test/anatomy_test.csv,65,A,B,['high school chemistry' 'college mathematics']
66,data/test/anatomy_test.csv,66,D,D,['abstract algebra' 'conceptual physics']
67,data/test/anatomy_test.csv,67,A,C,['high school computer science' 'elementary mathematics']
68,data/test/anatomy_test.csv,68,C,D,['elementary mathematics' 'college computer science']
69,data/test/anatomy_test.csv,69,A,B,['elementary mathematics' 'college mathematics']
70,data/test/anatomy_test.csv,70,A,B,['high school chemistry' 'college physics']
71,data/test/anatomy_test.csv,71,A,A,['high school statistics' 'high school biology']
72,data/test/anatomy_test.csv,72,A,D,['college physics' 'elementary mathematics']
73,data/test/anatomy_test.csv,73,B,A,['abstract algebra' 'high school physics']
74,data/test/anatomy_test.csv,74,A,D,['college computer science' 'college mathematics']
75,data/test/anatomy_test.csv,75,A,C,['high school statistics' 'elementary mathematics']
76,data/test/anatomy_test.csv,76,A,A,['college physics' 'college chemistry']
77,data/test/anatomy_test.csv,77,A,A,['high school chemistry' 'college computer science']
78,data/test/anatomy_test.csv,78,C,C,['college chemistry' 'high school statistics']
79,data/test/anatomy_test.csv,79,A,D,['conceptual physics' 'college mathematics']
80,data/test/anatomy_test.csv,80,B,B,['abstract algebra' 'high school physics']
81,data/test/anatomy_test.csv,81,A,B,['astronomy' 'high school mathematics']
82,data/test/anatomy_test.csv,82,C,C,['college chemistry' 'high school statistics']
83,data/test/anatomy_test.csv,83,B,B,['high school statistics' 'high school mathematics']
84,data/test/anatomy_test.csv,84,C,B,['abstract algebra' 'machine learning']
85,data/test/anatomy_test.csv,85,C,C,['college chemistry' 'college biology']
86,data/test/anatomy_test.csv,86,C,C,['college physics' 'high school mathematics']
87,data/test/anatomy_test.csv,87,D,C,['high school mathematics' 'high school physics']
88,data/test/anatomy_test.csv,88,C,C,['college computer science' 'high school chemistry']
89,data/test/anatomy_test.csv,89,A,A,['high school physics' 'college physics']
90,data/test/anatomy_test.csv,90,D,D,['high school computer science' 'machine learning']
91,data/test/anatomy_test.csv,91,A,B,['electrical engineering' 'astronomy']
92,data/test/anatomy_test.csv,92,B,B,['college biology' 'high school biology']
