,task,item,choice,gt,meta_tasks
0,data/test/high_school_chemistry_test.csv,0,A,A,['electrical engineering' 'college physics']
1,data/test/high_school_chemistry_test.csv,1,C,A,['high school biology' 'machine learning']
2,data/test/high_school_chemistry_test.csv,2,A,C,['high school computer science' 'college computer science']
3,data/test/high_school_chemistry_test.csv,3,D,A,['abstract algebra' 'computer security']
4,data/test/high_school_chemistry_test.csv,4,B,B,['anatomy' 'abstract algebra']
5,data/test/high_school_chemistry_test.csv,5,A,C,['high school statistics' 'machine learning']
6,data/test/high_school_chemistry_test.csv,6,A,C,['college physics' 'abstract algebra']
7,data/test/high_school_chemistry_test.csv,7,A,D,['electrical engineering' 'college biology']
8,data/test/high_school_chemistry_test.csv,8,A,C,['college mathematics' 'high school computer science']
9,data/test/high_school_chemistry_test.csv,9,A,A,['computer security' 'anatomy']
10,data/test/high_school_chemistry_test.csv,10,A,C,['college mathematics' 'anatomy']
11,data/test/high_school_chemistry_test.csv,11,C,A,['college physics' 'college chemistry']
12,data/test/high_school_chemistry_test.csv,12,A,C,['electrical engineering' 'conceptual physics']
13,data/test/high_school_chemistry_test.csv,13,C,A,['high school biology' 'machine learning']
14,data/test/high_school_chemistry_test.csv,14,D,D,['college mathematics' 'computer security']
15,data/test/high_school_chemistry_test.csv,15,C,C,['computer security' 'college chemistry']
16,data/test/high_school_chemistry_test.csv,16,D,A,['machine learning' 'abstract algebra']
17,data/test/high_school_chemistry_test.csv,17,B,B,['anatomy' 'high school computer science']
18,data/test/high_school_chemistry_test.csv,18,B,B,['college physics' 'high school physics']
19,data/test/high_school_chemistry_test.csv,19,A,D,['electrical engineering' 'machine learning']
20,data/test/high_school_chemistry_test.csv,20,A,B,['computer security' 'anatomy']
21,data/test/high_school_chemistry_test.csv,21,A,C,['elementary mathematics' 'high school physics']
22,data/test/high_school_chemistry_test.csv,22,A,B,['college mathematics' 'college physics']
23,data/test/high_school_chemistry_test.csv,23,A,B,['college biology' 'college mathematics']
24,data/test/high_school_chemistry_test.csv,24,A,C,['computer security' 'abstract algebra']
25,data/test/high_school_chemistry_test.csv,25,A,B,['high school physics' 'electrical engineering']
26,data/test/high_school_chemistry_test.csv,26,B,D,['astronomy' 'elementary mathematics']
27,data/test/high_school_chemistry_test.csv,27,C,C,['college computer science' 'high school statistics']
28,data/test/high_school_chemistry_test.csv,28,C,B,['conceptual physics' 'anatomy']
29,data/test/high_school_chemistry_test.csv,29,B,C,['college mathematics' 'high school computer science']
30,data/test/high_school_chemistry_test.csv,30,A,A,['college mathematics' 'high school computer science']
31,data/test/high_school_chemistry_test.csv,31,B,D,['machine learning' 'anatomy']
32,data/test/high_school_chemistry_test.csv,32,D,D,['anatomy' 'astronomy']
