,task,item,choice,gt,meta_tasks
0,data/test/high_school_mathematics_test.csv,0,C,D,['high school computer science' 'college chemistry']
1,data/test/high_school_mathematics_test.csv,1,A,C,['conceptual physics' 'astronomy']
2,data/test/high_school_mathematics_test.csv,2,A,A,['elementary mathematics' 'computer security']
3,data/test/high_school_mathematics_test.csv,3,A,B,['high school biology' 'high school physics']
4,data/test/high_school_mathematics_test.csv,4,C,C,['college mathematics' 'college physics']
5,data/test/high_school_mathematics_test.csv,5,A,B,['college mathematics' 'college biology']
6,data/test/high_school_mathematics_test.csv,6,B,C,['astronomy' 'college physics']
7,data/test/high_school_mathematics_test.csv,7,C,A,['high school physics' 'high school statistics']
8,data/test/high_school_mathematics_test.csv,8,C,C,['conceptual physics' 'college chemistry']
9,data/test/high_school_mathematics_test.csv,9,B,B,['college computer science' 'abstract algebra']
10,data/test/high_school_mathematics_test.csv,10,B,D,['high school computer science' 'high school physics']
11,data/test/high_school_mathematics_test.csv,11,C,D,['astronomy' 'college physics']
12,data/test/high_school_mathematics_test.csv,12,B,D,['college chemistry' 'machine learning']
13,data/test/high_school_mathematics_test.csv,13,C,B,['college computer science' 'high school computer science']
14,data/test/high_school_mathematics_test.csv,14,B,D,['college computer science' 'anatomy']
15,data/test/high_school_mathematics_test.csv,15,D,D,['college biology' 'college computer science']
16,data/test/high_school_mathematics_test.csv,16,C,A,['anatomy' 'college computer science']
17,data/test/high_school_mathematics_test.csv,17,B,B,['elementary mathematics' 'anatomy']
18,data/test/high_school_mathematics_test.csv,18,C,A,['college physics' 'elementary mathematics']
19,data/test/high_school_mathematics_test.csv,19,B,B,['college mathematics' 'conceptual physics']
20,data/test/high_school_mathematics_test.csv,20,B,D,['college chemistry' 'elementary mathematics']
21,data/test/high_school_mathematics_test.csv,21,C,B,['high school computer science' 'elementary mathematics']
22,data/test/high_school_mathematics_test.csv,22,C,D,['anatomy' 'abstract algebra']
23,data/test/high_school_mathematics_test.csv,23,B,B,['high school computer science' 'high school biology']
24,data/test/high_school_mathematics_test.csv,24,A,A,['conceptual physics' 'college physics']
25,data/test/high_school_mathematics_test.csv,25,D,C,['conceptual physics' 'college physics']
26,data/test/high_school_mathematics_test.csv,26,D,D,['high school chemistry' 'conceptual physics']
27,data/test/high_school_mathematics_test.csv,27,C,C,['high school physics' 'college chemistry']
28,data/test/high_school_mathematics_test.csv,28,D,C,['elementary mathematics' 'conceptual physics']
29,data/test/high_school_mathematics_test.csv,29,B,D,['college chemistry' 'high school statistics']
30,data/test/high_school_mathematics_test.csv,30,C,C,['electrical engineering' 'elementary mathematics']
31,data/test/high_school_mathematics_test.csv,31,B,A,['high school physics' 'machine learning']
32,data/test/high_school_mathematics_test.csv,32,C,D,['high school chemistry' 'machine learning']
33,data/test/high_school_mathematics_test.csv,33,C,A,['college mathematics' 'college physics']
