,task,item,choice,gt,meta_tasks
0,data/test/high_school_physics_test.csv,0,C,B,['college mathematics' 'astronomy']
1,data/test/high_school_physics_test.csv,1,C,A,['high school computer science' 'high school statistics']
2,data/test/high_school_physics_test.csv,2,D,D,['college computer science' 'astronomy']
3,data/test/high_school_physics_test.csv,3,A,C,['astronomy' 'college biology']
4,data/test/high_school_physics_test.csv,4,D,D,['conceptual physics' 'computer security']
5,data/test/high_school_physics_test.csv,5,C,C,['college chemistry' 'computer security']
6,data/test/high_school_physics_test.csv,6,C,A,['conceptual physics' 'high school mathematics']
7,data/test/high_school_physics_test.csv,7,C,C,['college computer science' 'high school chemistry']
8,data/test/high_school_physics_test.csv,8,D,A,['high school statistics' 'college chemistry']
9,data/test/high_school_physics_test.csv,9,C,B,['high school computer science' 'conceptual physics']
10,data/test/high_school_physics_test.csv,10,C,D,['elementary mathematics' 'college mathematics']
11,data/test/high_school_physics_test.csv,11,D,D,['machine learning' 'elementary mathematics']
12,data/test/high_school_physics_test.csv,12,D,D,['high school chemistry' 'high school computer science']
13,data/test/high_school_physics_test.csv,13,D,B,['high school mathematics' 'high school biology']
14,data/test/high_school_physics_test.csv,14,D,B,['college computer science' 'high school statistics']
15,data/test/high_school_physics_test.csv,15,D,A,['college biology' 'high school statistics']
16,data/test/high_school_physics_test.csv,16,D,D,['college chemistry' 'college mathematics']
17,data/test/high_school_physics_test.csv,17,C,C,['college computer science' 'high school statistics']
18,data/test/high_school_physics_test.csv,18,B,A,['high school biology' 'college biology']
19,data/test/high_school_physics_test.csv,19,C,D,['college mathematics' 'college physics']
20,data/test/high_school_physics_test.csv,20,B,B,['machine learning' 'abstract algebra']
21,data/test/high_school_physics_test.csv,21,D,C,['conceptual physics' 'astronomy']
22,data/test/high_school_physics_test.csv,22,D,A,['college chemistry' 'college biology']
23,data/test/high_school_physics_test.csv,23,D,D,['conceptual physics' 'college physics']
24,data/test/high_school_physics_test.csv,24,D,D,['high school statistics' 'elementary mathematics']
25,data/test/high_school_physics_test.csv,25,C,D,['college chemistry' 'high school biology']
26,data/test/high_school_physics_test.csv,26,D,C,['abstract algebra' 'conceptual physics']
27,data/test/high_school_physics_test.csv,27,A,C,['electrical engineering' 'anatomy']
28,data/test/high_school_physics_test.csv,28,D,C,['college computer science' 'electrical engineering']
29,data/test/high_school_physics_test.csv,29,C,D,['astronomy' 'high school chemistry']
30,data/test/high_school_physics_test.csv,30,A,A,['high school chemistry' 'college computer science']
31,data/test/high_school_physics_test.csv,31,C,C,['college computer science' 'electrical engineering']
32,data/test/high_school_physics_test.csv,32,D,B,['abstract algebra' 'high school computer science']
33,data/test/high_school_physics_test.csv,33,A,B,['astronomy' 'high school chemistry']
34,data/test/high_school_physics_test.csv,34,C,C,['high school chemistry' 'conceptual physics']
35,data/test/high_school_physics_test.csv,35,B,C,['abstract algebra' 'college biology']
36,data/test/high_school_physics_test.csv,36,D,C,['high school statistics' 'electrical engineering']
37,data/test/high_school_physics_test.csv,37,B,D,['college computer science' 'high school statistics']
38,data/test/high_school_physics_test.csv,38,B,A,['computer security' 'astronomy']
39,data/test/high_school_physics_test.csv,39,D,A,['computer security' 'anatomy']
40,data/test/high_school_physics_test.csv,40,C,C,['high school biology' 'high school statistics']
41,data/test/high_school_physics_test.csv,41,C,C,['college physics' 'abstract algebra']
42,data/test/high_school_physics_test.csv,42,D,C,['high school chemistry' 'machine learning']
43,data/test/high_school_physics_test.csv,43,B,D,['abstract algebra' 'elementary mathematics']
44,data/test/high_school_physics_test.csv,44,C,C,['high school computer science' 'computer security']
45,data/test/high_school_physics_test.csv,45,C,B,['college biology' 'high school computer science']
46,data/test/high_school_physics_test.csv,46,D,B,['high school biology' 'conceptual physics']
47,data/test/high_school_physics_test.csv,47,C,B,['abstract algebra' 'high school statistics']
48,data/test/high_school_physics_test.csv,48,D,D,['anatomy' 'high school biology']
49,data/test/high_school_physics_test.csv,49,C,D,['college physics' 'college biology']
50,data/test/high_school_physics_test.csv,50,A,A,['college computer science' 'anatomy']
51,data/test/high_school_physics_test.csv,51,B,B,['college biology' 'conceptual physics']
52,data/test/high_school_physics_test.csv,52,A,D,['abstract algebra' 'elementary mathematics']
53,data/test/high_school_physics_test.csv,53,B,D,['astronomy' 'college biology']
54,data/test/high_school_physics_test.csv,54,C,B,['high school mathematics' 'anatomy']
55,data/test/high_school_physics_test.csv,55,D,D,['electrical engineering' 'college mathematics']
56,data/test/high_school_physics_test.csv,56,D,C,['college mathematics' 'high school mathematics']
57,data/test/high_school_physics_test.csv,57,D,B,['college computer science' 'college biology']
58,data/test/high_school_physics_test.csv,58,B,A,['college physics' 'computer security']
59,data/test/high_school_physics_test.csv,59,C,C,['college physics' 'high school mathematics']
60,data/test/high_school_physics_test.csv,60,D,C,['anatomy' 'elementary mathematics']
61,data/test/high_school_physics_test.csv,61,B,B,['high school computer science' 'college computer science']
62,data/test/high_school_physics_test.csv,62,D,A,['college biology' 'astronomy']
63,data/test/high_school_physics_test.csv,63,C,A,['abstract algebra' 'elementary mathematics']
64,data/test/high_school_physics_test.csv,64,A,C,['college biology' 'anatomy']
65,data/test/high_school_physics_test.csv,65,A,D,['high school computer science' 'electrical engineering']
66,data/test/high_school_physics_test.csv,66,B,C,['college computer science' 'college chemistry']
67,data/test/high_school_physics_test.csv,67,D,A,['machine learning' 'college physics']
68,data/test/high_school_physics_test.csv,68,C,D,['college mathematics' 'conceptual physics']
69,data/test/high_school_physics_test.csv,69,B,A,['conceptual physics' 'college physics']
70,data/test/high_school_physics_test.csv,70,D,D,['college computer science' 'high school statistics']
71,data/test/high_school_physics_test.csv,71,D,B,['electrical engineering' 'high school biology']
72,data/test/high_school_physics_test.csv,72,B,C,['college physics' 'anatomy']
73,data/test/high_school_physics_test.csv,73,D,B,['college computer science' 'high school mathematics']
74,data/test/high_school_physics_test.csv,74,D,A,['college chemistry' 'college mathematics']
75,data/test/high_school_physics_test.csv,75,B,B,['college computer science' 'astronomy']
76,data/test/high_school_physics_test.csv,76,B,B,['machine learning' 'high school computer science']
77,data/test/high_school_physics_test.csv,77,D,B,['machine learning' 'college chemistry']
78,data/test/high_school_physics_test.csv,78,A,D,['college biology' 'electrical engineering']
79,data/test/high_school_physics_test.csv,79,C,A,['college computer science' 'college chemistry']
80,data/test/high_school_physics_test.csv,80,A,D,['college chemistry' 'college computer science']
81,data/test/high_school_physics_test.csv,81,C,D,['conceptual physics' 'elementary mathematics']
82,data/test/high_school_physics_test.csv,82,D,A,['college chemistry' 'astronomy']
83,data/test/high_school_physics_test.csv,83,C,D,['conceptual physics' 'abstract algebra']
84,data/test/high_school_physics_test.csv,84,D,A,['electrical engineering' 'high school computer science']
85,data/test/high_school_physics_test.csv,85,D,A,['astronomy' 'college physics']
86,data/test/high_school_physics_test.csv,86,C,C,['conceptual physics' 'college mathematics']
87,data/test/high_school_physics_test.csv,87,D,C,['electrical engineering' 'elementary mathematics']
88,data/test/high_school_physics_test.csv,88,D,D,['elementary mathematics' 'college chemistry']
89,data/test/high_school_physics_test.csv,89,B,A,['college computer science' 'elementary mathematics']
90,data/test/high_school_physics_test.csv,90,C,C,['computer security' 'high school chemistry']
91,data/test/high_school_physics_test.csv,91,A,D,['abstract algebra' 'electrical engineering']
92,data/test/high_school_physics_test.csv,92,B,C,['high school chemistry' 'high school mathematics']
93,data/test/high_school_physics_test.csv,93,C,D,['machine learning' 'computer security']
94,data/test/high_school_physics_test.csv,94,B,D,['college chemistry' 'college biology']
95,data/test/high_school_physics_test.csv,95,D,B,['anatomy' 'college chemistry']
96,data/test/high_school_physics_test.csv,96,C,D,['anatomy' 'high school statistics']
97,data/test/high_school_physics_test.csv,97,C,C,['electrical engineering' 'high school computer science']
98,data/test/high_school_physics_test.csv,98,A,A,['conceptual physics' 'college biology']
99,data/test/high_school_physics_test.csv,99,C,C,['college chemistry' 'astronomy']
100,data/test/high_school_physics_test.csv,100,C,D,['college computer science' 'high school mathematics']
101,data/test/high_school_physics_test.csv,101,C,C,['college mathematics' 'college physics']
102,data/test/high_school_physics_test.csv,102,C,B,['conceptual physics' 'college chemistry']
103,data/test/high_school_physics_test.csv,103,C,D,['machine learning' 'high school chemistry']
104,data/test/high_school_physics_test.csv,104,D,A,['anatomy' 'high school computer science']
105,data/test/high_school_physics_test.csv,105,B,B,['college biology' 'elementary mathematics']
106,data/test/high_school_physics_test.csv,106,C,B,['high school chemistry' 'high school statistics']
107,data/test/high_school_physics_test.csv,107,D,D,['high school biology' 'college computer science']
108,data/test/high_school_physics_test.csv,108,C,C,['college mathematics' 'high school chemistry']
109,data/test/high_school_physics_test.csv,109,B,C,['machine learning' 'high school biology']
