,task,item,choice,gt,meta_tasks
0,data/test/computer_security_test.csv,0,C,C,['elementary mathematics' 'astronomy']
1,data/test/computer_security_test.csv,1,A,A,['elementary mathematics' 'abstract algebra']
2,data/test/computer_security_test.csv,2,C,C,['high school physics' 'high school statistics']
3,data/test/computer_security_test.csv,3,A,A,['electrical engineering' 'college biology']
4,data/test/computer_security_test.csv,4,A,A,['abstract algebra' 'machine learning']
5,data/test/computer_security_test.csv,5,B,B,['machine learning' 'conceptual physics']
6,data/test/computer_security_test.csv,6,A,A,['abstract algebra' 'college physics']
7,data/test/computer_security_test.csv,7,A,A,['elementary mathematics' 'high school biology']
8,data/test/computer_security_test.csv,8,A,A,['high school biology' 'high school statistics']
9,data/test/computer_security_test.csv,9,B,B,['high school physics' 'elementary mathematics']
10,data/test/computer_security_test.csv,10,C,D,['high school statistics' 'high school chemistry']
11,data/test/computer_security_test.csv,11,A,C,['elementary mathematics' 'high school statistics']
12,data/test/computer_security_test.csv,12,C,C,['electrical engineering' 'high school mathematics']
13,data/test/computer_security_test.csv,13,B,B,['astronomy' 'abstract algebra']
14,data/test/computer_security_test.csv,14,B,C,['college physics' 'machine learning']
15,data/test/computer_security_test.csv,15,B,B,['high school statistics' 'college computer science']
16,data/test/computer_security_test.csv,16,B,B,['high school chemistry' 'abstract algebra']
17,data/test/computer_security_test.csv,17,D,A,['abstract algebra' 'high school physics']
18,data/test/computer_security_test.csv,18,D,A,['high school physics' 'machine learning']
19,data/test/computer_security_test.csv,19,C,D,['electrical engineering' 'high school computer science']
20,data/test/computer_security_test.csv,20,C,D,['machine learning' 'college computer science']
21,data/test/computer_security_test.csv,21,C,C,['college chemistry' 'high school biology']
22,data/test/computer_security_test.csv,22,A,D,['anatomy' 'college biology']
23,data/test/computer_security_test.csv,23,C,C,['conceptual physics' 'college physics']
24,data/test/computer_security_test.csv,24,A,A,['high school statistics' 'high school biology']
25,data/test/computer_security_test.csv,25,C,C,['college biology' 'high school statistics']
26,data/test/computer_security_test.csv,26,D,B,['anatomy' 'college computer science']
27,data/test/computer_security_test.csv,27,B,B,['high school statistics' 'conceptual physics']
28,data/test/computer_security_test.csv,28,A,C,['astronomy' 'high school computer science']
29,data/test/computer_security_test.csv,29,A,A,['high school computer science' 'astronomy']
30,data/test/computer_security_test.csv,30,D,D,['high school biology' 'conceptual physics']
31,data/test/computer_security_test.csv,31,B,D,['college mathematics' 'elementary mathematics']
32,data/test/computer_security_test.csv,32,A,C,['college computer science' 'high school computer science']
33,data/test/computer_security_test.csv,33,B,C,['elementary mathematics' 'abstract algebra']
34,data/test/computer_security_test.csv,34,D,D,['college computer science' 'college chemistry']
35,data/test/computer_security_test.csv,35,A,C,['college biology' 'astronomy']
36,data/test/computer_security_test.csv,36,C,C,['college physics' 'high school physics']
37,data/test/computer_security_test.csv,37,B,D,['high school physics' 'conceptual physics']
38,data/test/computer_security_test.csv,38,B,A,['college physics' 'elementary mathematics']
39,data/test/computer_security_test.csv,39,C,C,['elementary mathematics' 'high school computer science']
40,data/test/computer_security_test.csv,40,B,B,['high school biology' 'electrical engineering']
41,data/test/computer_security_test.csv,41,B,B,['college biology' 'high school mathematics']
42,data/test/computer_security_test.csv,42,B,B,['abstract algebra' 'high school mathematics']
43,data/test/computer_security_test.csv,43,D,D,['college chemistry' 'high school computer science']
44,data/test/computer_security_test.csv,44,A,A,['astronomy' 'elementary mathematics']
45,data/test/computer_security_test.csv,45,D,D,['high school computer science' 'high school biology']
46,data/test/computer_security_test.csv,46,B,B,['elementary mathematics' 'college chemistry']
47,data/test/computer_security_test.csv,47,C,C,['elementary mathematics' 'machine learning']
48,data/test/computer_security_test.csv,48,A,A,['college biology' 'high school physics']
49,data/test/computer_security_test.csv,49,B,C,['elementary mathematics' 'college mathematics']
50,data/test/computer_security_test.csv,50,A,C,['high school statistics' 'machine learning']
51,data/test/computer_security_test.csv,51,D,B,['college physics' 'high school mathematics']
52,data/test/computer_security_test.csv,52,A,A,['college physics' 'college biology']
53,data/test/computer_security_test.csv,53,B,B,['anatomy' 'machine learning']
54,data/test/computer_security_test.csv,54,B,A,['high school statistics' 'college mathematics']
55,data/test/computer_security_test.csv,55,A,B,['anatomy' 'high school statistics']
56,data/test/computer_security_test.csv,56,B,A,['high school mathematics' 'electrical engineering']
57,data/test/computer_security_test.csv,57,B,B,['high school statistics' 'conceptual physics']
58,data/test/computer_security_test.csv,58,D,B,['college computer science' 'high school statistics']
59,data/test/computer_security_test.csv,59,D,D,['conceptual physics' 'college biology']
60,data/test/computer_security_test.csv,60,A,A,['college mathematics' 'high school statistics']
61,data/test/computer_security_test.csv,61,C,A,['high school biology' 'college biology']
62,data/test/computer_security_test.csv,62,A,C,['electrical engineering' 'elementary mathematics']
63,data/test/computer_security_test.csv,63,A,D,['college mathematics' 'high school statistics']
64,data/test/computer_security_test.csv,64,D,D,['anatomy' 'high school computer science']
65,data/test/computer_security_test.csv,65,A,C,['college chemistry' 'abstract algebra']
66,data/test/computer_security_test.csv,66,B,B,['elementary mathematics' 'high school biology']
67,data/test/computer_security_test.csv,67,A,A,['machine learning' 'high school computer science']
68,data/test/computer_security_test.csv,68,B,B,['high school chemistry' 'college mathematics']
69,data/test/computer_security_test.csv,69,B,B,['high school computer science' 'college biology']
70,data/test/computer_security_test.csv,70,A,A,['high school mathematics' 'high school physics']
71,data/test/computer_security_test.csv,71,B,B,['machine learning' 'college chemistry']
72,data/test/computer_security_test.csv,72,A,C,['anatomy' 'high school chemistry']
73,data/test/computer_security_test.csv,73,C,A,['machine learning' 'conceptual physics']
74,data/test/computer_security_test.csv,74,C,B,['machine learning' 'college physics']
75,data/test/computer_security_test.csv,75,A,A,['high school physics' 'elementary mathematics']
76,data/test/computer_security_test.csv,76,D,D,['conceptual physics' 'high school computer science']
77,data/test/computer_security_test.csv,77,C,C,['high school computer science' 'high school mathematics']
78,data/test/computer_security_test.csv,78,A,D,['college computer science' 'high school chemistry']
79,data/test/computer_security_test.csv,79,C,C,['electrical engineering' 'college mathematics']
80,data/test/computer_security_test.csv,80,A,D,['elementary mathematics' 'college mathematics']
81,data/test/computer_security_test.csv,81,C,C,['high school statistics' 'anatomy']
82,data/test/computer_security_test.csv,82,A,A,['college mathematics' 'college physics']
83,data/test/computer_security_test.csv,83,C,C,['astronomy' 'high school biology']
84,data/test/computer_security_test.csv,84,B,C,['high school statistics' 'college physics']
85,data/test/computer_security_test.csv,85,A,A,['anatomy' 'college mathematics']
86,data/test/computer_security_test.csv,86,C,C,['astronomy' 'college mathematics']
87,data/test/computer_security_test.csv,87,A,A,['anatomy' 'machine learning']
88,data/test/computer_security_test.csv,88,B,D,['high school physics' 'electrical engineering']
89,data/test/computer_security_test.csv,89,A,A,['high school physics' 'anatomy']
90,data/test/computer_security_test.csv,90,A,C,['high school chemistry' 'astronomy']
91,data/test/computer_security_test.csv,91,C,C,['abstract algebra' 'college mathematics']
92,data/test/computer_security_test.csv,92,D,B,['conceptual physics' 'college chemistry']
93,data/test/computer_security_test.csv,93,A,D,['high school chemistry' 'electrical engineering']
94,data/test/computer_security_test.csv,94,A,B,['conceptual physics' 'college biology']
95,data/test/computer_security_test.csv,95,B,A,['abstract algebra' 'conceptual physics']
96,data/test/computer_security_test.csv,96,C,A,['college biology' 'conceptual physics']
97,data/test/computer_security_test.csv,97,C,C,['college computer science' 'abstract algebra']
98,data/test/computer_security_test.csv,98,C,C,['high school statistics' 'college chemistry']
99,data/test/computer_security_test.csv,99,D,B,['college computer science' 'machine learning']
