,task,item,choice,gt,meta_tasks
0,data/test/formal_logic_test.csv,0,C,D,['moral disputes' 'moral scenarios']
1,data/test/formal_logic_test.csv,1,B,A,['high school european history' 'high school us history']
2,data/test/formal_logic_test.csv,2,A,C,['international law' 'high school us history']
3,data/test/formal_logic_test.csv,3,B,A,['logical fallacies' 'philosophy']
4,data/test/formal_logic_test.csv,4,B,B,['world religions' 'moral disputes']
5,data/test/formal_logic_test.csv,5,A,D,['world religions' 'international law']
6,data/test/formal_logic_test.csv,6,B,D,['world religions' 'moral disputes']
7,data/test/formal_logic_test.csv,7,B,B,['jurisprudence' 'moral scenarios']
8,data/test/formal_logic_test.csv,8,C,D,['international law' 'logical fallacies']
9,data/test/formal_logic_test.csv,9,D,D,['logical fallacies' 'prehistory']
10,data/test/formal_logic_test.csv,10,A,A,['international law' 'moral disputes']
11,data/test/formal_logic_test.csv,11,A,B,['world religions' 'high school us history']
12,data/test/formal_logic_test.csv,12,A,D,['logical fallacies' 'prehistory']
13,data/test/formal_logic_test.csv,13,B,C,['high school world history' 'prehistory']
14,data/test/formal_logic_test.csv,14,B,D,['high school world history' 'moral disputes']
15,data/test/formal_logic_test.csv,15,C,B,['jurisprudence' 'high school us history']
16,data/test/formal_logic_test.csv,16,C,D,['philosophy' 'high school us history']
17,data/test/formal_logic_test.csv,17,B,D,['prehistory' 'moral disputes']
18,data/test/formal_logic_test.csv,18,C,B,['high school world history' 'high school us history']
19,data/test/formal_logic_test.csv,19,B,B,['high school world history' 'moral disputes']
20,data/test/formal_logic_test.csv,20,B,B,['international law' 'high school european history']
21,data/test/formal_logic_test.csv,21,C,D,['moral disputes' 'high school world history']
22,data/test/formal_logic_test.csv,22,B,B,['philosophy' 'world religions']
23,data/test/formal_logic_test.csv,23,B,C,['moral disputes' 'jurisprudence']
24,data/test/formal_logic_test.csv,24,C,D,['logical fallacies' 'world religions']
25,data/test/formal_logic_test.csv,25,B,A,['moral disputes' 'logical fallacies']
