,task,item,choice,gt,meta_tasks
0,data/test/college_biology_test.csv,0,C,C,['high school biology' 'machine learning']
1,data/test/college_biology_test.csv,1,C,C,['anatomy' 'high school mathematics']
2,data/test/college_biology_test.csv,2,B,A,['high school mathematics' 'elementary mathematics']
3,data/test/college_biology_test.csv,3,B,B,['conceptual physics' 'college chemistry']
4,data/test/college_biology_test.csv,4,A,A,['college chemistry' 'computer security']
5,data/test/college_biology_test.csv,5,C,A,['high school physics' 'elementary mathematics']
6,data/test/college_biology_test.csv,6,B,B,['college physics' 'elementary mathematics']
7,data/test/college_biology_test.csv,7,A,B,['high school computer science' 'conceptual physics']
8,data/test/college_biology_test.csv,8,D,D,['high school mathematics' 'college physics']
9,data/test/college_biology_test.csv,9,C,C,['machine learning' 'computer security']
10,data/test/college_biology_test.csv,10,B,C,['high school mathematics' 'computer security']
11,data/test/college_biology_test.csv,11,B,D,['high school biology' 'conceptual physics']
12,data/test/college_biology_test.csv,12,C,C,['elementary mathematics' 'college mathematics']
13,data/test/college_biology_test.csv,13,D,D,['astronomy' 'college physics']
14,data/test/college_biology_test.csv,14,D,A,['college physics' 'high school computer science']
15,data/test/college_biology_test.csv,15,A,C,['electrical engineering' 'elementary mathematics']
16,data/test/college_biology_test.csv,16,C,C,['high school biology' 'computer security']
17,data/test/college_biology_test.csv,17,C,C,['electrical engineering' 'high school chemistry']
18,data/test/college_biology_test.csv,18,A,C,['machine learning' 'high school physics']
19,data/test/college_biology_test.csv,19,A,A,['conceptual physics' 'elementary mathematics']
20,data/test/college_biology_test.csv,20,D,D,['computer security' 'high school physics']
21,data/test/college_biology_test.csv,21,C,C,['high school biology' 'machine learning']
22,data/test/college_biology_test.csv,22,A,B,['high school statistics' 'elementary mathematics']
23,data/test/college_biology_test.csv,23,A,A,['high school statistics' 'astronomy']
24,data/test/college_biology_test.csv,24,D,D,['anatomy' 'college computer science']
25,data/test/college_biology_test.csv,25,D,D,['machine learning' 'high school computer science']
26,data/test/college_biology_test.csv,26,A,A,['anatomy' 'astronomy']
27,data/test/college_biology_test.csv,27,A,C,['high school physics' 'high school mathematics']
28,data/test/college_biology_test.csv,28,A,A,['abstract algebra' 'anatomy']
29,data/test/college_biology_test.csv,29,A,C,['abstract algebra' 'anatomy']
30,data/test/college_biology_test.csv,30,B,A,['college physics' 'machine learning']
31,data/test/college_biology_test.csv,31,B,B,['conceptual physics' 'abstract algebra']
32,data/test/college_biology_test.csv,32,A,B,['college mathematics' 'high school physics']
33,data/test/college_biology_test.csv,33,B,D,['high school mathematics' 'astronomy']
34,data/test/college_biology_test.csv,34,B,D,['conceptual physics' 'machine learning']
35,data/test/college_biology_test.csv,35,B,A,['computer security' 'high school biology']
36,data/test/college_biology_test.csv,36,C,B,['college computer science' 'high school mathematics']
37,data/test/college_biology_test.csv,37,D,A,['computer security' 'conceptual physics']
38,data/test/college_biology_test.csv,38,C,C,['college computer science' 'anatomy']
39,data/test/college_biology_test.csv,39,C,A,['college physics' 'college computer science']
40,data/test/college_biology_test.csv,40,C,D,['high school biology' 'high school physics']
41,data/test/college_biology_test.csv,41,A,B,['conceptual physics' 'abstract algebra']
42,data/test/college_biology_test.csv,42,C,C,['anatomy' 'college computer science']
43,data/test/college_biology_test.csv,43,A,A,['anatomy' 'abstract algebra']
44,data/test/college_biology_test.csv,44,B,D,['elementary mathematics' 'college chemistry']
45,data/test/college_biology_test.csv,45,A,D,['college computer science' 'machine learning']
46,data/test/college_biology_test.csv,46,A,B,['college chemistry' 'high school mathematics']
47,data/test/college_biology_test.csv,47,C,C,['college computer science' 'college mathematics']
48,data/test/college_biology_test.csv,48,A,B,['elementary mathematics' 'anatomy']
49,data/test/college_biology_test.csv,49,D,A,['college mathematics' 'college chemistry']
50,data/test/college_biology_test.csv,50,A,A,['abstract algebra' 'machine learning']
51,data/test/college_biology_test.csv,51,A,C,['high school physics' 'elementary mathematics']
52,data/test/college_biology_test.csv,52,C,C,['high school biology' 'college computer science']
53,data/test/college_biology_test.csv,53,C,A,['high school chemistry' 'high school statistics']
54,data/test/college_biology_test.csv,54,A,D,['high school mathematics' 'high school statistics']
55,data/test/college_biology_test.csv,55,B,B,['machine learning' 'college chemistry']
56,data/test/college_biology_test.csv,56,A,C,['astronomy' 'high school mathematics']
57,data/test/college_biology_test.csv,57,A,C,['college chemistry' 'abstract algebra']
58,data/test/college_biology_test.csv,58,A,B,['machine learning' 'college mathematics']
59,data/test/college_biology_test.csv,59,D,D,['anatomy' 'conceptual physics']
60,data/test/college_biology_test.csv,60,B,B,['high school physics' 'college chemistry']
61,data/test/college_biology_test.csv,61,D,D,['elementary mathematics' 'high school mathematics']
62,data/test/college_biology_test.csv,62,C,A,['high school computer science' 'conceptual physics']
63,data/test/college_biology_test.csv,63,C,C,['electrical engineering' 'high school mathematics']
64,data/test/college_biology_test.csv,64,C,D,['high school chemistry' 'abstract algebra']
65,data/test/college_biology_test.csv,65,A,A,['high school physics' 'electrical engineering']
66,data/test/college_biology_test.csv,66,A,D,['high school statistics' 'high school computer science']
67,data/test/college_biology_test.csv,67,C,B,['high school statistics' 'conceptual physics']
68,data/test/college_biology_test.csv,68,D,D,['high school computer science' 'abstract algebra']
69,data/test/college_biology_test.csv,69,D,B,['anatomy' 'high school mathematics']
70,data/test/college_biology_test.csv,70,A,A,['abstract algebra' 'anatomy']
71,data/test/college_biology_test.csv,71,C,C,['college chemistry' 'high school biology']
72,data/test/college_biology_test.csv,72,A,A,['high school statistics' 'astronomy']
73,data/test/college_biology_test.csv,73,D,A,['high school chemistry' 'elementary mathematics']
74,data/test/college_biology_test.csv,74,C,B,['college physics' 'elementary mathematics']
75,data/test/college_biology_test.csv,75,A,A,['college chemistry' 'high school biology']
76,data/test/college_biology_test.csv,76,C,C,['abstract algebra' 'high school physics']
77,data/test/college_biology_test.csv,77,B,A,['college mathematics' 'conceptual physics']
78,data/test/college_biology_test.csv,78,C,D,['high school mathematics' 'college chemistry']
79,data/test/college_biology_test.csv,79,C,D,['high school mathematics' 'conceptual physics']
80,data/test/college_biology_test.csv,80,A,C,['high school mathematics' 'anatomy']
81,data/test/college_biology_test.csv,81,D,D,['high school biology' 'high school mathematics']
82,data/test/college_biology_test.csv,82,D,D,['elementary mathematics' 'high school chemistry']
83,data/test/college_biology_test.csv,83,C,C,['high school physics' 'high school statistics']
84,data/test/college_biology_test.csv,84,A,D,['college computer science' 'high school computer science']
85,data/test/college_biology_test.csv,85,C,D,['college mathematics' 'high school physics']
86,data/test/college_biology_test.csv,86,A,B,['computer security' 'high school physics']
87,data/test/college_biology_test.csv,87,B,B,['electrical engineering' 'high school chemistry']
88,data/test/college_biology_test.csv,88,B,B,['elementary mathematics' 'high school mathematics']
89,data/test/college_biology_test.csv,89,C,B,['college computer science' 'high school biology']
90,data/test/college_biology_test.csv,90,D,D,['high school chemistry' 'elementary mathematics']
91,data/test/college_biology_test.csv,91,C,C,['high school chemistry' 'astronomy']
92,data/test/college_biology_test.csv,92,B,B,['abstract algebra' 'high school computer science']
93,data/test/college_biology_test.csv,93,C,D,['college computer science' 'high school statistics']
94,data/test/college_biology_test.csv,94,D,D,['high school statistics' 'college mathematics']
95,data/test/college_biology_test.csv,95,C,B,['college computer science' 'astronomy']
96,data/test/college_biology_test.csv,96,A,A,['anatomy' 'college mathematics']
97,data/test/college_biology_test.csv,97,A,D,['high school computer science' 'computer security']
98,data/test/college_biology_test.csv,98,D,D,['computer security' 'anatomy']
99,data/test/college_biology_test.csv,99,B,B,['college mathematics' 'high school chemistry']
100,data/test/college_biology_test.csv,100,D,D,['high school statistics' 'machine learning']
101,data/test/college_biology_test.csv,101,B,C,['elementary mathematics' 'computer security']
102,data/test/college_biology_test.csv,102,A,A,['high school statistics' 'electrical engineering']
103,data/test/college_biology_test.csv,103,B,D,['college computer science' 'college physics']
104,data/test/college_biology_test.csv,104,D,D,['high school mathematics' 'high school statistics']
105,data/test/college_biology_test.csv,105,C,B,['machine learning' 'college computer science']
106,data/test/college_biology_test.csv,106,C,C,['machine learning' 'high school statistics']
107,data/test/college_biology_test.csv,107,B,A,['high school mathematics' 'high school physics']
108,data/test/college_biology_test.csv,108,A,C,['college physics' 'college computer science']
109,data/test/college_biology_test.csv,109,B,B,['college computer science' 'college physics']
110,data/test/college_biology_test.csv,110,A,C,['high school physics' 'college physics']
111,data/test/college_biology_test.csv,111,A,A,['astronomy' 'high school statistics']
112,data/test/college_biology_test.csv,112,A,B,['machine learning' 'high school chemistry']
113,data/test/college_biology_test.csv,113,A,A,['high school statistics' 'abstract algebra']
114,data/test/college_biology_test.csv,114,A,A,['conceptual physics' 'college computer science']
115,data/test/college_biology_test.csv,115,C,D,['astronomy' 'electrical engineering']
116,data/test/college_biology_test.csv,116,A,C,['high school chemistry' 'high school physics']
117,data/test/college_biology_test.csv,117,C,C,['college chemistry' 'college mathematics']
118,data/test/college_biology_test.csv,118,A,A,['machine learning' 'elementary mathematics']
119,data/test/college_biology_test.csv,119,C,A,['college chemistry' 'electrical engineering']
120,data/test/college_biology_test.csv,120,C,C,['high school chemistry' 'high school physics']
121,data/test/college_biology_test.csv,121,B,B,['college chemistry' 'computer security']
122,data/test/college_biology_test.csv,122,A,D,['electrical engineering' 'college mathematics']
123,data/test/college_biology_test.csv,123,A,A,['computer security' 'college mathematics']
124,data/test/college_biology_test.csv,124,D,B,['elementary mathematics' 'college physics']
125,data/test/college_biology_test.csv,125,C,C,['high school mathematics' 'college computer science']
126,data/test/college_biology_test.csv,126,A,D,['high school statistics' 'high school chemistry']
127,data/test/college_biology_test.csv,127,B,B,['college physics' 'high school chemistry']
128,data/test/college_biology_test.csv,128,D,C,['high school physics' 'high school statistics']
129,data/test/college_biology_test.csv,129,A,B,['college chemistry' 'anatomy']
130,data/test/college_biology_test.csv,130,C,C,['high school chemistry' 'abstract algebra']
131,data/test/college_biology_test.csv,131,D,D,['high school chemistry' 'high school biology']
132,data/test/college_biology_test.csv,132,D,C,['elementary mathematics' 'college chemistry']
