,task,item,choice,gt,meta_tasks
0,data/test/conceptual_physics_test.csv,0,C,A,['abstract algebra' 'electrical engineering']
1,data/test/conceptual_physics_test.csv,1,D,B,['high school computer science' 'elementary mathematics']
2,data/test/conceptual_physics_test.csv,2,A,B,['college mathematics' 'high school biology']
3,data/test/conceptual_physics_test.csv,3,A,B,['electrical engineering' 'elementary mathematics']
4,data/test/conceptual_physics_test.csv,4,A,A,['astronomy' 'high school chemistry']
5,data/test/conceptual_physics_test.csv,5,D,D,['computer security' 'college physics']
6,data/test/conceptual_physics_test.csv,6,D,D,['high school statistics' 'computer security']
7,data/test/conceptual_physics_test.csv,7,A,A,['electrical engineering' 'anatomy']
8,data/test/conceptual_physics_test.csv,8,B,B,['high school computer science' 'anatomy']
9,data/test/conceptual_physics_test.csv,9,D,D,['college chemistry' 'high school physics']
10,data/test/conceptual_physics_test.csv,10,A,B,['high school computer science' 'college chemistry']
11,data/test/conceptual_physics_test.csv,11,C,C,['high school computer science' 'high school biology']
12,data/test/conceptual_physics_test.csv,12,A,B,['abstract algebra' 'high school physics']
13,data/test/conceptual_physics_test.csv,13,A,A,['college biology' 'astronomy']
14,data/test/conceptual_physics_test.csv,14,C,B,['astronomy' 'electrical engineering']
15,data/test/conceptual_physics_test.csv,15,A,A,['astronomy' 'anatomy']
16,data/test/conceptual_physics_test.csv,16,C,A,['computer security' 'college physics']
17,data/test/conceptual_physics_test.csv,17,D,B,['high school statistics' 'high school mathematics']
18,data/test/conceptual_physics_test.csv,18,D,D,['high school biology' 'college biology']
19,data/test/conceptual_physics_test.csv,19,A,A,['high school computer science' 'college mathematics']
20,data/test/conceptual_physics_test.csv,20,D,A,['abstract algebra' 'high school physics']
21,data/test/conceptual_physics_test.csv,21,A,C,['high school chemistry' 'abstract algebra']
22,data/test/conceptual_physics_test.csv,22,A,D,['computer security' 'anatomy']
23,data/test/conceptual_physics_test.csv,23,B,C,['college biology' 'abstract algebra']
24,data/test/conceptual_physics_test.csv,24,C,C,['abstract algebra' 'high school chemistry']
25,data/test/conceptual_physics_test.csv,25,B,A,['high school chemistry' 'college biology']
26,data/test/conceptual_physics_test.csv,26,C,D,['high school physics' 'high school chemistry']
27,data/test/conceptual_physics_test.csv,27,A,A,['high school mathematics' 'abstract algebra']
28,data/test/conceptual_physics_test.csv,28,C,C,['elementary mathematics' 'college chemistry']
29,data/test/conceptual_physics_test.csv,29,A,C,['abstract algebra' 'high school chemistry']
30,data/test/conceptual_physics_test.csv,30,B,B,['college chemistry' 'computer security']
31,data/test/conceptual_physics_test.csv,31,D,D,['anatomy' 'machine learning']
32,data/test/conceptual_physics_test.csv,32,B,C,['machine learning' 'high school mathematics']
33,data/test/conceptual_physics_test.csv,33,D,D,['anatomy' 'college physics']
34,data/test/conceptual_physics_test.csv,34,D,D,['college mathematics' 'college chemistry']
35,data/test/conceptual_physics_test.csv,35,C,A,['astronomy' 'high school mathematics']
36,data/test/conceptual_physics_test.csv,36,B,A,['college biology' 'elementary mathematics']
37,data/test/conceptual_physics_test.csv,37,D,C,['college biology' 'astronomy']
38,data/test/conceptual_physics_test.csv,38,D,D,['electrical engineering' 'anatomy']
39,data/test/conceptual_physics_test.csv,39,D,A,['abstract algebra' 'high school mathematics']
40,data/test/conceptual_physics_test.csv,40,C,C,['college chemistry' 'anatomy']
41,data/test/conceptual_physics_test.csv,41,D,D,['high school computer science' 'anatomy']
42,data/test/conceptual_physics_test.csv,42,A,B,['high school chemistry' 'high school biology']
43,data/test/conceptual_physics_test.csv,43,B,C,['college chemistry' 'college computer science']
44,data/test/conceptual_physics_test.csv,44,D,D,['anatomy' 'high school mathematics']
45,data/test/conceptual_physics_test.csv,45,D,A,['electrical engineering' 'college mathematics']
46,data/test/conceptual_physics_test.csv,46,C,C,['college biology' 'astronomy']
47,data/test/conceptual_physics_test.csv,47,C,B,['college chemistry' 'high school physics']
48,data/test/conceptual_physics_test.csv,48,A,A,['high school statistics' 'college computer science']
49,data/test/conceptual_physics_test.csv,49,C,A,['college chemistry' 'college biology']
50,data/test/conceptual_physics_test.csv,50,A,A,['machine learning' 'computer security']
51,data/test/conceptual_physics_test.csv,51,A,A,['computer security' 'college physics']
52,data/test/conceptual_physics_test.csv,52,A,A,['college chemistry' 'high school statistics']
53,data/test/conceptual_physics_test.csv,53,B,B,['college mathematics' 'electrical engineering']
54,data/test/conceptual_physics_test.csv,54,A,D,['college biology' 'high school biology']
55,data/test/conceptual_physics_test.csv,55,A,D,['anatomy' 'college chemistry']
56,data/test/conceptual_physics_test.csv,56,C,C,['college chemistry' 'computer security']
57,data/test/conceptual_physics_test.csv,57,D,B,['college biology' 'abstract algebra']
58,data/test/conceptual_physics_test.csv,58,D,D,['college biology' 'machine learning']
59,data/test/conceptual_physics_test.csv,59,A,C,['high school mathematics' 'high school chemistry']
60,data/test/conceptual_physics_test.csv,60,A,C,['abstract algebra' 'electrical engineering']
61,data/test/conceptual_physics_test.csv,61,A,C,['high school biology' 'high school statistics']
62,data/test/conceptual_physics_test.csv,62,C,C,['astronomy' 'computer security']
63,data/test/conceptual_physics_test.csv,63,D,D,['high school physics' 'electrical engineering']
64,data/test/conceptual_physics_test.csv,64,C,B,['college biology' 'elementary mathematics']
65,data/test/conceptual_physics_test.csv,65,A,C,['astronomy' 'high school chemistry']
66,data/test/conceptual_physics_test.csv,66,A,B,['high school mathematics' 'college chemistry']
67,data/test/conceptual_physics_test.csv,67,A,D,['high school statistics' 'college computer science']
68,data/test/conceptual_physics_test.csv,68,B,A,['high school statistics' 'machine learning']
69,data/test/conceptual_physics_test.csv,69,D,C,['high school computer science' 'electrical engineering']
70,data/test/conceptual_physics_test.csv,70,A,A,['college chemistry' 'high school statistics']
71,data/test/conceptual_physics_test.csv,71,B,A,['high school statistics' 'high school chemistry']
72,data/test/conceptual_physics_test.csv,72,D,C,['electrical engineering' 'anatomy']
73,data/test/conceptual_physics_test.csv,73,D,C,['abstract algebra' 'high school physics']
74,data/test/conceptual_physics_test.csv,74,B,B,['college computer science' 'college biology']
75,data/test/conceptual_physics_test.csv,75,A,D,['college physics' 'college computer science']
76,data/test/conceptual_physics_test.csv,76,A,B,['machine learning' 'high school statistics']
77,data/test/conceptual_physics_test.csv,77,B,A,['college mathematics' 'high school mathematics']
78,data/test/conceptual_physics_test.csv,78,D,B,['machine learning' 'electrical engineering']
79,data/test/conceptual_physics_test.csv,79,C,A,['computer security' 'anatomy']
80,data/test/conceptual_physics_test.csv,80,A,C,['high school biology' 'college chemistry']
81,data/test/conceptual_physics_test.csv,81,B,B,['astronomy' 'college mathematics']
82,data/test/conceptual_physics_test.csv,82,A,A,['high school mathematics' 'machine learning']
83,data/test/conceptual_physics_test.csv,83,D,A,['high school computer science' 'astronomy']
84,data/test/conceptual_physics_test.csv,84,B,D,['machine learning' 'computer security']
85,data/test/conceptual_physics_test.csv,85,C,A,['high school mathematics' 'elementary mathematics']
86,data/test/conceptual_physics_test.csv,86,B,C,['electrical engineering' 'computer security']
87,data/test/conceptual_physics_test.csv,87,B,C,['anatomy' 'high school physics']
88,data/test/conceptual_physics_test.csv,88,A,A,['high school biology' 'elementary mathematics']
89,data/test/conceptual_physics_test.csv,89,B,C,['electrical engineering' 'college physics']
90,data/test/conceptual_physics_test.csv,90,B,B,['college biology' 'college physics']
91,data/test/conceptual_physics_test.csv,91,B,B,['electrical engineering' 'abstract algebra']
92,data/test/conceptual_physics_test.csv,92,D,B,['electrical engineering' 'astronomy']
93,data/test/conceptual_physics_test.csv,93,A,A,['machine learning' 'high school statistics']
94,data/test/conceptual_physics_test.csv,94,A,C,['high school physics' 'high school chemistry']
95,data/test/conceptual_physics_test.csv,95,D,B,['electrical engineering' 'abstract algebra']
96,data/test/conceptual_physics_test.csv,96,B,A,['college physics' 'abstract algebra']
97,data/test/conceptual_physics_test.csv,97,C,A,['high school mathematics' 'college biology']
98,data/test/conceptual_physics_test.csv,98,C,A,['high school statistics' 'college biology']
99,data/test/conceptual_physics_test.csv,99,A,A,['college mathematics' 'high school biology']
100,data/test/conceptual_physics_test.csv,100,B,C,['high school physics' 'college computer science']
101,data/test/conceptual_physics_test.csv,101,D,B,['college biology' 'abstract algebra']
102,data/test/conceptual_physics_test.csv,102,B,D,['college physics' 'anatomy']
103,data/test/conceptual_physics_test.csv,103,A,B,['high school computer science' 'machine learning']
104,data/test/conceptual_physics_test.csv,104,D,A,['abstract algebra' 'astronomy']
105,data/test/conceptual_physics_test.csv,105,C,A,['college physics' 'abstract algebra']
106,data/test/conceptual_physics_test.csv,106,C,D,['college computer science' 'college chemistry']
107,data/test/conceptual_physics_test.csv,107,C,B,['high school physics' 'college physics']
108,data/test/conceptual_physics_test.csv,108,C,C,['astronomy' 'abstract algebra']
109,data/test/conceptual_physics_test.csv,109,B,A,['anatomy' 'high school computer science']
110,data/test/conceptual_physics_test.csv,110,D,C,['high school biology' 'computer security']
111,data/test/conceptual_physics_test.csv,111,C,A,['high school computer science' 'anatomy']
112,data/test/conceptual_physics_test.csv,112,C,A,['college computer science' 'elementary mathematics']
113,data/test/conceptual_physics_test.csv,113,B,B,['electrical engineering' 'astronomy']
114,data/test/conceptual_physics_test.csv,114,B,B,['astronomy' 'computer security']
115,data/test/conceptual_physics_test.csv,115,C,A,['abstract algebra' 'college biology']
116,data/test/conceptual_physics_test.csv,116,A,B,['high school physics' 'college physics']
117,data/test/conceptual_physics_test.csv,117,C,C,['college biology' 'machine learning']
118,data/test/conceptual_physics_test.csv,118,A,B,['electrical engineering' 'college physics']
119,data/test/conceptual_physics_test.csv,119,C,C,['anatomy' 'college computer science']
120,data/test/conceptual_physics_test.csv,120,B,B,['machine learning' 'high school chemistry']
121,data/test/conceptual_physics_test.csv,121,D,D,['high school computer science' 'college computer science']
122,data/test/conceptual_physics_test.csv,122,D,B,['computer security' 'college physics']
123,data/test/conceptual_physics_test.csv,123,D,C,['computer security' 'high school chemistry']
124,data/test/conceptual_physics_test.csv,124,B,B,['high school computer science' 'computer security']
125,data/test/conceptual_physics_test.csv,125,D,D,['electrical engineering' 'computer security']
126,data/test/conceptual_physics_test.csv,126,D,C,['machine learning' 'high school statistics']
127,data/test/conceptual_physics_test.csv,127,A,A,['anatomy' 'elementary mathematics']
128,data/test/conceptual_physics_test.csv,128,C,B,['high school statistics' 'college mathematics']
129,data/test/conceptual_physics_test.csv,129,A,C,['elementary mathematics' 'college mathematics']
130,data/test/conceptual_physics_test.csv,130,A,A,['astronomy' 'high school biology']
131,data/test/conceptual_physics_test.csv,131,D,D,['college computer science' 'high school statistics']
132,data/test/conceptual_physics_test.csv,132,B,B,['college chemistry' 'electrical engineering']
133,data/test/conceptual_physics_test.csv,133,C,C,['machine learning' 'college physics']
134,data/test/conceptual_physics_test.csv,134,C,B,['computer security' 'college physics']
135,data/test/conceptual_physics_test.csv,135,A,A,['electrical engineering' 'college mathematics']
136,data/test/conceptual_physics_test.csv,136,A,A,['college physics' 'high school mathematics']
137,data/test/conceptual_physics_test.csv,137,D,B,['high school computer science' 'college mathematics']
138,data/test/conceptual_physics_test.csv,138,D,D,['anatomy' 'elementary mathematics']
139,data/test/conceptual_physics_test.csv,139,A,B,['college mathematics' 'high school statistics']
140,data/test/conceptual_physics_test.csv,140,B,A,['college computer science' 'electrical engineering']
141,data/test/conceptual_physics_test.csv,141,B,C,['anatomy' 'electrical engineering']
142,data/test/conceptual_physics_test.csv,142,C,A,['college biology' 'high school physics']
143,data/test/conceptual_physics_test.csv,143,C,D,['high school statistics' 'elementary mathematics']
144,data/test/conceptual_physics_test.csv,144,C,D,['elementary mathematics' 'high school statistics']
145,data/test/conceptual_physics_test.csv,145,C,C,['electrical engineering' 'abstract algebra']
146,data/test/conceptual_physics_test.csv,146,D,B,['electrical engineering' 'anatomy']
147,data/test/conceptual_physics_test.csv,147,B,B,['high school statistics' 'anatomy']
148,data/test/conceptual_physics_test.csv,148,B,B,['machine learning' 'abstract algebra']
149,data/test/conceptual_physics_test.csv,149,D,D,['anatomy' 'college chemistry']
150,data/test/conceptual_physics_test.csv,150,A,A,['college chemistry' 'college physics']
151,data/test/conceptual_physics_test.csv,151,B,A,['computer security' 'high school computer science']
152,data/test/conceptual_physics_test.csv,152,B,B,['college mathematics' 'high school biology']
153,data/test/conceptual_physics_test.csv,153,D,D,['high school mathematics' 'astronomy']
154,data/test/conceptual_physics_test.csv,154,D,B,['anatomy' 'abstract algebra']
155,data/test/conceptual_physics_test.csv,155,D,D,['high school physics' 'college biology']
156,data/test/conceptual_physics_test.csv,156,B,A,['high school statistics' 'anatomy']
157,data/test/conceptual_physics_test.csv,157,B,A,['astronomy' 'abstract algebra']
158,data/test/conceptual_physics_test.csv,158,A,C,['college chemistry' 'elementary mathematics']
159,data/test/conceptual_physics_test.csv,159,B,B,['electrical engineering' 'high school computer science']
160,data/test/conceptual_physics_test.csv,160,C,B,['computer security' 'abstract algebra']
161,data/test/conceptual_physics_test.csv,161,B,A,['high school chemistry' 'anatomy']
162,data/test/conceptual_physics_test.csv,162,C,B,['astronomy' 'high school statistics']
163,data/test/conceptual_physics_test.csv,163,B,B,['elementary mathematics' 'college mathematics']
164,data/test/conceptual_physics_test.csv,164,D,D,['electrical engineering' 'machine learning']
165,data/test/conceptual_physics_test.csv,165,B,C,['college physics' 'computer security']
166,data/test/conceptual_physics_test.csv,166,B,B,['high school biology' 'electrical engineering']
167,data/test/conceptual_physics_test.csv,167,C,D,['high school physics' 'high school mathematics']
168,data/test/conceptual_physics_test.csv,168,B,D,['astronomy' 'machine learning']
169,data/test/conceptual_physics_test.csv,169,B,C,['high school biology' 'astronomy']
170,data/test/conceptual_physics_test.csv,170,C,A,['electrical engineering' 'college physics']
171,data/test/conceptual_physics_test.csv,171,C,B,['high school statistics' 'college computer science']
172,data/test/conceptual_physics_test.csv,172,B,B,['high school biology' 'college computer science']
173,data/test/conceptual_physics_test.csv,173,D,B,['college computer science' 'high school statistics']
174,data/test/conceptual_physics_test.csv,174,A,A,['high school physics' 'astronomy']
175,data/test/conceptual_physics_test.csv,175,A,A,['astronomy' 'high school biology']
176,data/test/conceptual_physics_test.csv,176,D,D,['machine learning' 'high school computer science']
177,data/test/conceptual_physics_test.csv,177,C,D,['college biology' 'high school statistics']
178,data/test/conceptual_physics_test.csv,178,C,D,['anatomy' 'high school physics']
179,data/test/conceptual_physics_test.csv,179,C,D,['elementary mathematics' 'college physics']
180,data/test/conceptual_physics_test.csv,180,C,D,['high school biology' 'college computer science']
181,data/test/conceptual_physics_test.csv,181,D,D,['anatomy' 'college mathematics']
182,data/test/conceptual_physics_test.csv,182,B,B,['high school statistics' 'high school mathematics']
183,data/test/conceptual_physics_test.csv,183,B,B,['high school computer science' 'anatomy']
184,data/test/conceptual_physics_test.csv,184,C,B,['college physics' 'electrical engineering']
185,data/test/conceptual_physics_test.csv,185,A,A,['college chemistry' 'high school mathematics']
