,task,item,choice,gt,meta_tasks
0,data/test/international_law_test.csv,0,B,B,[]
1,data/test/international_law_test.csv,1,A,A,[]
2,data/test/international_law_test.csv,2,C,C,[]
3,data/test/international_law_test.csv,3,D,A,[]
4,data/test/international_law_test.csv,4,C,C,[]
5,data/test/international_law_test.csv,5,B,B,[]
6,data/test/international_law_test.csv,6,C,C,[]
7,data/test/international_law_test.csv,7,C,C,[]
8,data/test/international_law_test.csv,8,B,B,[]
9,data/test/international_law_test.csv,9,A,A,[]
10,data/test/international_law_test.csv,10,C,C,[]
11,data/test/international_law_test.csv,11,B,B,[]
12,data/test/international_law_test.csv,12,C,C,[]
13,data/test/international_law_test.csv,13,B,B,[]
14,data/test/international_law_test.csv,14,C,C,[]
15,data/test/international_law_test.csv,15,C,A,[]
16,data/test/international_law_test.csv,16,B,B,[]
17,data/test/international_law_test.csv,17,B,A,[]
18,data/test/international_law_test.csv,18,C,C,[]
19,data/test/international_law_test.csv,19,B,D,[]
20,data/test/international_law_test.csv,20,C,C,[]
21,data/test/international_law_test.csv,21,C,C,[]
22,data/test/international_law_test.csv,22,A,C,[]
23,data/test/international_law_test.csv,23,B,B,[]
24,data/test/international_law_test.csv,24,C,C,[]
25,data/test/international_law_test.csv,25,A,A,[]
26,data/test/international_law_test.csv,26,C,C,[]
27,data/test/international_law_test.csv,27,C,C,[]
28,data/test/international_law_test.csv,28,C,A,[]
29,data/test/international_law_test.csv,29,B,B,[]
30,data/test/international_law_test.csv,30,D,C,[]
31,data/test/international_law_test.csv,31,D,C,[]
32,data/test/international_law_test.csv,32,C,C,[]
33,data/test/international_law_test.csv,33,A,A,[]
34,data/test/international_law_test.csv,34,C,A,[]
35,data/test/international_law_test.csv,35,D,D,[]
36,data/test/international_law_test.csv,36,B,C,[]
37,data/test/international_law_test.csv,37,D,A,[]
38,data/test/international_law_test.csv,38,B,B,[]
39,data/test/international_law_test.csv,39,B,B,[]
40,data/test/international_law_test.csv,40,D,A,[]
41,data/test/international_law_test.csv,41,C,D,[]
42,data/test/international_law_test.csv,42,C,C,[]
43,data/test/international_law_test.csv,43,C,C,[]
44,data/test/international_law_test.csv,44,C,C,[]
45,data/test/international_law_test.csv,45,B,B,[]
46,data/test/international_law_test.csv,46,B,B,[]
47,data/test/international_law_test.csv,47,D,D,[]
48,data/test/international_law_test.csv,48,A,C,[]
49,data/test/international_law_test.csv,49,D,D,[]
50,data/test/international_law_test.csv,50,B,D,[]
51,data/test/international_law_test.csv,51,D,A,[]
52,data/test/international_law_test.csv,52,D,D,[]
53,data/test/international_law_test.csv,53,A,A,[]
54,data/test/international_law_test.csv,54,D,D,[]
55,data/test/international_law_test.csv,55,B,B,[]
56,data/test/international_law_test.csv,56,C,B,[]
57,data/test/international_law_test.csv,57,C,A,[]
58,data/test/international_law_test.csv,58,C,C,[]
59,data/test/international_law_test.csv,59,B,A,[]
60,data/test/international_law_test.csv,60,C,C,[]
61,data/test/international_law_test.csv,61,B,C,[]
62,data/test/international_law_test.csv,62,B,B,[]
63,data/test/international_law_test.csv,63,B,B,[]
64,data/test/international_law_test.csv,64,B,B,[]
65,data/test/international_law_test.csv,65,D,A,[]
66,data/test/international_law_test.csv,66,B,D,[]
67,data/test/international_law_test.csv,67,A,A,[]
68,data/test/international_law_test.csv,68,C,C,[]
69,data/test/international_law_test.csv,69,C,C,[]
70,data/test/international_law_test.csv,70,C,C,[]
71,data/test/international_law_test.csv,71,C,D,[]
72,data/test/international_law_test.csv,72,D,B,[]
73,data/test/international_law_test.csv,73,B,B,[]
74,data/test/international_law_test.csv,74,C,A,[]
75,data/test/international_law_test.csv,75,C,C,[]
76,data/test/international_law_test.csv,76,D,D,[]
77,data/test/international_law_test.csv,77,B,B,[]
78,data/test/international_law_test.csv,78,C,A,[]
79,data/test/international_law_test.csv,79,D,C,[]
80,data/test/international_law_test.csv,80,B,A,[]
81,data/test/international_law_test.csv,81,C,B,[]
82,data/test/international_law_test.csv,82,B,C,[]
83,data/test/international_law_test.csv,83,A,C,[]
84,data/test/international_law_test.csv,84,A,A,[]
85,data/test/international_law_test.csv,85,B,D,[]
86,data/test/international_law_test.csv,86,B,B,[]
87,data/test/international_law_test.csv,87,D,B,[]
88,data/test/international_law_test.csv,88,B,B,[]
89,data/test/international_law_test.csv,89,C,C,[]
90,data/test/international_law_test.csv,90,C,C,[]
91,data/test/international_law_test.csv,91,A,A,[]
92,data/test/international_law_test.csv,92,C,C,[]
93,data/test/international_law_test.csv,93,A,A,[]
94,data/test/international_law_test.csv,94,B,B,[]
95,data/test/international_law_test.csv,95,D,A,[]
96,data/test/international_law_test.csv,96,B,B,[]
97,data/test/international_law_test.csv,97,D,D,[]
98,data/test/international_law_test.csv,98,D,D,[]
99,data/test/international_law_test.csv,99,A,A,[]
100,data/test/international_law_test.csv,100,C,A,[]
101,data/test/international_law_test.csv,101,C,C,[]
102,data/test/international_law_test.csv,102,B,C,[]
103,data/test/international_law_test.csv,103,D,C,[]
104,data/test/international_law_test.csv,104,C,C,[]
105,data/test/international_law_test.csv,105,D,A,[]
106,data/test/international_law_test.csv,106,C,C,[]
107,data/test/international_law_test.csv,107,C,C,[]
108,data/test/international_law_test.csv,108,B,B,[]
109,data/test/international_law_test.csv,109,B,B,[]
110,data/test/international_law_test.csv,110,D,D,[]
111,data/test/international_law_test.csv,111,B,B,[]
112,data/test/international_law_test.csv,112,D,D,[]
113,data/test/international_law_test.csv,113,B,C,[]
114,data/test/international_law_test.csv,114,B,B,[]
115,data/test/international_law_test.csv,115,D,D,[]
116,data/test/international_law_test.csv,116,A,A,[]
117,data/test/international_law_test.csv,117,C,C,[]
118,data/test/international_law_test.csv,118,C,C,[]
119,data/test/international_law_test.csv,119,A,A,[]
120,data/test/international_law_test.csv,120,C,C,[]
