,task,item,choice,gt,meta_tasks
0,data/test/high_school_computer_science_test.csv,0,C,C,['high school statistics' 'computer security']
1,data/test/high_school_computer_science_test.csv,1,A,A,['college biology' 'elementary mathematics']
2,data/test/high_school_computer_science_test.csv,2,D,A,['college mathematics' 'high school mathematics']
3,data/test/high_school_computer_science_test.csv,3,C,C,['electrical engineering' 'elementary mathematics']
4,data/test/high_school_computer_science_test.csv,4,A,B,['college biology' 'high school physics']
5,data/test/high_school_computer_science_test.csv,5,C,C,['electrical engineering' 'college mathematics']
6,data/test/high_school_computer_science_test.csv,6,C,B,['high school chemistry' 'elementary mathematics']
7,data/test/high_school_computer_science_test.csv,7,B,B,['high school biology' 'college physics']
8,data/test/high_school_computer_science_test.csv,8,A,A,['college mathematics' 'high school statistics']
9,data/test/high_school_computer_science_test.csv,9,B,B,['high school physics' 'machine learning']
10,data/test/high_school_computer_science_test.csv,10,D,B,['high school chemistry' 'college chemistry']
11,data/test/high_school_computer_science_test.csv,11,C,C,['college physics' 'high school mathematics']
12,data/test/high_school_computer_science_test.csv,12,C,C,['high school chemistry' 'conceptual physics']
13,data/test/high_school_computer_science_test.csv,13,B,B,['high school chemistry' 'astronomy']
14,data/test/high_school_computer_science_test.csv,14,C,C,['machine learning' 'high school biology']
15,data/test/high_school_computer_science_test.csv,15,A,A,['computer security' 'high school chemistry']
16,data/test/high_school_computer_science_test.csv,16,B,D,['college computer science' 'high school biology']
17,data/test/high_school_computer_science_test.csv,17,A,D,['college computer science' 'high school mathematics']
18,data/test/high_school_computer_science_test.csv,18,D,D,['abstract algebra' 'college chemistry']
19,data/test/high_school_computer_science_test.csv,19,A,A,['computer security' 'college computer science']
20,data/test/high_school_computer_science_test.csv,20,C,C,['anatomy' 'college computer science']
21,data/test/high_school_computer_science_test.csv,21,C,B,['high school physics' 'anatomy']
22,data/test/high_school_computer_science_test.csv,22,B,B,['elementary mathematics' 'college chemistry']
23,data/test/high_school_computer_science_test.csv,23,C,C,['anatomy' 'elementary mathematics']
24,data/test/high_school_computer_science_test.csv,24,B,D,['college mathematics' 'college biology']
25,data/test/high_school_computer_science_test.csv,25,C,C,['college biology' 'astronomy']
26,data/test/high_school_computer_science_test.csv,26,C,C,['conceptual physics' 'high school physics']
27,data/test/high_school_computer_science_test.csv,27,A,D,['elementary mathematics' 'college mathematics']
28,data/test/high_school_computer_science_test.csv,28,C,A,['astronomy' 'college computer science']
29,data/test/high_school_computer_science_test.csv,29,A,A,['high school biology' 'college biology']
30,data/test/high_school_computer_science_test.csv,30,A,A,['conceptual physics' 'anatomy']
31,data/test/high_school_computer_science_test.csv,31,C,C,['abstract algebra' 'high school physics']
32,data/test/high_school_computer_science_test.csv,32,A,D,['college biology' 'elementary mathematics']
33,data/test/high_school_computer_science_test.csv,33,C,B,['conceptual physics' 'college mathematics']
34,data/test/high_school_computer_science_test.csv,34,C,C,['college biology' 'college chemistry']
35,data/test/high_school_computer_science_test.csv,35,C,B,['high school biology' 'abstract algebra']
36,data/test/high_school_computer_science_test.csv,36,A,A,['high school mathematics' 'college computer science']
37,data/test/high_school_computer_science_test.csv,37,A,A,['anatomy' 'electrical engineering']
38,data/test/high_school_computer_science_test.csv,38,C,C,['high school statistics' 'high school physics']
39,data/test/high_school_computer_science_test.csv,39,A,D,['high school chemistry' 'computer security']
40,data/test/high_school_computer_science_test.csv,40,D,B,['college chemistry' 'college mathematics']
41,data/test/high_school_computer_science_test.csv,41,A,C,['high school mathematics' 'college computer science']
42,data/test/high_school_computer_science_test.csv,42,A,A,['computer security' 'electrical engineering']
43,data/test/high_school_computer_science_test.csv,43,B,A,['high school physics' 'college mathematics']
44,data/test/high_school_computer_science_test.csv,44,C,C,['college biology' 'abstract algebra']
45,data/test/high_school_computer_science_test.csv,45,C,B,['high school biology' 'machine learning']
46,data/test/high_school_computer_science_test.csv,46,A,C,['college mathematics' 'college chemistry']
47,data/test/high_school_computer_science_test.csv,47,A,A,['conceptual physics' 'computer security']
48,data/test/high_school_computer_science_test.csv,48,A,B,['high school physics' 'high school biology']
49,data/test/high_school_computer_science_test.csv,49,A,C,['college biology' 'anatomy']
50,data/test/high_school_computer_science_test.csv,50,C,A,['college computer science' 'high school mathematics']
51,data/test/high_school_computer_science_test.csv,51,C,C,['high school biology' 'machine learning']
52,data/test/high_school_computer_science_test.csv,52,D,A,['electrical engineering' 'college chemistry']
53,data/test/high_school_computer_science_test.csv,53,A,A,['anatomy' 'machine learning']
54,data/test/high_school_computer_science_test.csv,54,D,D,['high school statistics' 'college chemistry']
55,data/test/high_school_computer_science_test.csv,55,A,A,['high school physics' 'college mathematics']
56,data/test/high_school_computer_science_test.csv,56,A,C,['anatomy' 'college mathematics']
57,data/test/high_school_computer_science_test.csv,57,D,D,['high school statistics' 'conceptual physics']
