,task,item,choice,gt,meta_tasks
0,data/test/conceptual_physics_test.csv,0,B,A,['high school mathematics' 'computer security']
1,data/test/conceptual_physics_test.csv,1,D,B,['astronomy' 'high school mathematics']
2,data/test/conceptual_physics_test.csv,2,A,B,['high school mathematics' 'abstract algebra']
3,data/test/conceptual_physics_test.csv,3,C,B,['electrical engineering' 'machine learning']
4,data/test/conceptual_physics_test.csv,4,A,A,['computer security' 'high school statistics']
5,data/test/conceptual_physics_test.csv,5,C,D,['anatomy' 'college computer science']
6,data/test/conceptual_physics_test.csv,6,D,D,['machine learning' 'college mathematics']
7,data/test/conceptual_physics_test.csv,7,C,A,['college computer science' 'elementary mathematics']
8,data/test/conceptual_physics_test.csv,8,B,B,['high school mathematics' 'college biology']
9,data/test/conceptual_physics_test.csv,9,C,D,['high school physics' 'abstract algebra']
10,data/test/conceptual_physics_test.csv,10,B,B,['astronomy' 'high school mathematics']
11,data/test/conceptual_physics_test.csv,11,C,C,['college computer science' 'college mathematics']
12,data/test/conceptual_physics_test.csv,12,A,B,['machine learning' 'college chemistry']
13,data/test/conceptual_physics_test.csv,13,B,A,['college biology' 'college physics']
14,data/test/conceptual_physics_test.csv,14,A,B,['high school biology' 'astronomy']
15,data/test/conceptual_physics_test.csv,15,A,A,['high school biology' 'high school chemistry']
16,data/test/conceptual_physics_test.csv,16,A,A,['machine learning' 'astronomy']
17,data/test/conceptual_physics_test.csv,17,D,B,['electrical engineering' 'astronomy']
18,data/test/conceptual_physics_test.csv,18,A,D,['high school mathematics' 'high school physics']
19,data/test/conceptual_physics_test.csv,19,C,A,['abstract algebra' 'machine learning']
20,data/test/conceptual_physics_test.csv,20,D,A,['college mathematics' 'computer security']
21,data/test/conceptual_physics_test.csv,21,C,C,['college mathematics' 'high school chemistry']
22,data/test/conceptual_physics_test.csv,22,B,D,['high school statistics' 'machine learning']
23,data/test/conceptual_physics_test.csv,23,B,C,['elementary mathematics' 'astronomy']
24,data/test/conceptual_physics_test.csv,24,C,C,['college physics' 'high school statistics']
