,task,item,choice,gt,meta_tasks
0,data/test/logical_fallacies_test.csv,0,A,A,['formal logic' 'high school european history']
1,data/test/logical_fallacies_test.csv,1,C,C,['moral disputes' 'jurisprudence']
2,data/test/logical_fallacies_test.csv,2,C,C,['prehistory' 'jurisprudence']
3,data/test/logical_fallacies_test.csv,3,A,D,['moral disputes' 'formal logic']
4,data/test/logical_fallacies_test.csv,4,C,C,['jurisprudence' 'moral disputes']
5,data/test/logical_fallacies_test.csv,5,B,D,['high school world history' 'world religions']
6,data/test/logical_fallacies_test.csv,6,A,A,['international law' 'philosophy']
7,data/test/logical_fallacies_test.csv,7,A,A,['moral scenarios' 'prehistory']
8,data/test/logical_fallacies_test.csv,8,A,A,['philosophy' 'high school world history']
9,data/test/logical_fallacies_test.csv,9,B,B,['jurisprudence' 'high school world history']
10,data/test/logical_fallacies_test.csv,10,A,D,['high school european history' 'philosophy']
11,data/test/logical_fallacies_test.csv,11,A,C,['jurisprudence' 'world religions']
12,data/test/logical_fallacies_test.csv,12,C,D,['world religions' 'jurisprudence']
13,data/test/logical_fallacies_test.csv,13,C,C,['jurisprudence' 'moral scenarios']
14,data/test/logical_fallacies_test.csv,14,B,B,['moral disputes' 'high school european history']
15,data/test/logical_fallacies_test.csv,15,C,C,['international law' 'high school world history']
16,data/test/logical_fallacies_test.csv,16,D,D,['jurisprudence' 'international law']
17,data/test/logical_fallacies_test.csv,17,B,C,['high school us history' 'philosophy']
18,data/test/logical_fallacies_test.csv,18,A,C,['world religions' 'moral disputes']
19,data/test/logical_fallacies_test.csv,19,D,D,['international law' 'world religions']
20,data/test/logical_fallacies_test.csv,20,C,D,['moral scenarios' 'high school world history']
21,data/test/logical_fallacies_test.csv,21,C,C,['philosophy' 'high school us history']
22,data/test/logical_fallacies_test.csv,22,C,B,['moral scenarios' 'philosophy']
23,data/test/logical_fallacies_test.csv,23,C,B,['moral disputes' 'moral scenarios']
24,data/test/logical_fallacies_test.csv,24,B,C,['philosophy' 'high school european history']
25,data/test/logical_fallacies_test.csv,25,D,D,['world religions' 'high school world history']
26,data/test/logical_fallacies_test.csv,26,C,A,['international law' 'high school european history']
27,data/test/logical_fallacies_test.csv,27,A,B,['high school world history' 'moral disputes']
28,data/test/logical_fallacies_test.csv,28,B,B,['moral disputes' 'high school us history']
29,data/test/logical_fallacies_test.csv,29,A,B,['moral scenarios' 'high school european history']
30,data/test/logical_fallacies_test.csv,30,D,D,['prehistory' 'formal logic']
31,data/test/logical_fallacies_test.csv,31,D,D,['high school world history' 'philosophy']
32,data/test/logical_fallacies_test.csv,32,A,C,['moral disputes' 'international law']
33,data/test/logical_fallacies_test.csv,33,D,D,['international law' 'philosophy']
34,data/test/logical_fallacies_test.csv,34,A,A,['moral disputes' 'prehistory']
35,data/test/logical_fallacies_test.csv,35,C,D,['formal logic' 'world religions']
36,data/test/logical_fallacies_test.csv,36,C,C,['philosophy' 'prehistory']
37,data/test/logical_fallacies_test.csv,37,C,C,['jurisprudence' 'formal logic']
38,data/test/logical_fallacies_test.csv,38,A,A,['world religions' 'philosophy']
39,data/test/logical_fallacies_test.csv,39,A,A,['high school world history' 'high school us history']
40,data/test/logical_fallacies_test.csv,40,C,D,['high school world history' 'prehistory']
41,data/test/logical_fallacies_test.csv,41,B,B,['high school world history' 'jurisprudence']
42,data/test/logical_fallacies_test.csv,42,B,B,['formal logic' 'prehistory']
43,data/test/logical_fallacies_test.csv,43,A,B,['moral disputes' 'high school us history']
44,data/test/logical_fallacies_test.csv,44,D,D,['moral disputes' 'high school european history']
45,data/test/logical_fallacies_test.csv,45,A,A,['high school european history' 'prehistory']
46,data/test/logical_fallacies_test.csv,46,A,A,['moral scenarios' 'high school world history']
47,data/test/logical_fallacies_test.csv,47,A,A,['moral scenarios' 'formal logic']
48,data/test/logical_fallacies_test.csv,48,A,C,['prehistory' 'formal logic']
49,data/test/logical_fallacies_test.csv,49,C,C,['world religions' 'philosophy']
50,data/test/logical_fallacies_test.csv,50,C,A,['jurisprudence' 'moral disputes']
51,data/test/logical_fallacies_test.csv,51,B,B,['prehistory' 'philosophy']
52,data/test/logical_fallacies_test.csv,52,C,D,['jurisprudence' 'moral disputes']
53,data/test/logical_fallacies_test.csv,53,C,A,['world religions' 'high school us history']
54,data/test/logical_fallacies_test.csv,54,A,A,['philosophy' 'moral scenarios']
55,data/test/logical_fallacies_test.csv,55,B,D,['international law' 'high school world history']
56,data/test/logical_fallacies_test.csv,56,A,B,['jurisprudence' 'moral disputes']
57,data/test/logical_fallacies_test.csv,57,A,C,['philosophy' 'moral disputes']
58,data/test/logical_fallacies_test.csv,58,A,B,['high school world history' 'high school european history']
59,data/test/logical_fallacies_test.csv,59,C,C,['prehistory' 'high school world history']
60,data/test/logical_fallacies_test.csv,60,A,D,['international law' 'high school us history']
61,data/test/logical_fallacies_test.csv,61,A,B,['international law' 'high school world history']
62,data/test/logical_fallacies_test.csv,62,A,C,['philosophy' 'moral scenarios']
63,data/test/logical_fallacies_test.csv,63,C,C,['high school world history' 'jurisprudence']
64,data/test/logical_fallacies_test.csv,64,A,B,['jurisprudence' 'high school world history']
65,data/test/logical_fallacies_test.csv,65,A,A,['formal logic' 'high school european history']
66,data/test/logical_fallacies_test.csv,66,A,A,['international law' 'moral disputes']
67,data/test/logical_fallacies_test.csv,67,C,C,['high school world history' 'international law']
68,data/test/logical_fallacies_test.csv,68,A,D,['formal logic' 'moral disputes']
69,data/test/logical_fallacies_test.csv,69,A,C,['high school world history' 'high school us history']
70,data/test/logical_fallacies_test.csv,70,B,B,['prehistory' 'moral scenarios']
71,data/test/logical_fallacies_test.csv,71,D,B,['formal logic' 'philosophy']
72,data/test/logical_fallacies_test.csv,72,A,C,['formal logic' 'high school world history']
73,data/test/logical_fallacies_test.csv,73,A,A,['world religions' 'jurisprudence']
74,data/test/logical_fallacies_test.csv,74,B,C,['philosophy' 'moral scenarios']
75,data/test/logical_fallacies_test.csv,75,A,A,['philosophy' 'moral disputes']
76,data/test/logical_fallacies_test.csv,76,A,B,['world religions' 'prehistory']
77,data/test/logical_fallacies_test.csv,77,B,B,['high school world history' 'jurisprudence']
78,data/test/logical_fallacies_test.csv,78,A,D,['jurisprudence' 'moral disputes']
79,data/test/logical_fallacies_test.csv,79,A,C,['world religions' 'high school european history']
80,data/test/logical_fallacies_test.csv,80,B,C,['high school world history' 'moral scenarios']
81,data/test/logical_fallacies_test.csv,81,B,C,['international law' 'philosophy']
82,data/test/logical_fallacies_test.csv,82,A,B,['prehistory' 'moral disputes']
83,data/test/logical_fallacies_test.csv,83,B,D,['high school european history' 'international law']
84,data/test/logical_fallacies_test.csv,84,C,C,['high school european history' 'high school us history']
85,data/test/logical_fallacies_test.csv,85,B,B,['prehistory' 'philosophy']
86,data/test/logical_fallacies_test.csv,86,A,D,['prehistory' 'high school us history']
87,data/test/logical_fallacies_test.csv,87,B,D,['high school world history' 'jurisprudence']
88,data/test/logical_fallacies_test.csv,88,B,C,['jurisprudence' 'world religions']
89,data/test/logical_fallacies_test.csv,89,B,C,['jurisprudence' 'moral disputes']
90,data/test/logical_fallacies_test.csv,90,A,C,['world religions' 'formal logic']
91,data/test/logical_fallacies_test.csv,91,A,B,['moral disputes' 'high school european history']
92,data/test/logical_fallacies_test.csv,92,C,B,['jurisprudence' 'international law']
93,data/test/logical_fallacies_test.csv,93,A,A,['moral scenarios' 'high school european history']
94,data/test/logical_fallacies_test.csv,94,C,C,['international law' 'high school european history']
95,data/test/logical_fallacies_test.csv,95,A,B,['high school us history' 'philosophy']
96,data/test/logical_fallacies_test.csv,96,D,D,['moral disputes' 'high school us history']
