,task,item,choice,gt,meta_tasks
0,data/test/abstract_algebra_test.csv,0,B,B,['college mathematics' 'college physics']
1,data/test/abstract_algebra_test.csv,1,C,C,['machine learning' 'college computer science']
2,data/test/abstract_algebra_test.csv,2,A,D,['high school physics' 'elementary mathematics']
3,data/test/abstract_algebra_test.csv,3,A,B,['anatomy' 'high school biology']
4,data/test/abstract_algebra_test.csv,4,B,B,['high school computer science' 'high school chemistry']
5,data/test/abstract_algebra_test.csv,5,C,A,['high school physics' 'college chemistry']
6,data/test/abstract_algebra_test.csv,6,A,A,['high school computer science' 'high school mathematics']
7,data/test/abstract_algebra_test.csv,7,A,D,['anatomy' 'college physics']
8,data/test/abstract_algebra_test.csv,8,B,B,['high school chemistry' 'machine learning']
9,data/test/abstract_algebra_test.csv,9,C,C,['college computer science' 'college mathematics']
10,data/test/abstract_algebra_test.csv,10,A,C,['college mathematics' 'high school biology']
11,data/test/abstract_algebra_test.csv,11,C,C,['electrical engineering' 'college biology']
12,data/test/abstract_algebra_test.csv,12,B,A,['high school computer science' 'astronomy']
13,data/test/abstract_algebra_test.csv,13,D,C,['high school physics' 'college chemistry']
14,data/test/abstract_algebra_test.csv,14,B,C,['elementary mathematics' 'computer security']
15,data/test/abstract_algebra_test.csv,15,C,B,['anatomy' 'college mathematics']
16,data/test/abstract_algebra_test.csv,16,B,C,['computer security' 'college chemistry']
17,data/test/abstract_algebra_test.csv,17,C,C,['high school chemistry' 'high school biology']
18,data/test/abstract_algebra_test.csv,18,C,D,['astronomy' 'high school physics']
19,data/test/abstract_algebra_test.csv,19,A,A,['electrical engineering' 'high school chemistry']
20,data/test/abstract_algebra_test.csv,20,A,A,['college mathematics' 'college computer science']
21,data/test/abstract_algebra_test.csv,21,B,A,['high school statistics' 'high school mathematics']
22,data/test/abstract_algebra_test.csv,22,A,D,['high school computer science' 'high school physics']
23,data/test/abstract_algebra_test.csv,23,C,D,['high school mathematics' 'college mathematics']
24,data/test/abstract_algebra_test.csv,24,A,B,['high school mathematics' 'electrical engineering']
