,task,item,choice,gt,meta_tasks
0,data/test/astronomy_test.csv,0,A,A,['high school mathematics' 'high school chemistry']
1,data/test/astronomy_test.csv,1,C,D,['high school physics' 'high school chemistry']
2,data/test/astronomy_test.csv,2,C,C,['college chemistry' 'high school computer science']
3,data/test/astronomy_test.csv,3,D,C,['high school biology' 'machine learning']
4,data/test/astronomy_test.csv,4,D,D,['high school computer science' 'abstract algebra']
5,data/test/astronomy_test.csv,5,C,C,['college physics' 'college mathematics']
6,data/test/astronomy_test.csv,6,B,B,['electrical engineering' 'college computer science']
7,data/test/astronomy_test.csv,7,B,B,['college chemistry' 'computer security']
8,data/test/astronomy_test.csv,8,B,D,['high school computer science' 'elementary mathematics']
9,data/test/astronomy_test.csv,9,D,D,['anatomy' 'college biology']
10,data/test/astronomy_test.csv,10,B,D,['computer security' 'high school physics']
11,data/test/astronomy_test.csv,11,C,C,['high school biology' 'anatomy']
12,data/test/astronomy_test.csv,12,A,A,['anatomy' 'computer security']
13,data/test/astronomy_test.csv,13,D,D,['machine learning' 'college computer science']
14,data/test/astronomy_test.csv,14,B,B,['college computer science' 'college biology']
15,data/test/astronomy_test.csv,15,C,C,['college biology' 'college physics']
16,data/test/astronomy_test.csv,16,C,C,['high school physics' 'anatomy']
17,data/test/astronomy_test.csv,17,D,A,['college physics' 'college mathematics']
18,data/test/astronomy_test.csv,18,A,D,['high school biology' 'high school computer science']
19,data/test/astronomy_test.csv,19,D,C,['college physics' 'abstract algebra']
20,data/test/astronomy_test.csv,20,D,D,['computer security' 'college physics']
21,data/test/astronomy_test.csv,21,C,D,['electrical engineering' 'computer security']
22,data/test/astronomy_test.csv,22,C,D,['conceptual physics' 'anatomy']
23,data/test/astronomy_test.csv,23,D,B,['college mathematics' 'electrical engineering']
24,data/test/astronomy_test.csv,24,B,C,['college chemistry' 'abstract algebra']
25,data/test/astronomy_test.csv,25,C,D,['college physics' 'anatomy']
26,data/test/astronomy_test.csv,26,D,C,['conceptual physics' 'college mathematics']
27,data/test/astronomy_test.csv,27,C,D,['machine learning' 'high school mathematics']
28,data/test/astronomy_test.csv,28,C,B,['high school computer science' 'high school biology']
29,data/test/astronomy_test.csv,29,B,C,['high school biology' 'computer security']
30,data/test/astronomy_test.csv,30,D,B,['high school statistics' 'anatomy']
31,data/test/astronomy_test.csv,31,D,C,['high school statistics' 'high school computer science']
32,data/test/astronomy_test.csv,32,C,D,['high school statistics' 'conceptual physics']
33,data/test/astronomy_test.csv,33,D,D,['electrical engineering' 'machine learning']
34,data/test/astronomy_test.csv,34,C,C,['college chemistry' 'high school physics']
35,data/test/astronomy_test.csv,35,C,D,['high school physics' 'college physics']
36,data/test/astronomy_test.csv,36,A,A,['high school chemistry' 'conceptual physics']
37,data/test/astronomy_test.csv,37,C,C,['high school biology' 'high school chemistry']
38,data/test/astronomy_test.csv,38,C,B,['elementary mathematics' 'high school chemistry']
39,data/test/astronomy_test.csv,39,C,B,['college biology' 'electrical engineering']
40,data/test/astronomy_test.csv,40,D,C,['college biology' 'college chemistry']
41,data/test/astronomy_test.csv,41,D,D,['abstract algebra' 'high school mathematics']
42,data/test/astronomy_test.csv,42,B,A,['college chemistry' 'abstract algebra']
43,data/test/astronomy_test.csv,43,D,A,['college computer science' 'high school mathematics']
44,data/test/astronomy_test.csv,44,A,C,['high school statistics' 'college biology']
45,data/test/astronomy_test.csv,45,B,D,['college computer science' 'high school physics']
46,data/test/astronomy_test.csv,46,D,D,['computer security' 'college mathematics']
47,data/test/astronomy_test.csv,47,D,A,['high school computer science' 'college chemistry']
48,data/test/astronomy_test.csv,48,D,C,['high school statistics' 'high school chemistry']
49,data/test/astronomy_test.csv,49,B,B,['college physics' 'computer security']
50,data/test/astronomy_test.csv,50,B,A,['college chemistry' 'high school mathematics']
51,data/test/astronomy_test.csv,51,C,D,['abstract algebra' 'high school biology']
52,data/test/astronomy_test.csv,52,C,D,['college mathematics' 'computer security']
53,data/test/astronomy_test.csv,53,D,A,['college mathematics' 'high school statistics']
54,data/test/astronomy_test.csv,54,C,D,['college computer science' 'high school biology']
55,data/test/astronomy_test.csv,55,C,C,['college physics' 'abstract algebra']
56,data/test/astronomy_test.csv,56,C,D,['college biology' 'computer security']
57,data/test/astronomy_test.csv,57,B,D,['electrical engineering' 'abstract algebra']
58,data/test/astronomy_test.csv,58,C,C,['college chemistry' 'abstract algebra']
59,data/test/astronomy_test.csv,59,D,D,['high school biology' 'high school computer science']
60,data/test/astronomy_test.csv,60,C,D,['high school computer science' 'college biology']
61,data/test/astronomy_test.csv,61,D,D,['college mathematics' 'college computer science']
62,data/test/astronomy_test.csv,62,B,B,['college mathematics' 'machine learning']
63,data/test/astronomy_test.csv,63,D,A,['electrical engineering' 'anatomy']
64,data/test/astronomy_test.csv,64,D,C,['electrical engineering' 'high school physics']
65,data/test/astronomy_test.csv,65,B,C,['high school computer science' 'college physics']
66,data/test/astronomy_test.csv,66,C,B,['machine learning' 'high school computer science']
67,data/test/astronomy_test.csv,67,B,B,['abstract algebra' 'high school physics']
68,data/test/astronomy_test.csv,68,D,B,['elementary mathematics' 'college mathematics']
69,data/test/astronomy_test.csv,69,B,C,['high school mathematics' 'college biology']
70,data/test/astronomy_test.csv,70,B,B,['high school computer science' 'college physics']
71,data/test/astronomy_test.csv,71,D,D,['college mathematics' 'college chemistry']
72,data/test/astronomy_test.csv,72,C,C,['anatomy' 'conceptual physics']
73,data/test/astronomy_test.csv,73,D,D,['machine learning' 'college biology']
74,data/test/astronomy_test.csv,74,C,C,['conceptual physics' 'high school biology']
75,data/test/astronomy_test.csv,75,C,C,['abstract algebra' 'college physics']
76,data/test/astronomy_test.csv,76,C,A,['computer security' 'conceptual physics']
77,data/test/astronomy_test.csv,77,C,A,['electrical engineering' 'high school statistics']
78,data/test/astronomy_test.csv,78,B,B,['high school computer science' 'college mathematics']
79,data/test/astronomy_test.csv,79,C,C,['electrical engineering' 'high school physics']
80,data/test/astronomy_test.csv,80,C,C,['abstract algebra' 'college mathematics']
81,data/test/astronomy_test.csv,81,D,C,['electrical engineering' 'abstract algebra']
82,data/test/astronomy_test.csv,82,A,A,['high school computer science' 'anatomy']
83,data/test/astronomy_test.csv,83,C,A,['high school chemistry' 'college biology']
84,data/test/astronomy_test.csv,84,A,A,['college physics' 'high school mathematics']
85,data/test/astronomy_test.csv,85,B,A,['high school computer science' 'college mathematics']
86,data/test/astronomy_test.csv,86,C,C,['conceptual physics' 'college computer science']
87,data/test/astronomy_test.csv,87,A,B,['college physics' 'high school statistics']
88,data/test/astronomy_test.csv,88,D,C,['college biology' 'high school statistics']
89,data/test/astronomy_test.csv,89,D,D,['high school computer science' 'college computer science']
90,data/test/astronomy_test.csv,90,A,D,['high school computer science' 'machine learning']
91,data/test/astronomy_test.csv,91,B,B,['college chemistry' 'high school biology']
92,data/test/astronomy_test.csv,92,A,A,['college biology' 'electrical engineering']
93,data/test/astronomy_test.csv,93,D,D,['college physics' 'conceptual physics']
94,data/test/astronomy_test.csv,94,D,A,['elementary mathematics' 'conceptual physics']
95,data/test/astronomy_test.csv,95,C,B,['anatomy' 'abstract algebra']
96,data/test/astronomy_test.csv,96,B,D,['computer security' 'elementary mathematics']
97,data/test/astronomy_test.csv,97,C,C,['elementary mathematics' 'college mathematics']
98,data/test/astronomy_test.csv,98,B,C,['elementary mathematics' 'college physics']
99,data/test/astronomy_test.csv,99,B,C,['college computer science' 'high school mathematics']
100,data/test/astronomy_test.csv,100,C,A,['machine learning' 'high school physics']
101,data/test/astronomy_test.csv,101,C,D,['high school statistics' 'college chemistry']
102,data/test/astronomy_test.csv,102,B,C,['college biology' 'anatomy']
103,data/test/astronomy_test.csv,103,D,D,['college physics' 'high school mathematics']
104,data/test/astronomy_test.csv,104,A,C,['college physics' 'high school mathematics']
105,data/test/astronomy_test.csv,105,B,A,['college biology' 'college computer science']
106,data/test/astronomy_test.csv,106,B,B,['high school chemistry' 'abstract algebra']
107,data/test/astronomy_test.csv,107,D,C,['conceptual physics' 'high school mathematics']
108,data/test/astronomy_test.csv,108,B,D,['elementary mathematics' 'machine learning']
109,data/test/astronomy_test.csv,109,B,B,['high school biology' 'elementary mathematics']
110,data/test/astronomy_test.csv,110,B,B,['conceptual physics' 'high school computer science']
111,data/test/astronomy_test.csv,111,C,D,['machine learning' 'high school statistics']
112,data/test/astronomy_test.csv,112,D,D,['elementary mathematics' 'high school physics']
113,data/test/astronomy_test.csv,113,A,C,['electrical engineering' 'high school biology']
114,data/test/astronomy_test.csv,114,D,A,['college chemistry' 'electrical engineering']
115,data/test/astronomy_test.csv,115,C,D,['college chemistry' 'conceptual physics']
116,data/test/astronomy_test.csv,116,A,D,['high school computer science' 'college mathematics']
117,data/test/astronomy_test.csv,117,C,C,['high school chemistry' 'computer security']
118,data/test/astronomy_test.csv,118,A,A,['high school mathematics' 'high school computer science']
119,data/test/astronomy_test.csv,119,A,D,['elementary mathematics' 'high school statistics']
120,data/test/astronomy_test.csv,120,C,B,['computer security' 'conceptual physics']
121,data/test/astronomy_test.csv,121,B,B,['machine learning' 'anatomy']
122,data/test/astronomy_test.csv,122,C,C,['high school statistics' 'high school chemistry']
123,data/test/astronomy_test.csv,123,C,D,['elementary mathematics' 'conceptual physics']
124,data/test/astronomy_test.csv,124,D,D,['abstract algebra' 'college computer science']
125,data/test/astronomy_test.csv,125,B,D,['high school biology' 'high school computer science']
126,data/test/astronomy_test.csv,126,C,D,['electrical engineering' 'high school statistics']
127,data/test/astronomy_test.csv,127,C,C,['computer security' 'high school chemistry']
128,data/test/astronomy_test.csv,128,C,D,['conceptual physics' 'high school statistics']
129,data/test/astronomy_test.csv,129,D,C,['electrical engineering' 'high school computer science']
130,data/test/astronomy_test.csv,130,C,A,['college physics' 'machine learning']
