,task,item,choice,gt,meta_tasks
0,data/test/high_school_physics_test.csv,0,C,B,['college biology' 'astronomy']
1,data/test/high_school_physics_test.csv,1,D,A,['college mathematics' 'college chemistry']
2,data/test/high_school_physics_test.csv,2,A,D,['college chemistry' 'college physics']
3,data/test/high_school_physics_test.csv,3,A,C,['high school statistics' 'electrical engineering']
4,data/test/high_school_physics_test.csv,4,D,D,['anatomy' 'astronomy']
5,data/test/high_school_physics_test.csv,5,C,C,['elementary mathematics' 'high school biology']
6,data/test/high_school_physics_test.csv,6,A,A,['college computer science' 'anatomy']
7,data/test/high_school_physics_test.csv,7,C,C,['anatomy' 'machine learning']
8,data/test/high_school_physics_test.csv,8,B,A,['computer security' 'college chemistry']
9,data/test/high_school_physics_test.csv,9,B,B,['college mathematics' 'machine learning']
10,data/test/high_school_physics_test.csv,10,C,D,['electrical engineering' 'college mathematics']
11,data/test/high_school_physics_test.csv,11,A,D,['college chemistry' 'high school computer science']
12,data/test/high_school_physics_test.csv,12,B,D,['high school chemistry' 'college computer science']
13,data/test/high_school_physics_test.csv,13,B,B,['machine learning' 'conceptual physics']
14,data/test/high_school_physics_test.csv,14,B,B,['conceptual physics' 'high school statistics']
15,data/test/high_school_physics_test.csv,15,C,A,['high school mathematics' 'abstract algebra']
16,data/test/high_school_physics_test.csv,16,C,D,['college biology' 'astronomy']
17,data/test/high_school_physics_test.csv,17,B,C,['abstract algebra' 'anatomy']
18,data/test/high_school_physics_test.csv,18,A,A,['computer security' 'anatomy']
19,data/test/high_school_physics_test.csv,19,C,D,['electrical engineering' 'high school biology']
20,data/test/high_school_physics_test.csv,20,C,B,['abstract algebra' 'machine learning']
21,data/test/high_school_physics_test.csv,21,C,C,['college computer science' 'high school statistics']
22,data/test/high_school_physics_test.csv,22,A,A,['astronomy' 'college biology']
23,data/test/high_school_physics_test.csv,23,A,D,['astronomy' 'computer security']
24,data/test/high_school_physics_test.csv,24,C,D,['college chemistry' 'conceptual physics']
25,data/test/high_school_physics_test.csv,25,C,D,['elementary mathematics' 'astronomy']
26,data/test/high_school_physics_test.csv,26,C,C,['high school statistics' 'college chemistry']
27,data/test/high_school_physics_test.csv,27,C,C,['high school computer science' 'astronomy']
28,data/test/high_school_physics_test.csv,28,D,C,['computer security' 'college computer science']
29,data/test/high_school_physics_test.csv,29,A,D,['astronomy' 'college biology']
30,data/test/high_school_physics_test.csv,30,A,A,['college chemistry' 'elementary mathematics']
31,data/test/high_school_physics_test.csv,31,B,C,['computer security' 'anatomy']
32,data/test/high_school_physics_test.csv,32,B,B,['astronomy' 'electrical engineering']
33,data/test/high_school_physics_test.csv,33,C,B,['high school biology' 'electrical engineering']
34,data/test/high_school_physics_test.csv,34,D,C,['computer security' 'abstract algebra']
35,data/test/high_school_physics_test.csv,35,C,C,['conceptual physics' 'college computer science']
36,data/test/high_school_physics_test.csv,36,B,C,['machine learning' 'college biology']
37,data/test/high_school_physics_test.csv,37,A,D,['electrical engineering' 'conceptual physics']
38,data/test/high_school_physics_test.csv,38,B,A,['high school statistics' 'anatomy']
39,data/test/high_school_physics_test.csv,39,C,A,['electrical engineering' 'high school biology']
40,data/test/high_school_physics_test.csv,40,D,C,['college chemistry' 'computer security']
41,data/test/high_school_physics_test.csv,41,C,C,['college computer science' 'college biology']
